Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,8100.0,0.0,9275.0,7500.0,8175.0,75.0,88000,758787500,249,7108.7,8250,900,8175,1300,5737848882,5737848882,437224085,14900,6100,0,0,0
2026-03-10,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,7800.0,0.0,9025.0,7800.0,8100.0,300.0,30500,254745000,113,7043.5,8250,1000,8050,600,5737848882,5737848882,437224085,4200,5900,0,0,0
2026-03-09,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,8250.0,8250.0,8250.0,7650.0,7800.0,-450.0,27600,215442500,82,6782.6,8050,700,7775,200,5737848882,5737848882,437224085,2300,11800,0,0,0
2026-03-06,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,9000.0,0.0,9000.0,7650.0,8250.0,-750.0,86700,689490000,233,7173.9,8275,500,8250,2600,5737848882,5737848882,437224085,6500,2400,0,0,0
2026-03-05,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,8900.0,0.0,9525.0,8600.0,9000.0,100.0,47000,423912500,158,7826.1,9050,100,9000,100,5737848882,5737848882,437224085,6500,7600,0,0,0
2026-03-04,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,9800.0,9650.0,9800.0,8350.0,8900.0,-900.0,76300,682130000,232,7739.1,8900,200,8875,200,5737848882,5737848882,437224085,2600,8700,0,0,0
2026-03-03,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,9150.0,0.0,10750.0,9150.0,9800.0,650.0,120200,1237825000,273,8521.7,9800,3300,9625,1000,5737848882,5737848882,437224085,30800,13800,0,0,0
2026-03-02,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,9875.0,9500.0,9875.0,9150.0,9150.0,-725.0,35100,329405000,119,7956.5,9150,9400,9125,200,5737848882,5737848882,437224085,2100,2900,0,0,0
2026-02-27,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,9975.0,0.0,10150.0,9725.0,9875.0,-100.0,10800,106535000,56,8587.0,9875,5600,9850,10100,5737848882,5737848882,437224085,800,1700,0,0,0
2026-02-26,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,10300.0,10275.0,10275.0,9875.0,9975.0,-325.0,100800,1004187500,118,8673.9,10150,4000,9975,200,5737848882,5737848882,437224085,4700,3800,0,0,0
2026-02-25,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,10650.0,0.0,10675.0,10050.0,10300.0,-350.0,12400,128570000,74,8956.5,10300,2000,10275,4300,5737848882,5737848882,437224085,1000,1300,0,0,0
2026-02-24,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,10725.0,10875.0,10875.0,10525.0,10650.0,-75.0,63600,676230000,98,9260.9,10725,1800,10650,20000,5737848882,5737848882,437224085,1500,5000,0,0,0
2026-02-23,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,10675.0,10675.0,11075.0,10675.0,10725.0,50.0,44200,475505000,143,9326.1,10750,4800,10725,100,5737848882,5737848882,437224085,3300,900,0,0,0
2026-02-20,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,10975.0,10975.0,11450.0,10600.0,10675.0,-300.0,74900,815717500,200,9282.6,10675,2600,10650,1000,5737848882,5737848882,437224085,6200,4100,0,0,0
2026-02-19,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,11425.0,11425.0,11425.0,10550.0,10975.0,-450.0,141600,1546255000,306,9543.5,11000,200,10975,700,5737848882,5737848882,437224085,11500,15300,0,0,0
2026-02-18,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,11550.0,12000.0,12000.0,11300.0,11425.0,-125.0,134600,1564160000,286,9934.8,11425,300,11325,100,5737848882,5737848882,437224085,7900,5200,0,0,0
2026-02-13,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,12000.0,12000.0,12300.0,11450.0,11550.0,-450.0,69600,815342500,264,10043.5,11575,1600,11550,400,5737848882,5737848882,437224085,5400,6200,0,0,0
2026-02-12,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,12100.0,12125.0,12275.0,11250.0,12000.0,-100.0,238500,2792737500,508,10434.8,12000,1900,11625,100,5737848882,5737848882,437224085,3700,10200,0,0,0
2026-02-11,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,11625.0,12450.0,13500.0,11625.0,12100.0,475.0,633200,8006172500,1440,10521.7,12125,2500,12100,1000,5737848882,5737848882,437224085,89400,46100,0,0,0
2026-02-10,PGUN,Pradiksi Gunatama Tbk.,--UO2130000000D232------------,9700.0,9700.0,11625.0,8700.0,11625.0,1925.0,298200,3255580000,680,10108.7,0,0,11625,36700,5737848882,5737848882,437224085,24700,22000,0,0,0
