Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-26,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121--------G---,121.0,122.0,131.0,116.0,116.0,-5.0,9055400,1090130800,1023,110.5,116,60400,115,315600,3426097190,3426097190,1656860601,3900700,816500,0,0,0
2026-03-25,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121--------G---,112.0,112.0,123.0,110.0,121.0,9.0,9069600,1077974300,1025,115.2,122,541500,121,53300,3426097190,3426097190,1656860601,1537000,3241000,0,0,0
2026-03-17,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121--------G---,113.0,113.0,118.0,107.0,112.0,-1.0,6029100,676442300,804,106.7,113,178800,112,53600,3426097190,3426097190,1656860601,652600,2211600,0,0,0
2026-03-16,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121--------G---,116.0,116.0,118.0,105.0,113.0,-3.0,11637400,1303518800,1251,107.6,113,83900,112,187600,3426097190,3426097190,1656860601,1110700,5768800,0,0,0
2026-03-13,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121--------G---,118.0,118.0,120.0,114.0,116.0,-2.0,8743300,1014985700,968,110.5,116,32400,115,59500,3426097190,3426097190,1656860601,1833600,3155700,0,0,0
2026-03-12,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121--------G---,127.0,127.0,129.0,117.0,118.0,-9.0,11404200,1374378800,1580,112.4,118,4800,117,389200,3426097190,3426097190,1656860601,3546100,1652600,200000,34000000,1
2026-03-11,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121--------G---,126.0,126.0,136.0,123.0,127.0,1.0,19293300,2488915900,2031,121.0,129,42800,127,1900,3426097190,3426097190,1656860601,5011500,2995700,0,0,0
2026-03-10,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121--------G---,125.0,126.0,134.0,121.0,126.0,1.0,11371100,1415976000,1337,120.0,126,371700,125,3300,3426097190,3426097190,1656860601,4747200,1349800,0,0,0
2026-03-09,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121--------G---,137.0,135.0,135.0,120.0,125.0,-12.0,21890500,2740333600,1872,119.0,126,37000,125,127000,3426097190,3426097190,1656860601,5421100,7516900,0,0,0
2026-03-06,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121--------G---,138.0,135.0,164.0,125.0,137.0,-1.0,61008500,8599166400,5516,130.5,138,27000,137,419100,3426097190,3426097190,1656860601,17017800,14503400,0,0,0
2026-03-05,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121------------,135.0,145.0,153.0,137.0,138.0,3.0,20474500,2910248900,2050,131.4,140,4900,138,544500,3426097190,3426097190,1656860601,7009500,3888600,0,0,0
2026-03-04,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121------------,151.0,143.0,147.0,129.0,135.0,-16.0,37669500,5171585700,2588,128.6,136,26900,135,1263900,3426097190,3426097190,1656860601,4149900,21555200,0,0,0
2026-03-03,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121------------,151.0,151.0,161.0,146.0,151.0,0.0,21121700,3201303300,2459,143.8,151,504400,150,512400,3426097190,3426097190,1656860601,6001600,6757100,0,0,0
2026-03-02,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121------------,170.0,147.0,163.0,147.0,151.0,-19.0,32101500,4990012300,3212,143.8,151,134500,150,638000,3426097190,3426097190,1656860601,5628100,13724700,0,0,0
2026-02-27,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121------------,171.0,171.0,175.0,160.0,170.0,-1.0,20584800,3437419100,2253,161.9,171,267000,170,113000,3426097190,3426097190,1656860601,2704500,10992700,0,0,0
2026-02-26,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121------------,183.0,184.0,185.0,169.0,171.0,-12.0,24081500,4210688900,3135,162.9,172,149200,171,4300,3426097190,3426097190,1656860601,3399800,5448100,0,0,0
2026-02-25,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121------------,188.0,188.0,189.0,176.0,183.0,-5.0,23757400,4317297800,3218,174.3,184,205300,183,48700,3426097190,3426097190,1656860601,2821500,6937600,0,0,0
2026-02-24,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121------------,195.0,198.0,198.0,184.0,188.0,-7.0,21563300,4087799000,3511,179.0,188,477500,187,18700,3426097190,3426097190,1656860601,5564900,98500,0,0,0
2026-02-23,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121------------,188.0,191.0,196.0,185.0,195.0,7.0,35341100,6755097500,4507,185.7,195,72400,194,900400,3426097190,3426097190,1656860601,5320000,7812500,0,0,0
2026-02-20,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121------------,198.0,202.0,202.0,186.0,188.0,-10.0,31381400,5975620800,4597,179.0,188,38600,187,188800,3426097190,3426097190,1656860601,2652200,3852000,0,0,0
2026-02-19,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121------------,206.0,206.0,206.0,189.0,198.0,-8.0,40048800,7947234700,5142,188.6,198,477900,197,312300,3426097190,3426097190,1656860601,3897600,2638200,0,0,0
2026-02-18,PIPA,Multi Makmur Lemindo Tbk.,--UO2130000000C121------------,200.0,202.0,214.0,196.0,206.0,6.0,75013800,15278548500,7653,196.2,206,1141300,204,185800,3426097190,3426097190,1656860601,15565200,12347700,0,0,0
