Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-18,PRIM,Royal Prima Tbk.,--UO2130000000F121------------,87.0,88.0,98.0,88.0,92.0,5.0,139542400,12933219500,8644,18.4,93,695200,92,1232400,3393434905,3393434905,728909818,16024800,13867600,0,0,0
2026-05-13,PRIM,Royal Prima Tbk.,--UO2130000000F121------------,90.0,89.0,93.0,85.0,87.0,-3.0,44604400,3950423600,2270,17.4,88,421800,87,324600,3393434905,3393434905,728909818,2183400,4853900,0,0,0
2026-05-12,PRIM,Royal Prima Tbk.,--UO2130000000F121------------,99.0,101.0,104.0,89.0,90.0,-9.0,101494400,9556249300,7578,18.0,91,624200,90,547100,3393434905,3393434905,728909818,7018100,7191200,0,0,0
2026-05-11,PRIM,Royal Prima Tbk.,--UO2130000000F121------------,89.0,93.0,116.0,91.0,99.0,10.0,759817600,79241171600,40942,19.8,100,239600,99,2641400,3393434905,3393434905,728909818,28384200,29632200,0,0,0
2026-05-08,PRIM,Royal Prima Tbk.,--UO2130000000F121------------,81.0,81.0,106.0,81.0,89.0,8.0,525319300,49834694800,26580,17.8,90,1209100,89,1454300,3393434905,3393434905,728909818,19041400,16692100,0,0,0
2026-05-07,PRIM,Royal Prima Tbk.,--UO2130000000F121------------,81.0,82.0,83.0,81.0,81.0,0.0,2328600,190428500,335,16.2,82,249400,81,493100,3393434905,3393434905,728909818,23800,10000,0,0,0
2026-05-06,PRIM,Royal Prima Tbk.,--UO2130000000F121------------,79.0,80.0,87.0,79.0,81.0,2.0,16186100,1340928900,1989,16.2,82,94800,81,21800,3393434905,3393434905,728909818,1414000,737900,0,0,0
2026-05-05,PRIM,Royal Prima Tbk.,--UO2130000000F121------------,80.0,80.0,84.0,78.0,79.0,-1.0,6910800,554012700,474,15.8,80,35800,79,10800,3393434905,3393434905,728909818,72000,30100,0,0,0
2026-05-04,PRIM,Royal Prima Tbk.,--UO2130000000F121------------,83.0,84.0,85.0,79.0,80.0,-3.0,10597500,862106800,669,16.0,81,10000,80,144600,3393434905,3393434905,728909818,23800,1155400,0,0,0
2026-04-30,PRIM,Royal Prima Tbk.,--UO2130000000F121------------,86.0,86.0,87.0,82.0,83.0,-3.0,9777800,818831600,585,16.6,84,20900,83,622500,3393434905,3393434905,728909818,345700,582800,0,0,0
2026-04-29,PRIM,Royal Prima Tbk.,--UO2130000000F121------------,84.0,84.0,87.0,84.0,86.0,2.0,7204000,618170400,523,17.2,86,563100,85,907500,3393434905,3393434905,728909818,20600,818100,0,0,0
