Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-17,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,555.0,560.0,590.0,530.0,530.0,-25.0,205136600,113687070000,15714,1719.5,530,830900,525,940500,26460000000,26460000000,1984500000,79091700,71450000,22211900,11772307000,2
2026-03-16,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,490.0,496.0,585.0,474.0,555.0,65.0,259403600,138986795600,22314,1800.6,555,1317800,550,895500,26460000000,26460000000,1984500000,59014500,96119400,3000,1434000,1
2026-03-13,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,482.0,478.0,515.0,470.0,490.0,8.0,91778500,45373478500,5634,1589.7,490,2058600,488,514900,26460000000,26460000000,1984500000,11522300,31123200,0,0,0
2026-03-12,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,492.0,492.0,492.0,478.0,482.0,-10.0,68002900,32957330600,2874,1563.8,482,159500,480,637600,26460000000,26460000000,1984500000,4491900,3074700,0,0,0
2026-03-11,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,505.0,510.0,515.0,492.0,492.0,-13.0,62233800,31121436100,3052,1596.2,494,5700,492,219300,26460000000,26460000000,1984500000,4966200,5008000,400000,220100000,2
2026-03-10,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,476.0,484.0,515.0,482.0,505.0,29.0,77699800,38250287400,3531,1638.4,510,327800,505,94300,26460000000,26460000000,1984500000,7070900,7531300,102000,55768000,3
2026-03-09,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,525.0,498.0,498.0,466.0,476.0,-49.0,88671400,42534328000,6201,1544.3,478,122400,476,50000,26460000000,26460000000,1984500000,20433100,17070200,180000,99000000,1
2026-03-06,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,525.0,520.0,540.0,510.0,525.0,0.0,77250000,40617672500,4337,1703.3,530,592000,525,280300,26460000000,26460000000,1984500000,6466500,28633900,220000,116600000,1
2026-03-05,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,530.0,535.0,545.0,520.0,525.0,-5.0,60755600,32181879500,2850,1703.3,530,1411900,520,1285200,26460000000,26460000000,1984500000,7268500,2114500,0,0,0
2026-03-04,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,570.0,560.0,560.0,505.0,530.0,-40.0,87751700,46070638500,7029,1719.5,530,368500,525,1600,26460000000,26460000000,1984500000,23921600,17052000,0,0,0
2026-03-03,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,580.0,585.0,590.0,560.0,570.0,-10.0,97826100,55896011000,8444,1849.3,570,664100,565,151500,26460000000,26460000000,1984500000,26157300,25267300,0,0,0
2026-03-02,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,550.0,570.0,585.0,555.0,580.0,30.0,129745100,74070161000,11017,1881.7,585,2549900,580,1643100,26460000000,26460000000,1984500000,18466300,22342200,200000,116000000,1
2026-02-27,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,540.0,535.0,550.0,525.0,550.0,10.0,62613700,33858867000,2749,1784.4,550,908500,545,292400,26460000000,26460000000,1984500000,7585400,13974100,0,0,0
2026-02-26,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,570.0,575.0,575.0,535.0,540.0,-30.0,77244500,42301040500,4944,1751.9,545,754300,540,77600,26460000000,26460000000,1984500000,23145600,8310100,0,0,0
2026-02-25,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,555.0,560.0,570.0,550.0,570.0,15.0,59987100,33591441500,3818,1849.3,570,2151200,565,716900,26460000000,26460000000,1984500000,4451400,11467200,0,0,0
2026-02-24,PSAB,J Resources Asia Pasifik Tbk.,--UO2835000000B143------------,570.0,575.0,585.0,550.0,555.0,-15.0,93746600,53421323500,5098,1800.6,560,156500,555,936900,26460000000,26460000000,1984500000,18467600,23808300,0,0,0
