Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-21,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-20,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-17,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-16,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-15,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-14,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-13,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-10,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-09,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-08,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-07,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-06,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-02,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E-L-------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-04-01,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E---------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-03-31,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E---------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-03-30,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E---------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-03-27,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E---------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-03-26,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E---------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
2026-03-25,PTDU,Djasa Ubersakti Tbk.,--U-4100000000J211-E---------X,70.0,0.0,0.0,0.0,70.0,0.0,0,0,0,70.0,0,0,0,0,1500000000,1500000000,400050000,0,0,0,0,0
