Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,302.0,0.0,320.0,292.0,292.0,-10.0,120300,35926200,80,72.8,292,22000,290,2100,659120000,659120000,64593760,1400,0,0,0,0
2026-03-10,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,288.0,0.0,320.0,282.0,302.0,14.0,53400,15937800,75,75.3,302,1000,294,2300,659120000,659120000,64593760,200,0,0,0,0
2026-03-09,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,316.0,0.0,312.0,270.0,288.0,-28.0,379900,106730800,193,71.8,286,4800,282,13000,659120000,659120000,64593760,1300,0,0,0,0
2026-03-06,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,320.0,334.0,334.0,300.0,316.0,-4.0,1605700,504706400,243,78.8,316,25300,306,2000,659120000,659120000,64593760,96300,0,0,0,0
2026-03-05,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,300.0,0.0,348.0,302.0,320.0,20.0,1579000,512436800,417,79.8,334,3000,320,7600,659120000,659120000,64593760,37800,0,0,0,0
2026-03-04,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,320.0,320.0,350.0,300.0,300.0,-20.0,2053600,650488600,255,74.8,318,12200,300,9800,659120000,659120000,64593760,0,0,0,0,0
2026-03-03,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,358.0,0.0,358.0,316.0,320.0,-38.0,841700,283002000,276,79.8,326,1000,320,700,659120000,659120000,64593760,16400,0,0,0,0
2026-03-02,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,390.0,386.0,386.0,350.0,358.0,-32.0,727100,264886600,279,89.3,358,50800,356,400,659120000,659120000,64593760,9800,0,0,0,0
2026-02-27,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,404.0,404.0,404.0,384.0,390.0,-14.0,468800,183391400,141,97.3,396,1300,390,35600,659120000,659120000,64593760,3300,0,0,0,0
2026-02-26,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,408.0,0.0,410.0,402.0,404.0,-4.0,111800,45282600,72,100.8,404,2200,402,2200,659120000,659120000,64593760,0,0,0,0,0
2026-02-25,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,408.0,0.0,416.0,396.0,408.0,0.0,1510700,614746400,322,101.8,414,30100,408,1000,659120000,659120000,64593760,2500,0,0,0,0
2026-02-24,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,428.0,422.0,432.0,404.0,408.0,-20.0,1166600,484963800,324,101.8,414,10800,408,2800,659120000,659120000,64593760,19100,0,0,0,0
2026-02-23,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,420.0,414.0,436.0,414.0,428.0,8.0,558000,237002800,131,106.8,428,7700,418,300,659120000,659120000,64593760,0,0,0,0,0
2026-02-20,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,424.0,424.0,426.0,418.0,420.0,-4.0,48700,20428200,51,104.8,422,8900,420,17200,659120000,659120000,64593760,5200,0,0,0,0
2026-02-19,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,430.0,432.0,432.0,414.0,424.0,-6.0,356100,150005600,161,105.8,426,100,424,200,659120000,659120000,64593760,3900,0,0,0,0
2026-02-18,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,436.0,442.0,442.0,430.0,430.0,-6.0,155800,67596600,137,107.3,430,6300,428,1500,659120000,659120000,64593760,0,0,0,0,0
2026-02-13,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,428.0,428.0,448.0,428.0,436.0,8.0,1795200,785443000,284,108.8,442,300,436,5100,659120000,659120000,64593760,1000,0,0,0,0
2026-02-12,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,424.0,430.0,440.0,410.0,428.0,4.0,1741800,745070200,364,106.8,430,8400,428,7100,659120000,659120000,64593760,0,0,0,0,0
2026-02-11,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,410.0,426.0,438.0,412.0,424.0,14.0,1167000,497380000,300,105.8,426,600,424,3700,659120000,659120000,64593760,2100,193200,0,0,0
2026-02-10,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,416.0,0.0,428.0,408.0,410.0,-6.0,1334600,555737000,310,102.3,412,900,410,4700,659120000,659120000,64593760,1800,225100,0,0,0
2026-02-09,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,400.0,400.0,420.0,398.0,416.0,16.0,1856000,761096000,330,103.8,414,2600,402,1700,659120000,659120000,64593760,0,0,0,0,0
2026-02-06,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,422.0,414.0,446.0,392.0,400.0,-22.0,1412000,580854000,600,99.8,408,16800,400,1900,659120000,659120000,64593760,52500,61100,0,0,0
2026-02-05,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,394.0,398.0,482.0,398.0,422.0,28.0,1875900,806126400,1024,105.3,422,38500,420,5900,659120000,659120000,64593760,182900,3600,0,0,0
2026-02-04,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,410.0,0.0,414.0,390.0,394.0,-16.0,1022200,413871600,245,98.3,406,2500,394,17000,659120000,659120000,64593760,0,62400,0,0,0
2026-02-03,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,398.0,396.0,430.0,348.0,410.0,12.0,1176900,465678000,423,102.3,418,13200,410,7900,659120000,659120000,64593760,0,32400,0,0,0
2026-02-02,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,434.0,432.0,432.0,384.0,398.0,-36.0,507700,201786800,235,99.3,398,310400,396,2100,659120000,659120000,64593760,800,0,0,0,0
2026-01-30,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,404.0,404.0,436.0,398.0,434.0,30.0,319000,132062400,225,108.3,436,3300,424,100,659120000,659120000,64593760,500,46100,0,0,0
2026-01-29,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,420.0,418.0,418.0,358.0,404.0,-16.0,813000,305887400,446,100.8,404,10400,392,5000,659120000,659120000,64593760,3300,134200,0,0,0
2026-01-28,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,486.0,486.0,486.0,418.0,420.0,-66.0,1185800,514352400,513,104.8,420,3400,418,20600,659120000,659120000,64593760,1900,116300,0,0,0
