Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-17,PURI,Puri Global Sukses Tbk.,--UO2130000000H111------------,172.0,174.0,189.0,172.0,179.0,7.0,4856900,874976100,1210,105.3,179,94800,177,18800,1000000000,1000000000,147400000,113900,45800,0,0,0
2026-04-16,PURI,Puri Global Sukses Tbk.,--UO2130000000H111------------,184.0,184.0,184.0,170.0,172.0,-12.0,5397500,935513000,1227,101.2,173,104300,172,2800,1000000000,1000000000,147400000,0,993500,0,0,0
2026-04-15,PURI,Puri Global Sukses Tbk.,--UO2130000000H111------------,190.0,212.0,220.0,181.0,184.0,-6.0,21821100,4310857200,4223,108.2,184,65300,182,1000,1000000000,1000000000,147400000,1674700,200400,0,0,0
2026-04-14,PURI,Puri Global Sukses Tbk.,--UO2130000000H111------------,141.0,140.0,190.0,139.0,190.0,49.0,22187100,3881137500,3793,111.8,0,0,190,2363300,1000000000,1000000000,147400000,674600,0,0,0,0
2026-04-13,PURI,Puri Global Sukses Tbk.,--UO2130000000H111------------,140.0,142.0,143.0,138.0,141.0,1.0,996100,139954400,264,82.9,142,151000,141,99700,1000000000,1000000000,147400000,0,0,0,0,0
2026-04-10,PURI,Puri Global Sukses Tbk.,--UO2130000000H111------------,137.0,136.0,148.0,135.0,140.0,3.0,1982700,280232400,621,82.4,141,9900,140,97600,1000000000,1000000000,147400000,2700,0,0,0,0
2026-04-09,PURI,Puri Global Sukses Tbk.,--UO2130000000H111------------,137.0,136.0,138.0,134.0,137.0,0.0,619400,84235600,196,80.6,137,72000,134,11400,1000000000,1000000000,147400000,0,0,0,0,0
2026-04-08,PURI,Puri Global Sukses Tbk.,--UO2130000000H111------------,135.0,136.0,138.0,133.0,137.0,2.0,2205000,297111200,254,80.6,137,53700,136,20600,1000000000,1000000000,147400000,0,0,0,0,0
2026-04-07,PURI,Puri Global Sukses Tbk.,--UO2130000000H111------------,135.0,138.0,138.0,132.0,135.0,0.0,627700,84487900,187,79.4,135,80700,132,54400,1000000000,1000000000,147400000,0,0,0,0,0
2026-04-06,PURI,Puri Global Sukses Tbk.,--UO2130000000H111------------,140.0,145.0,145.0,133.0,135.0,-5.0,490900,67353900,383,79.4,137,45400,135,210300,1000000000,1000000000,147400000,12000,0,0,0,0
2026-04-02,PURI,Puri Global Sukses Tbk.,--UO2130000000H111------------,142.0,143.0,150.0,130.0,140.0,-2.0,701300,97891100,189,82.4,140,81000,136,10300,1000000000,1000000000,147400000,81700,0,0,0,0
2026-04-01,PURI,Puri Global Sukses Tbk.,--UO2130000000H111------------,144.0,142.0,145.0,137.0,142.0,-2.0,729800,103206300,210,83.5,142,9000,141,600,1000000000,1000000000,147400000,0,0,0,0,0
