Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-30,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,218.0,216.0,218.0,208.0,212.0,-6.0,401200,85451600,142,90.6,212,102800,210,9400,6813620000,6813620000,1548735826,105100,4900,0,0,0
2026-04-29,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,214.0,220.0,222.0,212.0,218.0,4.0,394800,85868200,90,93.2,218,11300,216,9600,6813620000,6813620000,1548735826,5800,3900,0,0,0
2026-04-28,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,212.0,218.0,236.0,206.0,214.0,2.0,1104700,237625000,500,91.5,220,18000,214,167700,6813620000,6813620000,1548735826,105000,6600,0,0,0
2026-04-27,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,226.0,224.0,228.0,212.0,212.0,-14.0,2312800,514006600,178,90.6,216,161200,212,37000,6813620000,6813620000,1548735826,461300,25900,0,0,0
2026-04-24,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,234.0,0.0,236.0,218.0,226.0,-8.0,2325800,523411400,252,96.6,226,142200,218,432700,6813620000,6813620000,1548735826,150000,115800,0,0,0
2026-04-23,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,230.0,230.0,238.0,230.0,234.0,4.0,800700,187308600,153,100.0,234,99000,232,12300,6813620000,6813620000,1548735826,74000,700,0,0,0
2026-04-22,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,230.0,230.0,238.0,228.0,230.0,0.0,2890000,664763600,197,98.3,232,21400,230,2200,6813620000,6813620000,1548735826,82500,4500,0,0,0
2026-04-21,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,228.0,0.0,236.0,226.0,230.0,2.0,415700,95181400,116,98.3,230,247600,228,168500,6813620000,6813620000,1548735826,49500,3100,0,0,0
2026-04-20,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,232.0,232.0,238.0,226.0,228.0,-4.0,913400,209891600,266,97.4,230,9900,228,10800,6813620000,6813620000,1548735826,227100,3400,0,0,0
2026-04-17,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,234.0,0.0,236.0,228.0,232.0,-2.0,580100,134565000,90,99.1,232,55800,230,87700,6813620000,6813620000,1548735826,2100,2400,0,0,0
2026-04-16,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,232.0,236.0,238.0,230.0,234.0,2.0,2028000,470060800,128,100.0,234,369800,232,55600,6813620000,6813620000,1548735826,61600,3600,0,0,0
2026-04-15,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,236.0,238.0,238.0,230.0,232.0,-4.0,1903300,442581600,151,99.1,232,113900,230,122300,6813620000,6813620000,1548735826,4000,88300,32500000,7670000000,1
2026-04-14,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,236.0,236.0,238.0,230.0,236.0,0.0,1672500,390802200,90,100.9,236,168900,234,57700,6813620000,6813620000,1548735826,2300,2200,0,0,0
2026-04-13,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,238.0,238.0,238.0,224.0,236.0,-2.0,2329100,540857200,574,100.9,236,92400,234,29800,6813620000,6813620000,1548735826,73200,5800,0,0,0
2026-04-10,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,236.0,236.0,246.0,236.0,238.0,2.0,2974100,719741000,501,101.7,238,3100,236,122300,6813620000,6813620000,1548735826,43100,2000,0,0,0
2026-04-09,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,236.0,236.0,236.0,232.0,236.0,0.0,406000,95414000,117,100.9,236,97300,234,197300,6813620000,6813620000,1548735826,10100,8300,0,0,0
2026-04-08,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,238.0,236.0,240.0,222.0,236.0,-2.0,3084300,718660600,838,100.9,236,63500,234,29000,6813620000,6813620000,1548735826,72500,6700,0,0,0
