Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-06,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6350.0,6500.0,6500.0,6250.0,6375.0,25.0,8051000,51250165000,4759,554.3,6400,142500,6375,41900,2715053800,2715053800,847639796,3024800,381000,0,0,0
2026-05-05,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,5950.0,5950.0,6375.0,5800.0,6350.0,400.0,8866500,54307070000,4959,552.2,6375,63500,6350,31900,2715053800,2715053800,847639796,1433700,3412100,0,0,0
2026-05-04,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6175.0,6250.0,6425.0,5925.0,5950.0,-225.0,9633900,59542947500,5127,517.4,5975,10600,5950,738000,2715053800,2715053800,847639796,2225500,1512100,0,0,0
2026-04-30,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6400.0,6475.0,6475.0,5900.0,6175.0,-225.0,7984200,49353787500,5552,537.0,6200,11400,6175,49200,2715053800,2715053800,847639796,1851000,1348300,42900,300943500,1
2026-04-29,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6575.0,6575.0,6675.0,6350.0,6400.0,-175.0,5173200,33404377500,3463,556.5,6425,44700,6400,94500,2715053800,2715053800,847639796,2293500,359100,0,0,0
2026-04-28,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6225.0,6325.0,6700.0,6200.0,6575.0,350.0,14564000,95160562500,6076,571.7,6600,123800,6575,204100,2715053800,2715053800,847639796,6487700,8048000,28900,206635000,1
2026-04-27,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6200.0,6200.0,6500.0,6075.0,6225.0,25.0,11364900,71109282500,5291,541.3,6250,200,6225,11300,2715053800,2715053800,847639796,1902600,2305200,42900,300300000,1
2026-04-24,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6725.0,6700.0,6800.0,6150.0,6200.0,-525.0,19748400,126650340000,8527,539.1,6250,15100,6200,145500,2715053800,2715053800,847639796,3511700,5650100,68000,442000000,1
2026-04-23,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6925.0,6950.0,7125.0,6675.0,6725.0,-200.0,12335000,84944135000,5656,584.8,6750,91100,6725,177100,2715053800,2715053800,847639796,2795000,1177400,2574700,17385996200,3
2026-04-22,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6850.0,6850.0,7125.0,6850.0,6925.0,75.0,10961900,76437287500,5109,602.2,6950,7700,6925,34000,2715053800,2715053800,847639796,1499500,496700,142800,1013880000,1
2026-04-21,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6525.0,6525.0,7000.0,6400.0,6850.0,325.0,16965500,114932562500,7549,595.7,6850,601100,6825,28900,2715053800,2715053800,847639796,2546800,4285100,0,0,0
2026-04-20,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6650.0,6650.0,6875.0,6525.0,6525.0,-125.0,13425000,89382982500,5478,567.4,6550,7900,6525,23600,2715053800,2715053800,847639796,7072200,6698900,62000,486700000,1
2026-04-17,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6725.0,6725.0,6800.0,6500.0,6650.0,-75.0,8914500,59396895000,5579,578.3,6675,113000,6650,188100,2715053800,2715053800,847639796,963800,1544000,0,0,0
2026-04-16,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6925.0,7100.0,7325.0,6650.0,6725.0,-200.0,17152100,118477710000,9123,584.8,6750,40000,6725,206100,2715053800,2715053800,847639796,3219600,2299500,354600,2482550000,4
2026-04-15,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,7075.0,7300.0,7500.0,6875.0,6925.0,-150.0,32239900,233541407500,15410,602.2,6925,53400,6900,90100,2715053800,2715053800,847639796,6377900,6261700,62000,525450000,1
2026-04-14,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,6100.0,6425.0,7200.0,6400.0,7075.0,975.0,34174900,230819940000,18006,615.2,7075,100,7050,36900,2715053800,2715053800,847639796,5882600,5897500,0,0,0
2026-04-13,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,5625.0,5600.0,6125.0,5400.0,6100.0,475.0,33385000,194182000000,13228,530.4,6125,236600,6100,218700,2715053800,2715053800,847639796,13986400,10089200,0,0,0
2026-04-10,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,5350.0,5450.0,5850.0,5450.0,5625.0,275.0,18824100,107148222500,9739,489.1,5650,145000,5625,29700,2715053800,2715053800,847639796,1734900,4298700,0,0,0
2026-04-09,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,5500.0,5400.0,5550.0,5200.0,5350.0,-150.0,23771600,129033170000,10374,465.2,5375,15500,5350,31400,2715053800,2715053800,847639796,8764400,10336500,0,0,0
2026-04-08,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,5100.0,5400.0,5550.0,5150.0,5500.0,400.0,22995700,123152662500,10810,478.3,5525,74900,5500,974900,2715053800,2715053800,847639796,11361800,3609000,56500,299450000,1
2026-04-07,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,5175.0,5250.0,5450.0,5050.0,5100.0,-75.0,9190100,48069417500,5970,443.5,5125,16600,5100,29300,2715053800,2715053800,847639796,3971400,1730500,0,0,0
2026-04-06,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,4920.0,4870.0,5175.0,4750.0,5175.0,255.0,9352100,47081143000,3785,450.0,5200,234700,5175,54400,2715053800,2715053800,847639796,1250100,3580800,0,0,0
2026-04-02,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,5175.0,5100.0,5125.0,4910.0,4920.0,-255.0,4786900,23873094000,3857,427.8,4930,18600,4920,2700,2715053800,2715053800,847639796,2302500,255200,14460,65070000,5
2026-04-01,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,4850.0,5025.0,5175.0,4940.0,5175.0,325.0,6329800,31830069500,3875,450.0,5200,101100,5175,88000,2715053800,2715053800,847639796,1392000,2504200,70998,370166160,7
2026-03-31,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,4990.0,5000.0,5100.0,4820.0,4850.0,-140.0,4192900,20710098000,3051,421.7,4860,35700,4850,869400,2715053800,2715053800,847639796,1649700,453500,96600,560280000,1
2026-03-30,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,4980.0,4950.0,4990.0,4760.0,4990.0,10.0,7909100,38523545000,3333,433.9,5000,63700,4990,97400,2715053800,2715053800,847639796,2164900,1830700,0,0,0
2026-03-27,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,5075.0,5050.0,5175.0,4970.0,4980.0,-95.0,2687500,13504514000,1919,433.0,4990,158700,4980,123300,2715053800,2715053800,847639796,1230600,562400,33,165000,1
2026-03-26,RATU,Raharja Energi Cepu Tbk.,--UO2K35F00000A111------------,5200.0,5250.0,5425.0,4980.0,5075.0,-125.0,7462100,38507711000,4062,441.3,5100,5000,5075,65400,2715053800,2715053800,847639796,2784500,1182000,56529,452138910,2
