Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-22,RBMS,Ristia Bintang Mahkotasejati Tbk.,--U-4130000000H111-----------X,64.0,0.0,70.0,58.0,70.0,6.0,16960900,1084517800,458,22.4,0,0,70,271900,2656212826,2656212826,1247623164,0,0,0,0,0
2026-05-21,RBMS,Ristia Bintang Mahkotasejati Tbk.,--U-4130000000H111-----------X,71.0,0.0,69.0,64.0,64.0,-7.0,12454900,823970300,389,20.5,64,3526200,0,0,2656212826,2656212826,1247623164,0,0,0,0,0
2026-05-20,RBMS,Ristia Bintang Mahkotasejati Tbk.,--U-4130000000H111-----------X,71.0,0.0,72.0,70.0,71.0,0.0,5348300,378290100,286,22.7,72,3189000,71,146700,2656212826,2656212826,1247623164,0,0,0,0,0
2026-05-19,RBMS,Ristia Bintang Mahkotasejati Tbk.,--U-4130000000H111-----------X,74.0,0.0,76.0,71.0,71.0,-3.0,6635700,493298600,292,22.7,72,30700,71,439700,2656212826,2656212826,1247623164,400,0,0,0,0
2026-05-18,RBMS,Ristia Bintang Mahkotasejati Tbk.,--U-4130000000H111-----------X,74.0,0.0,74.0,71.0,74.0,0.0,7420100,541111400,371,23.7,75,394300,74,128900,2656212826,2656212826,1247623164,0,0,0,0,0
2026-05-13,RBMS,Ristia Bintang Mahkotasejati Tbk.,--U-4130000000H111-----------X,70.0,0.0,74.0,71.0,74.0,4.0,7617200,552255700,332,23.7,75,901000,74,73500,2656212826,2656212826,1247623164,40000,0,0,0,0
2026-05-12,RBMS,Ristia Bintang Mahkotasejati Tbk.,--U-4130000000H111-----------X,73.0,0.0,73.0,66.0,70.0,-3.0,17331300,1169136700,587,22.4,70,1957300,69,3000,2656212826,2656212826,1247623164,0,0,0,0,0
2026-05-11,RBMS,Ristia Bintang Mahkotasejati Tbk.,--U-4130000000H111-----------X,75.0,0.0,79.0,73.0,73.0,-2.0,8492100,652982300,414,23.4,75,27300,73,854100,2656212826,2656212826,1247623164,0,0,0,0,0
2026-05-08,RBMS,Ristia Bintang Mahkotasejati Tbk.,--U-4130000000H111-----------X,70.0,0.0,76.0,71.0,75.0,5.0,9077800,678395700,479,24.0,75,1579800,74,109700,2656212826,2656212826,1247623164,30000,0,0,0,0
2026-05-07,RBMS,Ristia Bintang Mahkotasejati Tbk.,--U-4130000000H111-----------X,76.0,0.0,74.0,70.0,70.0,-6.0,13156500,942565800,545,22.4,71,120000,69,1400300,2656212826,2656212826,1247623164,0,1000,0,0,0
2026-05-06,RBMS,Ristia Bintang Mahkotasejati Tbk.,--U-4130000000H111-----------X,77.0,0.0,81.0,74.0,76.0,-1.0,18866500,1480397900,848,24.3,77,95200,76,648300,2656212826,2656212826,1247623164,30000,10000,0,0,0
