Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-13,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,675.0,0.0,685.0,670.0,685.0,10.0,146700,99971000,28,280.7,680,4400,670,4700,609130000,609130000,106415011,2700,0,0,0,0
2026-05-12,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,680.0,685.0,685.0,640.0,675.0,-5.0,54800,36213500,37,276.6,675,4900,670,4800,609130000,609130000,106415011,100,0,0,0,0
2026-05-11,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,685.0,680.0,685.0,675.0,680.0,-5.0,35500,24127500,26,278.6,685,73100,680,31800,609130000,609130000,106415011,700,0,0,0,0
2026-05-08,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,685.0,680.0,685.0,675.0,685.0,0.0,168100,115128500,23,280.7,685,102200,680,9700,609130000,609130000,106415011,700,0,0,0,0
2026-05-07,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,690.0,0.0,690.0,650.0,685.0,-5.0,75100,50194500,52,280.7,685,228400,675,2700,609130000,609130000,106415011,0,0,0,0,0
2026-05-06,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,690.0,0.0,690.0,665.0,690.0,0.0,28400,19232500,23,282.7,690,12400,675,400,609130000,609130000,106415011,900,12700,0,0,0
2026-05-05,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,685.0,0.0,695.0,655.0,690.0,5.0,44500,30149000,27,282.7,690,3400,680,7300,609130000,609130000,106415011,2300,0,0,0,0
2026-05-04,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,680.0,680.0,700.0,655.0,685.0,5.0,66300,45364500,51,280.7,685,18200,680,6000,609130000,609130000,106415011,2300,0,0,0,0
2026-04-30,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,670.0,0.0,700.0,660.0,680.0,10.0,134900,90567000,73,278.6,680,21600,675,1200,609130000,609130000,106415011,6000,0,0,0,0
2026-04-29,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,690.0,0.0,695.0,670.0,670.0,-20.0,24800,17124500,29,274.5,695,106500,670,41600,609130000,609130000,106415011,400,0,0,0,0
2026-04-28,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,690.0,0.0,695.0,670.0,690.0,0.0,79400,53792500,31,282.7,690,24900,675,10200,609130000,609130000,106415011,21200,0,0,0,0
2026-04-27,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,680.0,680.0,700.0,670.0,690.0,10.0,22100,15015000,27,282.7,690,3200,680,2200,609130000,609130000,106415011,1500,0,0,0,0
2026-04-24,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,690.0,690.0,690.0,665.0,680.0,-10.0,32400,22133000,25,278.6,690,18400,680,3000,609130000,609130000,106415011,3300,0,0,0,0
2026-04-23,RIGS,Rig Tenders Indonesia Tbk.,--UO2130000000A122------------,695.0,695.0,695.0,680.0,690.0,-5.0,37900,25962500,31,282.7,690,18800,680,17000,609130000,609130000,106415011,0,0,0,0,0
