Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-22,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,1905.0,1820.0,1820.0,1640.0,1750.0,-155.0,116500,201810000,123,130.6,1750,900,1740,3700,1435185100,1435185100,287037020,0,15300,0,0,0
2026-05-21,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2110.0,0.0,2200.0,1810.0,1905.0,-205.0,69900,139702500,162,142.2,1905,4900,1820,100,1435185100,1435185100,287037020,9400,5000,0,0,0
2026-05-20,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2210.0,2100.0,2200.0,2000.0,2110.0,-100.0,17500,35874000,86,157.5,2110,1200,2030,100,1435185100,1435185100,287037020,0,1200,0,0,0
2026-05-19,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2220.0,0.0,2240.0,1995.0,2210.0,-10.0,75600,156388000,150,164.9,2210,1500,2000,100,1435185100,1435185100,287037020,0,14100,0,0,0
2026-05-18,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2410.0,2410.0,2410.0,2210.0,2220.0,-190.0,21700,49109000,71,165.7,2250,200,2220,900,1435185100,1435185100,287037020,0,0,0,0,0
2026-05-13,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2260.0,2260.0,2410.0,2100.0,2410.0,150.0,72900,165538000,156,179.9,2440,1500,2410,3700,1435185100,1435185100,287037020,0,300,12719000,26709900000,1
2026-05-12,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2330.0,2330.0,2330.0,2260.0,2260.0,-70.0,32400,74296000,86,168.7,2290,800,2260,1100,1435185100,1435185100,287037020,200,600,14000000,30800000000,1
2026-05-11,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2360.0,0.0,2600.0,2270.0,2330.0,-30.0,57700,137701000,183,173.9,2330,5800,2300,500,1435185100,1435185100,287037020,800,0,14100000,33840000000,1
2026-05-08,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2470.0,2600.0,2600.0,2360.0,2360.0,-110.0,50700,123666000,160,176.1,2420,2300,2360,6100,1435185100,1435185100,287037020,800,300,0,0,0
2026-05-07,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2390.0,2600.0,2850.0,2400.0,2470.0,80.0,654300,1766849000,1175,184.3,2490,400,2470,1200,1435185100,1435185100,287037020,91000,19100,0,0,0
2026-05-06,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2430.0,0.0,2440.0,2380.0,2390.0,-40.0,47800,114892000,63,178.4,2430,2400,2390,900,1435185100,1435185100,287037020,0,27800,0,0,0
2026-05-05,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2470.0,2480.0,2500.0,2380.0,2430.0,-40.0,22900,55792000,75,181.3,2450,100,2420,800,1435185100,1435185100,287037020,3800,4500,0,0,0
2026-05-04,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2540.0,0.0,2500.0,2360.0,2470.0,-70.0,40100,97167000,109,184.3,2460,300,2400,3600,1435185100,1435185100,287037020,1900,0,0,0,0
2026-04-30,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2560.0,0.0,2610.0,2300.0,2540.0,-20.0,35900,89525000,125,189.6,2550,300,2540,400,1435185100,1435185100,287037020,1300,0,0,0,0
2026-04-29,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2600.0,0.0,2680.0,2500.0,2560.0,-40.0,61600,157204000,128,191.0,2560,900,2520,100,1435185100,1435185100,287037020,100,17700,0,0,0
2026-04-28,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2600.0,0.0,2680.0,2520.0,2600.0,0.0,74300,190526000,147,194.0,2610,1700,2600,1300,1435185100,1435185100,287037020,1100,37300,0,0,0
2026-04-27,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2500.0,0.0,2840.0,2510.0,2600.0,100.0,291400,786749000,741,194.0,2600,2200,2560,3500,1435185100,1435185100,287037020,37200,12400,0,0,0
2026-04-24,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2640.0,2640.0,2640.0,2450.0,2500.0,-140.0,47000,117345000,122,186.6,2500,3800,2470,200,1435185100,1435185100,287037020,0,4700,0,0,0
2026-04-23,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2760.0,2780.0,2840.0,2550.0,2640.0,-120.0,76200,201692000,261,197.0,2640,1900,2610,47800,1435185100,1435185100,287037020,6800,3200,0,0,0
2026-04-22,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2570.0,2570.0,3000.0,2400.0,2760.0,190.0,487100,1351097000,929,206.0,2770,1000,2760,89800,1435185100,1435185100,287037020,58500,24000,0,0,0
2026-04-21,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2620.0,2640.0,2640.0,2480.0,2570.0,-50.0,134900,340821000,177,191.8,2570,4400,2560,100,1435185100,1435185100,287037020,5900,51400,0,0,0
2026-04-20,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2680.0,2680.0,2680.0,2470.0,2620.0,-60.0,72500,187135000,166,195.5,2620,600,2570,100,1435185100,1435185100,287037020,8400,18100,0,0,0
2026-04-17,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2780.0,2780.0,2800.0,2640.0,2680.0,-100.0,138500,372987000,313,200.0,2700,100,2680,1600,1435185100,1435185100,287037020,600,2000,0,0,0
2026-04-16,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2840.0,0.0,2850.0,2740.0,2780.0,-60.0,120700,337251000,311,207.5,2780,500,2770,500,1435185100,1435185100,287037020,5600,3700,0,0,0
2026-04-15,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2840.0,2920.0,2990.0,2780.0,2840.0,0.0,133600,381158000,259,211.9,2840,800,2810,300,1435185100,1435185100,287037020,100,100,0,0,0
2026-04-14,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2850.0,2850.0,2920.0,2770.0,2840.0,-10.0,133400,378307000,382,211.9,2860,7300,2840,16200,1435185100,1435185100,287037020,3000,3000,0,0,0
2026-04-13,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2930.0,2880.0,3000.0,2500.0,2850.0,-80.0,338600,968166000,667,212.7,2850,15000,2840,600,1435185100,1435185100,287037020,12400,12900,0,0,0
2026-04-10,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2940.0,3000.0,3430.0,2710.0,2930.0,-10.0,1126400,3445617000,2286,218.7,2930,5200,2920,1500,1435185100,1435185100,287037020,13700,13800,0,0,0
2026-04-09,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2480.0,2900.0,3100.0,2760.0,2940.0,460.0,1959300,5775912000,3369,219.4,2950,9700,2940,23900,1435185100,1435185100,287037020,168500,76200,0,0,0
2026-04-08,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,1985.0,0.0,2480.0,1990.0,2480.0,495.0,589200,1429612000,754,185.1,0,0,2480,684600,1435185100,1435185100,287037020,2000,26900,0,0,0
2026-04-07,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,1980.0,0.0,2060.0,1930.0,1985.0,5.0,130200,258249500,304,148.1,1995,1500,1985,4900,1435185100,1435185100,287037020,0,18100,0,0,0
2026-04-06,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2220.0,1890.0,2260.0,1890.0,1980.0,-240.0,564800,1109537000,1020,147.8,1985,800,1980,13700,1435185100,1435185100,287037020,26100,15600,0,0,0
2026-04-02,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2310.0,2320.0,2360.0,2220.0,2220.0,-90.0,109700,252975000,197,165.7,2280,600,2210,600,1435185100,1435185100,287037020,100,16300,0,0,0
2026-04-01,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2360.0,2360.0,2440.0,2260.0,2310.0,-50.0,147500,347173000,294,172.4,2310,1600,2300,200,1435185100,1435185100,287037020,0,20700,0,0,0
2026-03-31,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2390.0,2390.0,2550.0,2300.0,2360.0,-30.0,188600,454477000,419,176.1,2360,8600,2350,1700,1435185100,1435185100,287037020,4600,5200,0,0,0
2026-03-30,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2450.0,2440.0,2920.0,2190.0,2390.0,-60.0,586100,1475284000,1111,178.4,2390,2800,2380,100,1435185100,1435185100,287037020,60400,4400,0,0,0
2026-03-27,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2550.0,2200.0,2500.0,2180.0,2450.0,-100.0,680600,1571211000,1452,182.8,2450,13300,2440,300,1435185100,1435185100,287037020,0,72200,0,0,0
2026-03-26,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,3000.0,2620.0,2620.0,2550.0,2550.0,-450.0,132300,339135000,270,190.3,2550,371300,0,0,1435185100,1435185100,287037020,0,7700,0,0,0
2026-03-25,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,3520.0,3800.0,4300.0,3000.0,3000.0,-520.0,1222200,4464238000,2269,223.9,3000,419300,0,0,1435185100,1435185100,287037020,37300,40600,0,0,0
2026-03-17,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2820.0,3150.0,3520.0,3150.0,3520.0,700.0,1406400,4845474000,2378,262.7,0,0,3510,43300,1435185100,1435185100,287037020,0,0,0,0,0
2026-03-16,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2260.0,2600.0,2820.0,2490.0,2820.0,560.0,596400,1648085000,894,210.4,0,0,2820,138300,1435185100,1435185100,287037020,23200,5100,0,0,0
2026-03-13,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,1810.0,1815.0,2260.0,1815.0,2260.0,450.0,477600,1033347500,735,168.7,0,0,2260,499300,1435185100,1435185100,287037020,54200,21000,0,0,0
2026-03-12,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,1990.0,1990.0,2050.0,1800.0,1810.0,-180.0,120000,230164000,248,135.1,1930,800,1810,50300,1435185100,1435185100,287037020,5000,2100,0,0,0
2026-03-11,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2100.0,2110.0,2200.0,1900.0,1990.0,-110.0,88100,178752000,258,148.5,2060,22200,1990,700,1435185100,1435185100,287037020,1300,14500,0,0,0
2026-03-10,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,1910.0,1990.0,2160.0,1840.0,2100.0,190.0,156300,306810000,321,156.7,2150,31300,2070,200,1435185100,1435185100,287037020,6600,21900,0,0,0
2026-03-09,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2150.0,2150.0,2150.0,1840.0,1910.0,-240.0,154900,300133500,222,142.5,1945,100,1910,2500,1435185100,1435185100,287037020,1100,15600,0,0,0
2026-03-06,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,2060.0,2460.0,2570.0,2090.0,2150.0,90.0,1566400,3729355000,1910,160.4,2210,100,2150,11600,1435185100,1435185100,287037020,112700,54000,0,0,0
2026-03-05,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,1655.0,2060.0,2060.0,2060.0,2060.0,405.0,137300,282838000,130,153.7,0,0,2060,210600,1435185100,1435185100,287037020,0,0,0,0,0
2026-03-04,ROCK,Rockfields Properti Indonesia Tbk.,--UO2135000000H111------------,1900.0,1850.0,1900.0,1645.0,1655.0,-245.0,84200,145615000,162,123.5,1735,100,1650,2500,1435185100,1435185100,287037020,0,26200,0,0,0
