Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-06,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131---L--------,81.0,0.0,85.0,77.0,81.0,0.0,1988400,162325100,319,31.9,82,73300,81,52300,983557875,983557875,0,0,0,0,0,0
2026-04-02,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131---L--------,89.0,0.0,91.0,81.0,81.0,-8.0,2573000,215310900,453,31.9,82,7100,81,10400,983557875,983557875,0,0,0,0,0,0
2026-04-01,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,83.0,0.0,91.0,81.0,89.0,6.0,3879500,338483600,503,35.0,89,85900,86,1000,983557875,983557875,0,0,31000,0,0,0
2026-03-31,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,88.0,0.0,90.0,83.0,83.0,-5.0,5066500,431407800,701,32.7,83,47400,82,323600,983557875,983557875,0,0,0,0,0,0
2026-03-30,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,93.0,0.0,93.0,86.0,88.0,-5.0,2710500,238305700,547,34.6,88,45100,87,718500,983557875,983557875,0,0,0,0,0,0
2026-03-27,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,92.0,0.0,95.0,89.0,93.0,1.0,1574700,143555900,309,36.6,93,62400,92,400,983557875,983557875,0,0,0,0,0,0
2026-03-26,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,100.0,0.0,100.0,91.0,92.0,-8.0,7600200,703765200,780,36.2,93,4500,92,85000,983557875,983557875,0,0,0,0,0,0
2026-03-25,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,111.0,0.0,119.0,100.0,100.0,-11.0,8338400,848274700,1282,39.4,100,589600,0,0,983557875,983557875,0,0,100,0,0,0
2026-03-17,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,110.0,0.0,120.0,99.0,111.0,1.0,31822400,3316644300,3119,43.7,111,52600,108,800,983557875,983557875,0,0,0,0,0,0
2026-03-16,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,122.0,0.0,134.0,110.0,110.0,-12.0,33975300,4221162000,1328,43.3,110,7980700,0,0,983557875,983557875,0,0,0,0,0,0
2026-03-13,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,111.0,0.0,122.0,115.0,122.0,11.0,4474200,545734800,309,48.0,0,0,122,6450400,983557875,983557875,0,0,0,0,0,0
2026-03-12,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,101.0,0.0,111.0,111.0,111.0,10.0,5183700,575390700,277,43.7,0,0,111,5233400,983557875,983557875,0,0,0,0,0,0
2026-03-11,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,92.0,0.0,101.0,92.0,101.0,9.0,9863600,990027300,549,39.8,0,0,101,4040500,983557875,983557875,0,0,50000,0,0,0
2026-03-10,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,85.0,0.0,93.0,85.0,92.0,7.0,15607800,1436229500,929,36.2,93,200600,92,2522600,983557875,983557875,0,0,0,0,0,0
2026-03-09,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,87.0,0.0,87.0,79.0,85.0,-2.0,481900,39922700,107,33.5,86,138200,85,105500,983557875,983557875,0,0,0,0,0,0
2026-03-06,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,88.0,0.0,88.0,82.0,87.0,-1.0,210400,17600300,55,34.3,87,42000,82,87600,983557875,983557875,0,0,0,0,0,0
2026-03-05,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,83.0,0.0,88.0,80.0,88.0,5.0,79700,6705200,53,34.6,88,13100,83,12500,983557875,983557875,0,0,0,0,0,0
2026-03-04,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,90.0,0.0,93.0,83.0,83.0,-7.0,1161100,100632900,81,32.7,88,167800,83,108800,983557875,983557875,0,0,0,0,0,0
2026-03-03,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,88.0,0.0,90.0,84.0,90.0,2.0,440900,38366000,70,35.4,90,3400,88,32900,983557875,983557875,0,0,0,0,0,0
2026-03-02,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,92.0,0.0,92.0,85.0,88.0,-4.0,374100,32617800,82,34.6,90,68900,88,223300,983557875,983557875,0,0,0,0,0,0
2026-02-27,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,91.0,0.0,92.0,87.0,92.0,1.0,225100,20369300,70,36.2,92,1800,90,67300,983557875,983557875,0,0,0,0,0,0
2026-02-26,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,91.0,0.0,91.0,89.0,91.0,0.0,184500,16541500,57,35.8,91,48900,90,348500,983557875,983557875,0,0,0,0,0,0
2026-02-25,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,91.0,0.0,92.0,88.0,91.0,0.0,527100,47629000,123,35.8,91,45800,90,29600,983557875,983557875,0,0,0,0,0,0
2026-02-24,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,96.0,0.0,105.0,87.0,91.0,-5.0,1973500,180894700,320,35.8,91,24100,89,9900,983557875,983557875,0,0,0,0,0,0
2026-02-23,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,94.0,0.0,97.0,93.0,96.0,2.0,613000,58682400,155,37.8,96,6800,95,10000,983557875,983557875,0,0,0,0,0,0
2026-02-20,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,97.0,0.0,106.0,92.0,94.0,-3.0,3058800,306434700,712,37.0,95,19900,94,7000,983557875,983557875,0,0,0,0,0,0
2026-02-19,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,90.0,0.0,99.0,90.0,97.0,7.0,2946100,284949200,587,38.2,97,46400,96,335300,983557875,983557875,0,0,0,0,0,0
2026-02-18,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,89.0,0.0,92.0,89.0,90.0,1.0,93200,8452200,64,35.4,90,19800,89,152000,983557875,983557875,0,0,0,0,0,0
2026-02-13,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,91.0,0.0,93.0,89.0,89.0,-2.0,346300,31093400,65,35.0,92,40100,89,52500,983557875,983557875,0,0,0,0,0,0
2026-02-12,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,90.0,0.0,93.0,89.0,91.0,1.0,352700,31872900,66,35.8,91,2000,89,88600,983557875,983557875,0,0,0,0,0,0
2026-02-11,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,91.0,0.0,92.0,89.0,90.0,-1.0,354900,31882700,102,35.4,90,22300,89,15200,983557875,983557875,0,0,0,0,0,0
2026-02-10,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,91.0,0.0,93.0,87.0,91.0,0.0,618500,55136300,126,35.8,91,32300,90,3400,983557875,983557875,0,0,0,0,0,0
2026-02-09,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,93.0,0.0,94.0,85.0,91.0,-2.0,890900,79001700,187,35.8,91,24700,88,21400,983557875,983557875,0,0,0,0,0,0
2026-02-06,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,93.0,0.0,94.0,89.0,93.0,0.0,173700,15740900,102,36.6,94,87200,93,900,983557875,983557875,0,0,0,0,0,0
2026-02-05,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,93.0,0.0,95.0,88.0,93.0,0.0,387000,35425200,146,36.6,93,600,92,4000,983557875,983557875,0,0,0,0,0,0
2026-02-04,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,96.0,0.0,100.0,89.0,93.0,-3.0,1675900,161271500,255,36.6,95,20800,93,7600,983557875,983557875,0,0,0,0,0,0
2026-02-03,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,99.0,0.0,108.0,96.0,96.0,-3.0,4531300,450639300,762,37.8,97,2700,96,55300,983557875,983557875,0,0,0,0,0,0
2026-02-02,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,90.0,0.0,99.0,90.0,99.0,9.0,4560500,445434800,1377,39.0,0,0,99,446800,983557875,983557875,0,0,0,0,0,0
2026-01-30,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,82.0,0.0,90.0,82.0,90.0,8.0,317300,28335000,111,35.4,0,0,90,103800,983557875,983557875,0,0,0,0,0,0
2026-01-29,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,89.0,0.0,92.0,81.0,82.0,-7.0,1028200,84337200,138,32.3,86,10100,82,107500,983557875,983557875,0,0,0,0,0,0
2026-01-28,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,96.0,0.0,97.0,87.0,89.0,-7.0,889600,79073200,161,35.0,90,38400,89,1400,983557875,983557875,0,0,0,0,0,0
2026-01-27,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,96.0,0.0,97.0,93.0,96.0,0.0,299500,28403400,99,37.8,97,38500,96,7300,983557875,983557875,0,0,0,0,0,0
2026-01-26,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,96.0,0.0,97.0,92.0,96.0,0.0,334900,31887800,158,37.8,97,27800,96,400,983557875,983557875,0,0,0,0,0,0
2026-01-23,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,98.0,0.0,100.0,93.0,96.0,-2.0,402100,38512900,139,37.8,96,12300,95,600,983557875,983557875,0,0,0,0,0,0
2026-01-22,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,102.0,0.0,102.0,97.0,98.0,-4.0,231400,23083300,106,38.6,99,10000,98,66000,983557875,983557875,0,0,0,0,0,0
2026-01-21,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,102.0,0.0,103.0,99.0,102.0,0.0,590100,59111000,145,40.2,101,1000,100,12200,983557875,983557875,0,0,0,0,0,0
2026-01-20,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,108.0,0.0,108.0,98.0,102.0,-6.0,2773700,281331500,432,40.2,103,31900,102,123500,983557875,983557875,0,0,0,0,0,0
2026-01-19,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,107.0,0.0,112.0,101.0,108.0,1.0,1058100,111866100,339,42.5,108,221400,107,17900,983557875,983557875,0,0,0,0,0,0
2026-01-15,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,98.0,0.0,107.0,98.0,107.0,9.0,4168700,441165000,836,42.1,0,0,107,88800,983557875,983557875,0,0,0,0,0,0
