Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-16,SGER,Sumber Global Energy Tbk.,--MO183F000000A122------------,400.0,406.0,448.0,406.0,434.0,34.0,13039400,5624341400,3875,3382.2,434,317600,432,18400,15586909438,15586909438,3242077163,1558100,1008500,0,0,0
2026-04-15,SGER,Sumber Global Energy Tbk.,--MO183F000000A122------------,390.0,390.0,406.0,390.0,400.0,10.0,5816800,2331608600,1203,3117.2,404,122700,400,550200,15586909438,15586909438,3242077163,1026300,752600,200000000,66400000000,1
2026-04-14,SGER,Sumber Global Energy Tbk.,--MO183F000000A122------------,378.0,384.0,390.0,378.0,390.0,12.0,3538800,1366287400,912,3039.3,390,145000,388,25000,15586909438,15586909438,3242077163,579800,564600,0,0,0
2026-04-13,SGER,Sumber Global Energy Tbk.,--MO183F000000A122------------,384.0,390.0,390.0,372.0,378.0,-6.0,3132700,1186156600,1103,2945.8,380,36700,378,33200,15586909438,15586909438,3242077163,758000,68100,0,0,0
2026-04-10,SGER,Sumber Global Energy Tbk.,--MO183F000000A122------------,382.0,382.0,394.0,378.0,384.0,2.0,2235500,864032200,505,2992.5,386,42400,384,150500,15586909438,15586909438,3242077163,310000,568900,0,0,0
2026-04-09,SGER,Sumber Global Energy Tbk.,--MO183F000000A122------------,382.0,382.0,388.0,374.0,382.0,0.0,1847300,703947600,659,2976.9,382,196800,378,1000,15586909438,15586909438,3242077163,556300,52700,0,0,0
2026-04-08,SGER,Sumber Global Energy Tbk.,--MO183F000000A122------------,380.0,378.0,382.0,372.0,382.0,2.0,1855500,701853800,873,2976.9,382,960500,380,49300,15586909438,15586909438,3242077163,167800,225900,0,0,0
2026-04-07,SGER,Sumber Global Energy Tbk.,--MO183F000000A122------------,394.0,392.0,394.0,358.0,380.0,-14.0,5368900,2007322200,1185,2961.3,380,2198800,378,100,15586909438,15586909438,3242077163,1957400,168500,0,0,0
2026-04-06,SGER,Sumber Global Energy Tbk.,--MO183F000000A122------------,394.0,392.0,396.0,382.0,394.0,0.0,2463000,956193600,611,3070.4,394,60900,392,5400,15586909438,15586909438,3242077163,546600,480800,0,0,0
2026-04-02,SGER,Sumber Global Energy Tbk.,--MO183F000000A122------------,414.0,416.0,418.0,392.0,394.0,-20.0,2946400,1180605600,818,3070.4,394,1300,392,53000,15586909438,15586909438,3242077163,1341300,79100,0,0,0
