Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-09,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,520.0,520.0,520.0,510.0,515.0,-5.0,12498900,6453491500,2635,178.2,520,1409400,515,34800,30000000000,30000000000,6063000000,7435700,3750500,0,0,0
2026-04-08,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,515.0,520.0,520.0,515.0,520.0,5.0,7269300,3756269500,2757,179.9,520,1072600,515,3163500,30000000000,30000000000,6063000000,4474300,1482500,0,0,0
2026-04-07,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,515.0,520.0,520.0,510.0,515.0,0.0,7844000,4033441000,1650,178.2,520,800200,515,3600,30000000000,30000000000,6063000000,3730300,1890800,0,0,0
2026-04-06,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,520.0,520.0,525.0,510.0,515.0,-5.0,5623700,2898489500,2692,178.2,520,1123800,515,40700,30000000000,30000000000,6063000000,2737200,1495600,0,0,0
2026-04-02,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,515.0,515.0,525.0,510.0,520.0,5.0,13362600,6954451500,2742,179.9,520,256800,515,1048500,30000000000,30000000000,6063000000,6197100,7124600,0,0,0
2026-04-01,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,515.0,515.0,520.0,510.0,515.0,0.0,5486600,2824256000,1604,178.2,515,5000,510,4209500,30000000000,30000000000,6063000000,3320800,1399700,3,1530,1
2026-03-31,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,515.0,515.0,525.0,510.0,515.0,0.0,15547200,8014326000,2152,178.2,515,183400,510,2899900,30000000000,30000000000,6060000000,9904500,4423200,0,0,0
2026-03-30,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,520.0,520.0,520.0,510.0,515.0,-5.0,12585000,6470561500,2686,178.2,515,403400,510,1712300,30000000000,30000000000,6060000000,6549800,2065800,0,0,0
2026-03-27,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,515.0,515.0,520.0,510.0,520.0,5.0,19041500,9825334000,1939,179.9,520,175200,515,54700,30000000000,30000000000,6060000000,10515900,4258000,94,48410,1
2026-03-26,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,515.0,515.0,520.0,510.0,515.0,0.0,4165100,2142487500,1770,178.2,515,1994700,510,3663200,30000000000,30000000000,6060000000,1916900,847100,0,0,0
2026-03-25,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,505.0,505.0,515.0,505.0,515.0,10.0,11022300,5634000500,3337,178.2,515,415800,510,1215700,30000000000,30000000000,6060000000,7017600,4144900,30,15150,1
2026-03-17,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,505.0,505.0,515.0,505.0,505.0,0.0,6280600,3189507500,1862,174.7,510,799100,505,4463100,30000000000,30000000000,6060000000,3932300,1442200,200,110000,1
2026-03-16,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,510.0,510.0,510.0,500.0,505.0,-5.0,14317000,7222990500,2881,174.7,510,804200,505,2131400,30000000000,30000000000,6060000000,9218800,6065400,0,0,0
2026-03-13,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,510.0,515.0,520.0,505.0,510.0,0.0,8283100,4226099000,2348,176.5,510,558600,505,4147500,30000000000,30000000000,6060000000,2204200,872000,2000,1010000,5
2026-03-12,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,510.0,510.0,520.0,510.0,510.0,0.0,8818300,4526681000,2468,176.5,515,275000,510,3655800,30000000000,30000000000,6060000000,5269400,3598500,0,0,0
2026-03-11,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,505.0,510.0,520.0,505.0,510.0,5.0,11084100,5669739000,2160,176.5,515,423700,510,357200,30000000000,30000000000,6060000000,6739100,3984000,10,1000,1
2026-03-10,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,510.0,510.0,515.0,505.0,505.0,-5.0,13648600,6926904000,3976,174.7,510,229800,505,5197100,30000000000,30000000000,6060000000,11385800,3118700,0,0,0
2026-03-09,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,520.0,520.0,525.0,505.0,510.0,-10.0,19514700,9946382500,6055,176.5,510,3000,505,3019900,30000000000,30000000000,6060000000,9562000,3181500,400,206000,1
2026-03-06,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,520.0,520.0,525.0,515.0,520.0,0.0,7956700,4146391000,2312,179.9,525,163500,520,14600,30000000000,30000000000,6060000000,3177700,1891000,0,0,0
2026-03-05,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,520.0,520.0,525.0,520.0,520.0,0.0,7071000,3692548000,2245,179.9,525,759300,520,1213000,30000000000,30000000000,6060000000,2578700,971100,97,50440,1
2026-03-04,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,525.0,525.0,540.0,515.0,520.0,-5.0,22579300,11813205500,5873,179.9,525,981000,520,438300,30000000000,30000000000,6060000000,7553400,7250500,0,0,0
2026-03-03,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,535.0,535.0,535.0,525.0,525.0,-10.0,7190400,3817312000,2421,181.6,530,80100,525,2690600,30000000000,30000000000,6060000000,3799400,269000,0,0,0
2026-03-02,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6000F211------------,540.0,535.0,540.0,525.0,535.0,-5.0,19684100,10518468000,4217,185.1,535,21500,530,1310000,30000000000,30000000000,6060000000,5694200,12664100,0,0,0
2026-02-27,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,540.0,545.0,545.0,535.0,540.0,0.0,11875700,6423745500,2281,186.8,540,36500,535,3748400,30000000000,30000000000,6060000000,5694100,5760300,500085,270045900,2
2026-02-26,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,530.0,530.0,550.0,530.0,540.0,10.0,31226200,16908056500,3887,186.8,540,4000,535,1410500,30000000000,30000000000,6060000000,13911500,17544400,0,0,0
2026-02-25,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,530.0,535.0,540.0,530.0,530.0,0.0,3545700,1887722500,1205,183.4,535,564700,530,2992700,30000000000,30000000000,6060000000,267500,199900,29,11600,1
2026-02-24,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,535.0,535.0,540.0,530.0,530.0,-5.0,15860900,8521785500,2116,183.4,535,2600,530,2166300,30000000000,30000000000,6060000000,5586900,10448100,100607,53824780,2
2026-02-23,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,525.0,525.0,535.0,520.0,535.0,10.0,18392600,9739753000,2348,185.1,535,100900,530,1762200,30000000000,30000000000,6060000000,5873700,12211800,7,3150,1
2026-02-20,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,525.0,525.0,530.0,520.0,525.0,0.0,5002500,2624374500,1347,181.6,525,246400,520,6687500,30000000000,30000000000,6060000000,2834400,998700,0,0,0
2026-02-19,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,525.0,525.0,530.0,520.0,525.0,0.0,15993700,8400680000,2545,181.6,525,152400,520,3761600,30000000000,30000000000,6060000000,6687400,5620600,6,3000,1
2026-02-18,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,530.0,530.0,530.0,520.0,525.0,-5.0,7194800,3777983000,2584,181.6,530,3011000,525,1164600,30000000000,30000000000,6060000000,3532800,1136800,0,0,0
2026-02-13,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,525.0,525.0,530.0,525.0,530.0,5.0,5649300,2974545000,1990,183.4,530,2159200,525,1175900,30000000000,30000000000,6060000000,2252800,2191700,24174,12691350,1
2026-02-12,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,525.0,530.0,530.0,525.0,525.0,0.0,5472100,2886490500,1524,181.6,530,1243700,525,3539500,30000000000,30000000000,6060000000,1634400,1006000,0,0,0
2026-02-11,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,535.0,535.0,535.0,525.0,525.0,-10.0,5812700,3074409500,2616,181.6,530,181700,525,2763400,30000000000,30000000000,6060000000,3335800,1801100,6803,3542575,2
2026-02-10,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,525.0,525.0,535.0,525.0,535.0,10.0,8956700,4757105500,2001,185.1,535,2566300,530,102700,30000000000,30000000000,6060000000,2625600,3031600,52,26000,1
2026-02-09,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,525.0,525.0,530.0,520.0,525.0,0.0,7115400,3743011500,1999,181.6,530,2692700,525,462800,30000000000,30000000000,6060000000,2691900,1705000,0,0,0
2026-02-06,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,525.0,525.0,525.0,515.0,525.0,0.0,10626000,5534802500,3717,181.6,525,2907500,520,105100,30000000000,30000000000,6060000000,4091900,2968700,0,0,0
2026-02-05,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,525.0,525.0,530.0,525.0,525.0,0.0,10509800,5537529500,2425,181.6,530,2936100,525,868300,30000000000,30000000000,6060000000,5174300,2056100,177,86530,2
2026-02-04,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEMD6200F211------------,520.0,520.0,535.0,520.0,525.0,5.0,10307200,5413887500,2489,181.6,525,333300,520,3223000,30000000000,30000000000,6060000000,4575300,2519400,108,33372,2
2026-02-03,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEUD6200F211------------,515.0,515.0,525.0,515.0,520.0,5.0,10702100,5573350000,3176,179.9,525,1240100,520,807700,30000000000,30000000000,6060000000,5746200,5507200,0,0,0
2026-02-02,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEUD6200F211------------,525.0,530.0,530.0,510.0,515.0,-10.0,27139900,14069828000,4873,178.2,520,1097500,515,279500,30000000000,30000000000,6060000000,9419500,9897900,45,23625,1
2026-01-30,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEUD6200F211------------,520.0,520.0,530.0,520.0,525.0,5.0,10355800,5438567000,2730,181.6,530,1001300,525,764900,30000000000,30000000000,6060000000,4041100,1561500,90,47250,1
2026-01-29,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEUD6200F211------------,520.0,520.0,530.0,490.0,520.0,0.0,36783400,18677813500,7396,179.9,525,1047900,520,631900,30000000000,30000000000,6060000000,11191100,12553000,0,0,0
2026-01-28,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEUD6200F211------------,540.0,535.0,535.0,510.0,520.0,-20.0,35777500,18683101500,7818,179.9,525,2151300,520,90600,30000000000,30000000000,6060000000,12220200,7944100,0,0,0
2026-01-27,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEUD6200F211------------,535.0,535.0,540.0,530.0,540.0,5.0,14010500,7490908000,2619,186.8,540,6298300,535,128800,30000000000,30000000000,6060000000,6234600,2042000,0,0,0
2026-01-26,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,--MO18AEUD6200F211------------,535.0,540.0,540.0,535.0,535.0,0.0,10362500,5570727500,2566,185.1,540,1466800,535,3390200,30000000000,30000000000,6060000000,1901700,3560800,0,0,0
