Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-29,SKLT,Sekar Laut Tbk.,XDUO2135000000D222------------,193.0,200.0,200.0,188.0,198.0,5.0,129800,25515800,120,165.4,198,14100,196,1500,6907405000,6907405000,641697925,700,0,0,0,0
2026-05-26,SKLT,Sekar Laut Tbk.,XDUO2135000000D222------------,192.0,200.0,200.0,190.0,193.0,1.0,19500,3783300,37,161.2,194,1500,189,500,6907405000,6907405000,641697925,200,0,0,0,0
2026-05-22,SKLT,Sekar Laut Tbk.,XDUO2135000000D222------------,190.0,187.0,188.0,184.0,187.0,-3.0,43200,8058800,47,156.2,193,8800,187,8900,6907405000,6907405000,641697925,2100,13200,0,0,0
2026-05-21,SKLT,Sekar Laut Tbk.,XDUO2135000000D222------------,193.0,0.0,193.0,182.0,190.0,-3.0,52700,9930000,82,158.7,190,1500,182,900,6907405000,6907405000,641697925,0,0,0,0,0
2026-05-20,SKLT,Sekar Laut Tbk.,XDUO2135000000D222------------,197.0,197.0,218.0,184.0,193.0,-4.0,699600,140594000,286,161.2,194,1000,191,100,6907405000,6907405000,641697925,98800,12800,0,0,0
2026-05-19,SKLT,Sekar Laut Tbk.,XDUO2135000000D222------------,202.0,0.0,210.0,196.0,197.0,-5.0,151800,30747100,95,164.6,197,3600,196,6300,6907405000,6907405000,641697925,61600,0,0,0,0
2026-05-18,SKLT,Sekar Laut Tbk.,XDUO2135000000D222------------,206.0,200.0,208.0,199.0,202.0,-4.0,114400,22984300,86,168.7,202,215600,200,22100,6907405000,6907405000,641697925,25900,0,0,0,0
2026-05-13,SKLT,Sekar Laut Tbk.,XDUO2135000000D222------------,208.0,208.0,212.0,200.0,206.0,-2.0,191000,38913400,98,172.1,206,19100,204,2400,6907405000,6907405000,641697925,0,0,0,0,0
2026-05-12,SKLT,Sekar Laut Tbk.,XDUO2135000000D222------------,214.0,0.0,216.0,208.0,208.0,-6.0,109700,23026800,70,173.8,212,3200,210,1000,6907405000,6907405000,641697925,32300,0,0,0,0
2026-05-11,SKLT,Sekar Laut Tbk.,--UO2135000000D222------------,212.0,212.0,220.0,212.0,214.0,2.0,165400,35160800,50,178.8,214,5100,212,3200,6907405000,6907405000,641697925,18800,1400,0,0,0
2026-05-08,SKLT,Sekar Laut Tbk.,--UO2135000000D222------------,224.0,220.0,220.0,210.0,212.0,-12.0,286200,61324800,156,177.1,216,3500,212,20500,6907405000,6907405000,641697925,0,900,0,0,0
2026-05-07,SKLT,Sekar Laut Tbk.,CDUO2135000000D222------------,226.0,226.0,230.0,220.0,224.0,-2.0,364500,82264000,175,187.1,226,17600,224,27200,6907405000,6907405000,641697925,16600,0,0,0,0
2026-05-06,SKLT,Sekar Laut Tbk.,CDUO2135000000D222------------,222.0,228.0,228.0,222.0,226.0,4.0,110800,24788400,77,188.8,228,136200,226,15900,6907405000,6907405000,641697925,7900,0,0,0,0
2026-05-05,SKLT,Sekar Laut Tbk.,CDUO2135000000D222------------,222.0,0.0,228.0,220.0,222.0,0.0,346900,77547400,101,185.4,224,109200,222,54700,6907405000,6907405000,641697925,24100,2500,0,0,0
2026-05-04,SKLT,Sekar Laut Tbk.,--UO2135000000D222------------,220.0,222.0,230.0,220.0,222.0,2.0,284900,64235200,146,185.4,228,12600,222,46400,6907405000,6907405000,641697925,15800,0,0,0,0
2026-04-30,SKLT,Sekar Laut Tbk.,--UO2135000000D222------------,226.0,0.0,226.0,218.0,220.0,-6.0,81200,17883800,48,183.8,224,16200,220,49100,6907405000,6907405000,641697925,4100,0,0,0,0
2026-04-29,SKLT,Sekar Laut Tbk.,--UO2135000000D222------------,222.0,218.0,228.0,208.0,226.0,4.0,384700,83467000,132,188.8,226,38000,224,101100,6907405000,6907405000,641697925,10200,0,0,0,0
