Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-13,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,99.0,0.0,107.0,91.0,102.0,3.0,15435300,1531357000,1994,38.6,102,215800,101,9500,1253000000,1253000000,0,883600,13600,0,0,0
2026-04-10,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,90.0,0.0,99.0,88.0,99.0,9.0,12016900,1161897600,1272,37.5,0,0,99,290600,1253000000,1253000000,0,1534300,132200,0,0,0
2026-04-09,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,82.0,0.0,90.0,78.0,90.0,8.0,10593400,924441900,2947,34.1,0,0,90,70700,1253000000,1253000000,0,1185200,324100,0,0,0
2026-04-08,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,75.0,0.0,82.0,75.0,82.0,7.0,12078900,965532500,1049,31.1,0,0,82,191300,1253000000,1253000000,0,1783300,781000,10500000,388500000,1
2026-04-07,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,79.0,0.0,86.0,74.0,75.0,-4.0,8517700,651707200,1096,28.4,75,104100,74,127100,1253000000,1253000000,0,1017000,131900,0,0,0
2026-04-06,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,80.0,0.0,84.0,75.0,79.0,-1.0,4779500,376632600,598,29.9,79,333000,78,43700,1253000000,1253000000,0,788000,111300,0,0,0
2026-04-02,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,87.0,0.0,89.0,79.0,80.0,-7.0,13849800,1129543700,1115,30.3,82,700,80,1158300,1253000000,1253000000,0,5122900,163900,0,0,0
2026-04-01,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,91.0,0.0,92.0,85.0,87.0,-4.0,12253200,1084625600,1159,33.0,89,113500,87,557300,1253000000,1253000000,0,5817600,86300,0,0,0
2026-03-31,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,92.0,0.0,93.0,89.0,91.0,-1.0,5230600,475009600,434,34.5,91,881300,89,229000,1253000000,1253000000,0,3655800,183300,0,0,0
2026-03-30,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,95.0,0.0,97.0,90.0,92.0,-3.0,4332200,398180100,457,34.8,93,48300,92,458800,1253000000,1253000000,0,2116000,394500,0,0,0
2026-03-27,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,99.0,0.0,100.0,95.0,95.0,-4.0,1976600,190229700,335,36.0,96,900,95,188800,1253000000,1253000000,0,784400,78800,10500000,808500000,1
2026-03-26,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,99.0,0.0,105.0,97.0,99.0,0.0,1806400,178053000,293,37.5,99,66600,98,88800,1253000000,1253000000,0,709200,89600,0,0,0
2026-03-25,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,96.0,0.0,101.0,88.0,99.0,3.0,3126700,300660600,370,37.5,100,124000,99,52000,1253000000,1253000000,0,19500,637700,0,0,0
2026-03-17,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,97.0,0.0,106.0,95.0,96.0,-1.0,4543900,447348400,449,36.4,98,29600,96,59600,1253000000,1253000000,0,1744800,63700,0,0,0
2026-03-16,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,96.0,0.0,101.0,89.0,97.0,1.0,5252000,500774700,506,36.7,97,60000,96,42700,1253000000,1253000000,0,338000,525700,0,0,0
2026-03-13,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,99.0,0.0,102.0,93.0,96.0,-3.0,5829900,558629100,494,36.4,97,177100,96,166600,1253000000,1253000000,0,440300,771200,84800,7632000,1
2026-03-12,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,103.0,0.0,105.0,99.0,99.0,-4.0,3157000,317075400,328,37.5,100,9800,99,183900,1253000000,1253000000,0,816100,172900,0,0,0
2026-03-11,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,99.0,0.0,105.0,98.0,103.0,4.0,4289100,441887600,444,39.0,103,359600,101,39500,1253000000,1253000000,0,200600,491700,0,0,0
2026-03-10,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,102.0,0.0,105.0,96.0,99.0,-3.0,8074600,804751800,576,37.5,99,218900,98,30500,1253000000,1253000000,0,1795800,692800,0,0,0
2026-03-09,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,106.0,0.0,106.0,96.0,102.0,-4.0,16800900,1644268600,1433,38.6,102,34400,101,1100,1253000000,1253000000,0,4946500,793600,0,0,0
2026-03-06,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,112.0,0.0,114.0,102.0,106.0,-6.0,10650700,1124229700,1231,40.2,106,202300,105,608600,1253000000,1253000000,0,3610100,1384500,0,0,0
2026-03-05,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,102.0,0.0,112.0,103.0,112.0,10.0,15113100,1645867500,1284,42.4,0,0,112,64000,1253000000,1253000000,0,3781200,814700,0,0,0
2026-03-04,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,110.0,0.0,112.0,99.0,102.0,-8.0,21283900,2175223900,1176,38.6,103,7600,102,2300,1253000000,1253000000,0,3463700,5277200,0,0,0
2026-03-03,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,111.0,0.0,118.0,105.0,110.0,-1.0,15187100,1673266600,1124,41.7,110,515400,109,8300,1253000000,1253000000,0,6418200,4202200,0,0,0
2026-03-02,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,122.0,0.0,123.0,110.0,111.0,-11.0,20851700,2376853300,1199,42.0,112,354100,111,613700,1253000000,1253000000,0,9049400,4825000,0,0,0
2026-02-27,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,123.0,0.0,124.0,119.0,122.0,-1.0,7595200,916343500,528,46.2,123,253100,122,511900,1253000000,1253000000,0,948300,1061000,0,0,0
2026-02-26,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,129.0,0.0,131.0,121.0,123.0,-6.0,24297400,2997060400,1325,46.6,123,75700,122,801800,1253000000,1253000000,0,10413200,1961600,0,0,0
2026-02-25,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,128.0,0.0,132.0,126.0,129.0,1.0,6598000,848380900,522,48.9,129,108800,128,1300,1253000000,1253000000,0,1163400,259700,22388895,1999999950,2
2026-02-24,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,129.0,0.0,139.0,127.0,128.0,-1.0,12761500,1689624400,1183,48.5,129,92600,128,36900,1253000000,1253000000,0,2546200,951200,0,0,0
2026-02-23,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,131.0,0.0,131.0,126.0,129.0,-2.0,15663400,2003126900,1464,48.9,129,218000,128,349200,1253000000,1253000000,0,7437700,2134400,0,0,0
2026-02-20,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,137.0,0.0,137.0,129.0,131.0,-6.0,8661100,1137727300,841,49.6,131,400,130,570000,1253000000,1253000000,0,3838200,1147000,0,0,0
2026-02-19,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,138.0,0.0,143.0,135.0,137.0,-1.0,6320100,870387100,902,51.9,138,211600,137,23800,1253000000,1253000000,0,2185900,903500,0,0,0
2026-02-18,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,136.0,0.0,144.0,135.0,138.0,2.0,12134300,1690408300,1250,52.3,139,93400,138,169800,1253000000,1253000000,0,3504400,1959200,11194447,999999930,2
2026-02-13,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,136.0,0.0,138.0,127.0,136.0,0.0,7432200,993593900,796,51.5,137,80600,136,11800,1253000000,1253000000,0,1346700,2018100,0,0,0
2026-02-12,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,144.0,0.0,150.0,134.0,136.0,-8.0,11024000,1530989900,1432,51.5,137,46400,136,10800,1253000000,1253000000,0,3234000,1252800,0,0,0
2026-02-11,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,131.0,0.0,144.0,131.0,144.0,13.0,15340600,2143528000,2334,54.5,0,0,144,114700,1253000000,1253000000,0,3190600,2316400,0,0,0
2026-02-10,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,128.0,0.0,135.0,125.0,131.0,3.0,6599400,863215800,862,49.6,132,70000,131,17700,1253000000,1253000000,0,2511100,472400,0,0,0
2026-02-09,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,122.0,0.0,130.0,111.0,128.0,6.0,21040900,2531290600,1610,48.5,128,111900,125,70400,1253000000,1253000000,0,4542300,8595800,0,0,0
2026-02-06,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,135.0,0.0,136.0,122.0,122.0,-13.0,23551800,2916398000,1361,46.2,122,2315100,0,0,1253000000,1253000000,0,1890200,3367000,0,0,0
2026-02-05,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,146.0,0.0,150.0,134.0,135.0,-11.0,17231100,2396764500,1216,51.1,136,203300,135,519000,1253000000,1253000000,0,3277300,4962500,0,0,0
2026-02-04,SMKM,Sumber Mas Konstruksi Tbk.,--U-3000000000J211------------,151.0,0.0,160.0,141.0,146.0,-5.0,13471000,2003722400,1546,55.3,147,649000,146,899700,1253000000,1253000000,0,3189800,2756200,0,0,0
