Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-29,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,286.0,280.0,290.0,280.0,286.0,0.0,20852500,5932854200,1255,485.2,288,500500,286,397600,16508568358,16508568358,7405743765,2219000,2199300,0,0,0
2026-05-26,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,292.0,294.0,296.0,284.0,286.0,-6.0,27269000,7881559400,1431,485.2,288,190500,284,1082700,16508568358,16508568358,7405743765,2749000,3322500,0,0,0
2026-05-22,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,288.0,288.0,294.0,280.0,290.0,2.0,19299300,5551333200,1537,492.0,290,2178000,288,694200,16508568358,16508568358,7405743765,9808300,5007500,127095,50064980,2
2026-05-21,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,306.0,304.0,306.0,288.0,288.0,-18.0,27817300,8220401000,2119,488.6,290,1400,288,1836300,16508568358,16508568358,7405743765,11403200,2345500,9,2628,1
2026-05-20,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,306.0,306.0,308.0,300.0,306.0,0.0,25601500,7756678800,1452,519.1,306,191400,304,208500,16508568358,16508568358,7405743765,3243800,1448500,0,0,0
2026-05-19,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,310.0,312.0,316.0,304.0,306.0,-4.0,41899400,12911202200,1392,519.1,308,798900,306,270000,16508568358,16508568358,7405743765,4647200,11149800,1149138,452757104,2
2026-05-18,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,320.0,318.0,318.0,306.0,310.0,-10.0,34761500,10796485800,1333,525.9,312,307400,310,327800,16508568358,16508568358,7405743765,5312300,3810800,14,4340,1
2026-05-13,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,318.0,318.0,322.0,316.0,320.0,2.0,12751200,4059924000,643,542.9,320,454500,318,121500,16508568358,16508568358,7405743765,2206000,1794200,76,24320,1
2026-05-12,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,324.0,324.0,324.0,318.0,318.0,-6.0,6594800,2110121400,752,539.5,320,682100,318,327200,16508568358,16508568358,7405743765,2123700,254600,4,1272,1
2026-05-11,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,322.0,322.0,324.0,316.0,324.0,2.0,14332900,4579741400,1093,549.6,324,1221100,322,13700,16508568358,16508568358,7405743765,2743000,1020200,1149100,452745400,1
2026-05-08,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,328.0,328.0,328.0,320.0,322.0,-6.0,19924600,6470470000,1111,546.2,322,146700,320,1135000,16508568358,16508568358,7405743765,4178800,1264100,0,0,0
2026-05-07,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,322.0,322.0,330.0,322.0,328.0,6.0,23829100,7756824400,1328,556.4,328,1434500,326,1223400,16508568358,16508568358,7405743765,950500,3226200,1149100,452745400,1
2026-05-06,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,316.0,316.0,326.0,316.0,322.0,6.0,20378500,6553603000,1439,546.2,322,25700,320,554500,16508568358,16508568358,7405743765,1735800,2923200,0,0,0
2026-05-05,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,310.0,310.0,316.0,306.0,316.0,6.0,14595400,4563593400,1070,536.1,316,297700,314,270700,16508568358,16508568358,7405743765,3045400,1345400,0,0,0
2026-05-04,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,310.0,308.0,310.0,304.0,310.0,0.0,25438900,7823345200,1419,525.9,310,1338900,308,431400,16508568358,16508568358,7405743765,4392800,3323700,1000000,394000000,1
2026-04-30,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,322.0,322.0,324.0,306.0,310.0,-12.0,33083300,10282771000,3327,525.9,310,69400,308,900800,16508568358,16508568358,7405743765,9410300,4257800,76,23560,1
2026-04-29,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,304.0,304.0,322.0,304.0,322.0,18.0,43814200,13825320600,2458,546.2,322,3528200,320,3100,16508568358,16508568358,7405743765,6716200,8555400,0,0,0
2026-04-28,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,302.0,304.0,310.0,302.0,304.0,2.0,21384100,6503043200,1419,515.7,306,425100,304,598700,16508568358,16508568358,7405743765,14130000,2133400,47,14288,1
2026-04-27,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,308.0,308.0,308.0,302.0,302.0,-6.0,47686900,14498932200,2229,512.3,304,47000,302,2924700,16508568358,16508568358,7405743765,33106900,209700,1000000,394000000,1
2026-04-24,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,322.0,322.0,322.0,306.0,308.0,-14.0,80441000,24957106400,4051,522.5,308,87100,306,3034200,16508568358,16508568358,7405743765,29619700,4487200,38,11780,1
2026-04-23,SMRA,Summarecon Agung Tbk.,--MO183FM10000H111------------,328.0,328.0,330.0,320.0,322.0,-6.0,42668200,13795557800,2459,546.2,322,465200,320,6960300,16508568358,16508568358,7405743765,23781700,1053900,0,0,0
