Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-20,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,520.0,520.0,545.0,510.0,510.0,-10.0,21839200,11437781000,2661,92.7,515,38200,510,386000,7059000000,7059000000,997436700,4127300,2833500,0,0,0
2026-04-17,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,540.0,545.0,550.0,515.0,520.0,-20.0,17763100,9341950000,2805,94.5,525,207000,520,68200,7059000000,7059000000,997436700,4390500,642200,0,0,0
2026-04-16,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,525.0,530.0,570.0,525.0,540.0,15.0,57670100,31656457500,6758,98.2,545,1125100,540,416500,7059000000,7059000000,997436700,8577800,12797400,536000,316240000,1
2026-04-15,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,535.0,550.0,555.0,510.0,525.0,-10.0,43868900,23243279000,5631,95.5,530,140500,525,369300,7059000000,7059000000,997436700,14651600,4942000,0,0,0
2026-04-14,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,490.0,500.0,540.0,498.0,535.0,45.0,58232400,30149720000,5970,97.3,540,977800,535,2500,7059000000,7059000000,997436700,5659700,16524800,0,0,0
2026-04-13,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,494.0,488.0,515.0,478.0,490.0,-4.0,46157300,22838294200,5139,89.1,492,318700,490,129700,7059000000,7059000000,997436700,8345000,5141400,0,0,0
2026-04-10,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,492.0,492.0,525.0,492.0,494.0,2.0,34597300,17484152700,4107,89.8,494,231300,492,558000,7059000000,7059000000,997436700,6593600,2821000,536000,310880000,1
2026-04-09,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,510.0,496.0,505.0,486.0,492.0,-18.0,28654700,14141729600,4115,89.5,494,534800,492,182500,7059000000,7059000000,997436700,9651300,3152200,0,0,0
2026-04-08,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,466.0,496.0,515.0,480.0,510.0,44.0,67034800,33385068400,6709,92.7,515,1107500,510,232500,7059000000,7059000000,997436700,6559600,13351300,0,0,0
2026-04-07,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,450.0,456.0,466.0,448.0,466.0,16.0,29416500,13451433000,2591,84.7,468,672000,466,15500,7059000000,7059000000,997436700,5712400,7861100,536000,286760000,1
2026-04-06,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,446.0,426.0,468.0,422.0,450.0,4.0,38808900,17634542000,4336,81.8,452,45400,450,336200,7059000000,7059000000,997436700,8826100,7907300,0,0,0
2026-04-02,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,492.0,474.0,474.0,444.0,446.0,-46.0,48570500,22166547800,5927,81.1,446,159800,444,549000,7059000000,7059000000,997436700,16963300,3239400,0,0,0
2026-04-01,SOCI,Soechi Lines Tbk.,--MO2135000000A112------------,434.0,450.0,505.0,442.0,492.0,58.0,116121800,56175720900,11862,89.5,492,669900,490,265000,7059000000,7059000000,997436700,26217200,27794000,0,0,0
2026-03-31,SOCI,Soechi Lines Tbk.,--UO2135000000A112------------,450.0,452.0,474.0,432.0,434.0,-16.0,23243300,10468052400,3119,78.9,434,492900,432,628200,7059000000,7059000000,993907200,8728100,1608300,536000,284080000,1
2026-03-30,SOCI,Soechi Lines Tbk.,--UO2135000000A112------------,454.0,458.0,458.0,426.0,450.0,-4.0,22958100,10060107400,2733,81.8,450,173100,448,86700,7059000000,7059000000,993907200,7297000,5412200,0,0,0
2026-03-27,SOCI,Soechi Lines Tbk.,--UO2135000000A112------------,444.0,450.0,458.0,432.0,454.0,10.0,13623100,6086383000,2353,82.5,456,148500,454,58400,7059000000,7059000000,993907200,3266100,3297300,0,0,0
2026-03-26,SOCI,Soechi Lines Tbk.,--UO2135000000A112------------,468.0,468.0,488.0,440.0,444.0,-24.0,38234100,17567996200,4360,80.7,446,637600,444,238800,7059000000,7059000000,993907200,12059800,5926800,0,0,0
2026-03-25,SOCI,Soechi Lines Tbk.,--UO2135000000A112------------,416.0,420.0,515.0,406.0,468.0,52.0,70757300,33949952100,8689,85.1,470,37200,468,1880100,7059000000,7059000000,993907200,20346900,14840500,0,0,0
2026-03-17,SOCI,Soechi Lines Tbk.,--UO2135000000A112------------,428.0,442.0,446.0,412.0,416.0,-12.0,21765900,9291033000,2821,75.6,416,307700,414,454800,7059000000,7059000000,993907200,11251400,3129300,0,0,0
2026-03-16,SOCI,Soechi Lines Tbk.,--UO2135000000A112------------,418.0,418.0,440.0,386.0,428.0,10.0,38393300,15846897400,3833,77.8,430,255900,428,47200,7059000000,7059000000,993907200,7195100,16445800,0,0,0
