Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-22,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,40.0,0.0,41.0,38.0,40.0,0.0,431600,16897300,53,36.4,40,853600,39,1000,1082526223,1082526223,0,22800,0,0,0,0
2026-05-21,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,41.0,0.0,43.0,37.0,40.0,-1.0,7565400,283542300,171,36.4,40,706900,39,273900,1082526223,1082526223,0,4800000,0,0,0,0
2026-05-20,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,41.0,0.0,45.0,38.0,41.0,0.0,2681200,109442600,271,37.3,41,61300,40,5500,1082526223,1082526223,0,0,0,0,0,0
2026-05-19,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,43.0,0.0,47.0,41.0,41.0,-2.0,1884800,81440300,291,37.3,42,23500,40,485400,1082526223,1082526223,0,68900,0,0,0,0
2026-05-18,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,47.0,0.0,48.0,43.0,43.0,-4.0,3108600,135218400,226,39.1,43,202100,0,0,1082526223,1082526223,0,0,0,0,0,0
2026-05-13,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,49.0,0.0,49.0,45.0,47.0,-2.0,5408600,250072200,281,42.7,47,356000,46,114200,1082526223,1082526223,0,2500000,0,0,0,0
2026-05-12,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,50.0,0.0,50.0,47.0,49.0,-1.0,910600,43533900,94,44.5,49,85600,48,44200,1082526223,1082526223,0,0,0,0,0,0
2026-05-11,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,49.0,0.0,50.0,48.0,50.0,1.0,317400,15477800,98,45.5,50,68900,48,81800,1082526223,1082526223,0,0,0,0,0,0
2026-05-08,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,51.0,0.0,51.0,48.0,49.0,-2.0,1669300,82928500,149,44.5,49,75900,48,227700,1082526223,1082526223,0,0,0,0,0,0
2026-05-07,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,51.0,0.0,51.0,48.0,51.0,0.0,970900,48032500,115,46.4,51,242000,49,209300,1082526223,1082526223,0,0,0,0,0,0
2026-05-06,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,52.0,0.0,52.0,50.0,51.0,-1.0,1979700,99131600,128,46.4,51,319800,50,190600,1082526223,1082526223,0,608300,0,0,0,0
2026-05-05,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,52.0,0.0,52.0,50.0,52.0,0.0,1636800,82375000,139,47.3,52,156500,51,100,1082526223,1082526223,0,200000,0,0,0,0
2026-05-04,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,52.0,0.0,53.0,50.0,52.0,0.0,464700,23731500,118,47.3,52,491200,51,19900,1082526223,1082526223,0,0,0,0,0,0
2026-04-30,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,53.0,0.0,53.0,50.0,52.0,-1.0,521800,26642900,106,47.3,52,23400,51,258200,1082526223,1082526223,0,0,0,0,0,0
2026-04-29,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,52.0,0.0,54.0,50.0,53.0,1.0,2111300,110161700,185,48.2,53,566200,52,35100,1082526223,1082526223,0,15000,0,0,0,0
2026-04-28,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,57.0,0.0,58.0,52.0,52.0,-5.0,6037200,318456600,342,47.3,52,668300,0,0,1082526223,1082526223,0,0,15000,0,0,0
2026-04-27,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,58.0,0.0,58.0,56.0,57.0,-1.0,452200,25687600,65,51.8,57,4213300,56,202200,1082526223,1082526223,0,0,0,0,0,0
2026-04-24,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,60.0,0.0,60.0,56.0,58.0,-2.0,602200,34712500,81,52.7,58,231200,56,287200,1082526223,1082526223,0,0,0,0,0,0
2026-04-23,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,60.0,0.0,61.0,58.0,60.0,0.0,603200,35771700,151,54.5,60,133200,59,38700,1082526223,1082526223,0,0,0,0,0,0
2026-04-22,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,60.0,0.0,61.0,59.0,60.0,0.0,704800,42239100,106,54.5,61,247300,60,7900,1082526223,1082526223,0,0,0,0,0,0
2026-04-21,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,61.0,0.0,63.0,59.0,60.0,-1.0,1781700,106682000,172,54.5,60,434100,59,503700,1082526223,1082526223,0,0,0,0,0,0
2026-04-20,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,62.0,0.0,67.0,58.0,61.0,-1.0,1336600,80667000,268,55.5,61,245400,59,318400,1082526223,1082526223,0,0,0,0,0,0
2026-04-17,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,58.0,0.0,63.0,58.0,62.0,4.0,3467800,213488400,443,56.4,63,442300,61,100,1082526223,1082526223,0,0,0,0,0,0
2026-04-16,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,57.0,0.0,59.0,55.0,58.0,1.0,1766500,100941200,214,52.7,58,38300,57,45900,1082526223,1082526223,0,0,0,0,0,0
2026-04-15,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,53.0,0.0,57.0,52.0,57.0,4.0,1424300,78803400,302,51.8,57,421400,56,6800,1082526223,1082526223,0,0,0,0,0,0
2026-04-14,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,54.0,0.0,54.0,52.0,53.0,-1.0,1676100,88136100,158,48.2,54,689300,53,86800,1082526223,1082526223,0,0,0,0,0,0
2026-04-13,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,54.0,0.0,54.0,51.0,54.0,0.0,2307100,119492200,207,49.1,54,719700,53,7000,1082526223,1082526223,0,0,0,0,0,0
2026-04-10,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,54.0,0.0,59.0,53.0,54.0,0.0,1400100,77904200,305,49.1,54,14200,53,245300,1082526223,1082526223,0,0,0,0,0,0
2026-04-09,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,54.0,0.0,58.0,53.0,54.0,0.0,748100,41378100,262,49.1,54,124200,53,5500,1082526223,1082526223,0,0,0,0,0,0
2026-04-08,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,51.0,0.0,55.0,51.0,54.0,3.0,1244600,66749100,334,49.1,55,114400,54,100,1082526223,1082526223,0,0,0,0,0,0
2026-04-07,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,47.0,0.0,51.0,47.0,51.0,4.0,1008200,50809700,171,46.4,0,0,51,59700,1082526223,1082526223,0,0,0,0,0,0
2026-04-06,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,49.0,0.0,50.0,47.0,47.0,-2.0,289000,13748600,102,42.7,48,15800,47,74300,1082526223,1082526223,0,0,0,0,0,0
2026-04-02,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,52.0,0.0,54.0,48.0,49.0,-3.0,843600,42482200,143,44.5,49,68500,48,545600,1082526223,1082526223,0,0,0,0,0,0
2026-04-01,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,53.0,0.0,55.0,52.0,52.0,-1.0,726600,38410300,127,47.3,52,37600,51,53000,1082526223,1082526223,0,0,0,0,0,0
2026-03-31,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,54.0,0.0,55.0,51.0,53.0,-1.0,344700,18233600,80,48.2,53,3100,52,174700,1082526223,1082526223,0,0,0,0,0,0
2026-03-30,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,52.0,0.0,57.0,51.0,54.0,2.0,1523000,82501800,296,49.1,54,24000,52,78800,1082526223,1082526223,0,0,0,0,0,0
2026-03-27,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,52.0,0.0,57.0,48.0,52.0,0.0,2852100,151534700,309,47.3,53,63000,52,2500,1082526223,1082526223,0,0,0,0,0,0
2026-03-26,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,55.0,0.0,58.0,50.0,52.0,-3.0,4824300,245111600,427,47.3,52,174100,51,21000,1082526223,1082526223,0,0,0,0,0,0
2026-03-25,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,54.0,0.0,56.0,52.0,55.0,1.0,530400,28678100,109,50.0,55,44600,54,13100,1082526223,1082526223,0,0,0,0,0,0
2026-03-17,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,54.0,0.0,56.0,53.0,54.0,0.0,252300,13692700,92,49.1,54,3600,53,21900,1082526223,1082526223,0,0,0,0,0,0
2026-03-16,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,59.0,0.0,59.0,54.0,54.0,-5.0,3087600,167814300,166,49.1,54,100100,0,0,1082526223,1082526223,0,0,0,0,0,0
2026-03-13,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,59.0,0.0,64.0,54.0,59.0,0.0,1789900,98818700,390,53.6,59,211300,55,74600,1082526223,1082526223,0,0,0,0,0,0
2026-03-12,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,59.0,0.0,64.0,58.0,59.0,0.0,2199400,134928000,315,53.6,59,1400,58,88500,1082526223,1082526223,0,0,0,0,0,0
2026-03-11,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,54.0,0.0,59.0,54.0,59.0,5.0,1585100,91999300,254,53.6,0,0,59,19000,1082526223,1082526223,0,0,0,0,0,0
2026-03-10,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,56.0,0.0,60.0,52.0,54.0,-2.0,1175400,65218700,113,49.1,57,182200,54,8900,1082526223,1082526223,0,0,0,0,0,0
2026-03-09,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,60.0,0.0,61.0,54.0,56.0,-4.0,1050000,59018600,147,50.9,56,5300,55,25700,1082526223,1082526223,0,0,0,0,0,0
2026-03-06,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,59.0,0.0,61.0,58.0,60.0,1.0,438700,25793900,88,54.5,60,53600,58,399600,1082526223,1082526223,0,0,0,0,0,0
2026-03-05,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,58.0,0.0,62.0,55.0,59.0,1.0,1323800,78582700,134,53.6,61,3000,59,487100,1082526223,1082526223,0,0,0,0,0,0
2026-03-04,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,64.0,0.0,65.0,58.0,58.0,-6.0,5762300,337822400,308,52.7,58,922500,0,0,1082526223,1082526223,0,0,0,0,0,0
2026-03-03,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,66.0,0.0,68.0,63.0,64.0,-2.0,395200,25779800,110,58.2,65,10000,64,36000,1082526223,1082526223,0,0,0,0,0,0
2026-03-02,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212------------,70.0,0.0,71.0,64.0,66.0,-4.0,1751600,116283100,274,60.0,66,29300,65,79100,1082526223,1082526223,0,0,0,0,0,0
