Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-28,SRAJ,Sejahteraraya Anugrahjaya Tbk.,--UO2100000000F121------------,15175.0,0.0,0.0,0.0,15175.0,0.0,0,0,0,16195.1,15150,600,14000,100,12238959990,12238959990,2056145278,0,0,0,0,0
2026-04-27,SRAJ,Sejahteraraya Anugrahjaya Tbk.,--UO2100000000F121------------,15200.0,15175.0,15175.0,14675.0,15175.0,-25.0,1900,28735000,15,16195.1,15175,54000,13250,500,12238959990,12238959990,2056145278,100,0,0,0,0
2026-04-24,SRAJ,Sejahteraraya Anugrahjaya Tbk.,--UO2100000000F121------------,15200.0,0.0,0.0,0.0,15200.0,0.0,0,0,0,16221.8,15075,100,13275,100,12238959990,12238959990,2056145278,0,0,0,0,0
2026-04-23,SRAJ,Sejahteraraya Anugrahjaya Tbk.,--UO2100000000F121------------,15200.0,0.0,0.0,0.0,15200.0,0.0,0,0,0,16221.8,15100,300,13300,500,12238959990,12238959990,2056145278,0,0,0,0,0
2026-04-22,SRAJ,Sejahteraraya Anugrahjaya Tbk.,--UO2100000000F121------------,15200.0,0.0,0.0,0.0,15200.0,0.0,0,0,0,16221.8,15175,1700,13450,200,12238959990,12238959990,2056145278,0,0,0,0,0
2026-04-21,SRAJ,Sejahteraraya Anugrahjaya Tbk.,--UO2100000000F121------------,15200.0,0.0,0.0,0.0,15200.0,0.0,0,0,0,16221.8,15175,1100,13025,100,12238959990,12238959990,2056145278,0,0,0,0,0
2026-04-20,SRAJ,Sejahteraraya Anugrahjaya Tbk.,--UO2100000000F121------------,15200.0,0.0,15200.0,14800.0,15200.0,0.0,3300,49397500,22,16221.8,15200,1900,15000,100,12238959990,12238959990,2056145278,1700,0,0,0,0
2026-04-17,SRAJ,Sejahteraraya Anugrahjaya Tbk.,--UO2100000000F121------------,15100.0,0.0,15400.0,14800.0,15200.0,100.0,8100,123080000,30,16221.8,15100,52300,14800,2700,12238959990,12238959990,2056145278,4400,700,0,0,0
2026-04-16,SRAJ,Sejahteraraya Anugrahjaya Tbk.,--UO2100000000F121------------,13100.0,14800.0,15500.0,14800.0,15100.0,2000.0,31600,475645000,96,16115.1,15100,100,14975,49000,12238959990,12238959990,2056145278,3400,10900,0,0,0
2026-04-15,SRAJ,Sejahteraraya Anugrahjaya Tbk.,--UO2100000000F121------------,15200.0,0.0,15000.0,13100.0,13100.0,-2100.0,800,10670000,6,13980.6,14900,100,13100,3600,12238959990,12238959990,2056145278,0,0,0,0,0
