Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-01,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1285.0,1285.0,1300.0,1260.0,1275.0,-10.0,5632300,7201043000,631,212.5,1275,2381500,1270,6500,10903372600,10903372600,3064938038,695800,765000,0,0,0
2026-03-31,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1280.0,1295.0,1315.0,1275.0,1285.0,5.0,11318000,14647214000,1079,214.2,1285,99400,1280,3500,10903372600,10903372600,3066028375,1056900,1049100,0,0,0
2026-03-27,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1200.0,1210.0,1260.0,1190.0,1225.0,25.0,7604900,9358245000,756,204.2,1230,503300,1225,10900,10903372600,10903372600,3066028375,1085500,1199700,0,0,0
2026-03-26,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1205.0,1205.0,1220.0,1190.0,1200.0,-5.0,3468100,4169215500,357,200.0,1200,10600,1195,50300,10903372600,10903372600,3066028375,254900,384400,0,0,0
2026-03-25,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1195.0,1190.0,1220.0,1165.0,1205.0,10.0,5524700,6585402000,972,200.8,1210,187400,1200,20000,10903372600,10903372600,3066028375,1614500,1414600,0,0,0
2026-03-17,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1205.0,1205.0,1230.0,1190.0,1195.0,-10.0,5563400,6734533000,476,199.2,1195,5100,1190,54800,10903372600,10903372600,3066028375,160500,1120100,0,0,0
2026-03-16,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1220.0,1220.0,1220.0,1175.0,1205.0,-15.0,3899900,4650130000,437,200.8,1215,108200,1205,41000,10903372600,10903372600,3066028375,482100,816800,0,0,0
2026-03-13,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1255.0,1255.0,1255.0,1205.0,1220.0,-35.0,4403300,5372561000,727,203.3,1225,1700,1220,1000,10903372600,10903372600,3066028375,1116600,440400,0,0,0
2026-03-12,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1265.0,1270.0,1285.0,1245.0,1255.0,-10.0,5152000,6485493000,821,209.2,1260,5900,1255,400,10903372600,10903372600,3066028375,486700,954800,0,0,0
2026-03-11,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1245.0,1245.0,1315.0,1230.0,1265.0,20.0,8376100,10687391500,1117,210.8,1270,14400,1265,46400,10903372600,10903372600,3066028375,565600,1906500,0,0,0
2026-03-10,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1255.0,1260.0,1300.0,1220.0,1245.0,-10.0,7914000,9970361000,1145,207.5,1245,2800,1240,12500,10903372600,10903372600,3066028375,1572600,1447700,0,0,0
2026-03-09,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1220.0,1220.0,1330.0,1160.0,1255.0,35.0,15661200,19756966000,2359,209.2,1260,1100,1255,165800,10903372600,10903372600,3066028375,3025700,2088200,0,0,0
2026-03-06,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1210.0,1210.0,1230.0,1195.0,1220.0,10.0,4709600,5731295000,716,203.3,1220,64300,1215,20300,10903372600,10903372600,3066028375,585500,1074600,0,0,0
2026-03-05,STAA,Sumber Tani Agung Resources Tbk.,--MO1135100000D232------------,1160.0,1165.0,1215.0,1160.0,1210.0,50.0,7979900,9487030500,1193,201.7,1210,27300,1200,15600,10903372600,10903372600,3066028375,1971000,659300,0,0,0
