Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-29,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,17.0,0.0,18.0,17.0,18.0,1.0,85762700,1539101500,939,3.2,18,251300,17,15891900,10223647156,10223647156,10223647156,10000,0,0,0,0
2026-04-28,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,16.0,0.0,17.0,15.0,17.0,1.0,76072500,1260127100,620,3.0,0,0,17,77500,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-27,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,16.0,0.0,16.0,15.0,16.0,0.0,26046700,415711500,426,2.9,16,14503500,15,55159100,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-24,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,17.0,0.0,17.0,16.0,16.0,-1.0,62636900,1003908400,483,2.9,16,38475200,0,0,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-23,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,17.0,0.0,17.0,16.0,17.0,0.0,14013300,231971500,360,3.0,17,22400400,16,46743700,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-22,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,18.0,0.0,18.0,17.0,17.0,-1.0,49994700,854824500,588,3.0,17,6313300,0,0,10223647156,10223647156,10223647156,0,10000,0,0,0
2026-04-21,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,18.0,0.0,18.0,17.0,18.0,0.0,46019300,818290900,524,3.2,18,22400,17,15399600,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-20,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,18.0,0.0,19.0,18.0,18.0,0.0,26171100,472535700,472,3.2,18,1319900,17,60974400,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-17,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,18.0,0.0,19.0,18.0,18.0,0.0,40117300,749757700,583,3.2,18,90600,17,9782900,10223647156,10223647156,10223647156,0,200000,0,0,0
2026-04-16,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,17.0,0.0,18.0,17.0,18.0,1.0,71587800,1283619700,549,3.2,0,0,18,2971600,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-15,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,16.0,0.0,17.0,16.0,17.0,1.0,59306900,997484500,471,3.0,0,0,17,4216200,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-14,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,16.0,0.0,16.0,16.0,16.0,0.0,22520000,360320000,331,2.9,17,29220100,16,1744700,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-13,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,16.0,0.0,16.0,15.0,16.0,0.0,14908200,236700900,297,2.9,16,10526900,15,26125600,10223647156,10223647156,10223647156,0,0,1055200,12662400,1
2026-04-10,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,16.0,0.0,16.0,16.0,16.0,0.0,39113800,625820800,338,2.9,17,27802500,16,13214500,10223647156,10223647156,10223647156,100000,0,50,800,1
2026-04-09,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,16.0,0.0,16.0,16.0,16.0,0.0,10310100,164961600,235,2.9,16,30545300,15,25074900,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-08,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,15.0,0.0,16.0,15.0,16.0,1.0,19621100,302975200,305,2.9,16,48644000,15,8659900,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-07,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,15.0,0.0,15.0,14.0,15.0,0.0,24154300,353670100,297,2.7,15,4574500,14,63446500,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-06,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,15.0,0.0,15.0,15.0,15.0,0.0,15685600,235284000,334,2.7,15,4107500,14,21055300,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-02,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132---L-------X,16.0,0.0,16.0,15.0,15.0,-1.0,12396100,188594800,185,2.7,16,48359800,15,18022900,10223647156,10223647156,10223647156,0,0,0,0,0
2026-04-01,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,15.0,0.0,16.0,15.0,16.0,1.0,10684100,166289600,268,2.9,16,47288700,15,2886600,10223647156,10223647156,10223647156,0,0,0,0,0
2026-03-31,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,16.0,0.0,15.0,15.0,15.0,-1.0,43025400,645381000,481,2.7,16,26600600,15,1922000,10223647156,10223647156,10223647156,0,150000,0,0,0
2026-03-30,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,16.0,0.0,16.0,16.0,16.0,0.0,14788800,236620800,260,2.9,16,32389700,15,29522700,10223647156,10223647156,10223647156,0,0,0,0,0
2026-03-27,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,15.0,0.0,16.0,15.0,16.0,1.0,18990700,294533300,333,2.9,16,43423500,15,5853900,10223647156,10223647156,10223647156,0,0,1000000,15000000,1
2026-03-26,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,16.0,0.0,16.0,15.0,15.0,-1.0,22538900,353753600,381,2.7,16,36525500,15,19178300,10223647156,10223647156,10223647156,10000,0,0,0,0
2026-03-25,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,15.0,0.0,16.0,15.0,16.0,1.0,38486000,603028800,559,2.9,16,32476200,15,9206100,10223647156,10223647156,10223647156,0,0,0,0,0
2026-03-17,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,14.0,0.0,15.0,15.0,15.0,1.0,34206000,513090000,452,2.7,0,0,15,67700,10223647156,10223647156,10223647156,0,0,0,0,0
2026-03-16,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,13.0,0.0,14.0,12.0,14.0,1.0,37192200,488855100,492,2.5,14,100,13,15760300,10223647156,10223647156,10223647156,300000,3690100,0,0,0
2026-03-13,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,14.0,0.0,13.0,13.0,13.0,-1.0,51002200,663028600,747,2.3,14,2645000,13,45500,10223647156,10223647156,10223647156,0,0,15071000,226065000,1
2026-03-12,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,15.0,0.0,15.0,14.0,14.0,-1.0,48231600,679331100,515,2.5,15,13267500,14,13906600,10223647156,10223647156,10223647156,0,0,0,0,0
2026-03-11,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,15.0,0.0,15.0,15.0,15.0,0.0,68919600,1033794000,599,2.7,16,10336900,15,2574100,10223647156,10223647156,10223647156,0,400000,0,0,0
2026-03-10,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,15.0,0.0,15.0,15.0,15.0,0.0,75868200,1138023000,781,2.7,16,8492600,15,18306900,10223647156,10223647156,10223647156,25265000,0,0,0,0
2026-03-09,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,16.0,0.0,15.0,15.0,15.0,-1.0,29053400,435801000,559,2.7,15,68439700,0,0,10223647156,10223647156,10223647156,0,0,77771000,1244336000,4
2026-03-06,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,17.0,0.0,16.0,16.0,16.0,-1.0,42648100,682369600,682,2.9,16,82676400,0,0,10223647156,10223647156,10223647156,0,0,0,0,0
2026-03-05,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,17.0,0.0,17.0,17.0,17.0,0.0,99969500,1699481500,697,3.0,18,32190000,17,16836000,10223647156,10223647156,10223647156,361900,10000000,0,0,0
2026-03-04,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,18.0,0.0,18.0,17.0,17.0,-1.0,77305100,1336694300,734,3.0,18,94952700,17,936600,10223647156,10223647156,10223647156,0,0,0,0,0
2026-03-03,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,18.0,0.0,19.0,18.0,18.0,0.0,41258100,759330100,491,3.2,19,23763500,18,19876400,10223647156,10223647156,10223647156,0,0,0,0,0
2026-03-02,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,20.0,0.0,19.0,18.0,18.0,-2.0,110190900,2000694500,1187,3.2,19,7044500,18,21200,10223647156,10223647156,10223647156,0,0,0,0,0
2026-02-27,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,20.0,0.0,20.0,19.0,20.0,0.0,15047500,293131200,338,3.6,20,12477300,19,30393500,10223647156,10223647156,10223647156,0,0,0,0,0
2026-02-26,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,20.0,0.0,20.0,20.0,20.0,0.0,15901000,318020000,320,3.6,20,19085800,19,17871900,10223647156,10223647156,10223647156,0,0,0,0,0
2026-02-25,TAXI,Express Transindo Utama Tbk.,--U-4130000000K132-----------X,21.0,0.0,21.0,20.0,20.0,-1.0,63378500,1269428100,678,3.6,21,17714700,20,558800,10223647156,10223647156,10223647156,0,0,0,0,0
