Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-28,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1330.0,0.0,1310.0,1300.0,1300.0,-30.0,4500,5861000,14,368.8,1305,1000,1300,200,734680000,734680000,72806788,2000,0,0,0,0
2026-04-27,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1330.0,1340.0,1350.0,1300.0,1330.0,0.0,21900,28999000,24,377.3,1335,119600,1310,100,734680000,734680000,72806788,8200,0,0,0,0
2026-04-24,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1310.0,0.0,1360.0,1280.0,1330.0,20.0,16400,21391000,35,377.3,1340,10800,1310,100,734680000,734680000,72806788,500,0,0,0,0
2026-04-23,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1360.0,0.0,1335.0,1300.0,1310.0,-50.0,22400,29684000,22,371.6,1310,400,1305,700,734680000,734680000,72806788,500,0,0,0,0
2026-04-22,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1345.0,1345.0,1365.0,1325.0,1360.0,15.0,9800,13158000,27,385.8,1360,4600,1330,4200,734680000,734680000,72806788,500,0,0,0,0
2026-04-21,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1365.0,0.0,1365.0,1335.0,1345.0,-20.0,6100,8273500,21,381.6,1350,200,1345,100,734680000,734680000,72806788,0,0,0,0,0
2026-04-20,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1345.0,0.0,1375.0,1340.0,1365.0,20.0,16200,21848500,24,387.2,1375,1700,1365,700,734680000,734680000,72806788,0,0,0,0,0
2026-04-17,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1340.0,0.0,1345.0,1340.0,1345.0,5.0,2500,3352000,7,381.6,1345,19600,1340,100,734680000,734680000,72806788,0,0,0,0,0
2026-04-16,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1325.0,0.0,1370.0,1325.0,1340.0,15.0,17300,23307000,40,380.1,1340,100,1335,2400,734680000,734680000,72806788,0,0,0,0,0
2026-04-15,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1355.0,1355.0,1355.0,1300.0,1325.0,-30.0,30400,40728500,37,375.9,1325,100,1310,700,734680000,734680000,72806788,0,15000,0,0,0
2026-04-14,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1320.0,0.0,1370.0,1350.0,1355.0,35.0,19800,26820000,45,384.4,1355,3900,1350,7700,734680000,734680000,72806788,0,1200,0,0,0
2026-04-13,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1320.0,1320.0,1330.0,1310.0,1320.0,0.0,37600,49401000,23,374.5,1345,100,1320,200,734680000,734680000,72806788,0,2700,0,0,0
2026-04-10,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1330.0,0.0,1330.0,1300.0,1320.0,-10.0,16600,21943500,28,374.5,1320,22700,1300,1000,734680000,734680000,72806788,1700,0,0,0,0
2026-04-09,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1290.0,0.0,1350.0,1300.0,1330.0,40.0,9300,12354000,36,377.3,1330,800,1325,800,734680000,734680000,72806788,0,0,0,0,0
2026-04-08,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1230.0,1270.0,1320.0,1270.0,1290.0,60.0,30200,38822000,37,366.0,1295,300,1290,3100,734680000,734680000,72806788,3900,0,0,0,0
2026-04-07,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1220.0,0.0,1285.0,1220.0,1230.0,10.0,14500,18332500,29,348.9,1270,800,1230,300,734680000,734680000,72806788,4500,0,0,0,0
2026-04-06,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1240.0,1240.0,1245.0,1180.0,1220.0,-20.0,24400,29802000,34,346.1,1290,500,1225,200,734680000,734680000,72806788,0,2700,0,0,0
2026-04-02,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1250.0,0.0,1250.0,1240.0,1240.0,-10.0,14300,17771000,15,351.8,1300,1200,1245,100,734680000,734680000,72806788,0,6800,1200,1488000,1
2026-04-01,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1245.0,1245.0,1250.0,1240.0,1250.0,5.0,32800,40796000,34,354.6,1270,200,1250,100,734680000,734680000,72806788,0,0,0,0,0
2026-03-31,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1270.0,0.0,1320.0,1245.0,1245.0,-25.0,16000,20244500,51,353.2,1245,100,1210,100,734680000,734680000,72659852,0,0,0,0,0
2026-03-30,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1320.0,1320.0,1320.0,1130.0,1270.0,-50.0,183400,219741000,184,360.3,1270,3500,1255,100,734680000,734680000,72659852,2500,23700,0,0,0
2026-03-27,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1320.0,1320.0,1330.0,1300.0,1320.0,0.0,11200,14717500,26,374.5,1360,800,1320,900,734680000,734680000,72659852,3200,0,0,0,0
2026-03-26,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1375.0,1375.0,1375.0,1315.0,1320.0,-55.0,18000,24387500,47,374.5,1350,1000,1320,400,734680000,734680000,72659852,7500,0,0,0,0
2026-03-25,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1280.0,1400.0,1470.0,1345.0,1375.0,95.0,159200,223544500,130,390.1,1375,6800,1365,600,734680000,734680000,72659852,37900,27300,0,0,0
2026-03-17,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1275.0,0.0,1300.0,1270.0,1280.0,5.0,71200,90888000,27,363.1,1290,800,1280,10000,734680000,734680000,72659852,0,10100,0,0,0
2026-03-16,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1300.0,1300.0,1300.0,1275.0,1275.0,-25.0,24400,31244500,47,361.7,1280,62000,1275,3600,734680000,734680000,72659852,3600,0,0,0,0
2026-03-13,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1315.0,1320.0,1330.0,1280.0,1300.0,-15.0,16800,21797000,43,368.8,1300,76400,1295,500,734680000,734680000,72659852,1900,0,0,0,0
2026-03-12,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1355.0,1355.0,1355.0,1285.0,1315.0,-40.0,21500,28199500,43,373.0,1320,700,1315,6400,734680000,734680000,72659852,0,3600,0,0,0
2026-03-11,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1315.0,1315.0,1375.0,1315.0,1355.0,40.0,54500,72872000,72,384.4,1355,400,1335,1100,734680000,734680000,72659852,1500,0,0,0,0
2026-03-10,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1405.0,1445.0,1445.0,1255.0,1315.0,-90.0,119900,157514000,143,373.0,1315,3700,1310,4200,734680000,734680000,72659852,15800,7200,0,0,0
2026-03-09,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1310.0,1395.0,1405.0,1280.0,1405.0,95.0,135100,183516500,116,398.6,1405,2700,1380,3100,734680000,734680000,72659852,6600,0,0,0,0
2026-03-06,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1320.0,0.0,1350.0,1300.0,1310.0,-10.0,32200,42093000,26,371.6,1380,200,1310,2700,734680000,734680000,72659852,0,11300,0,0,0
2026-03-05,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1320.0,1355.0,1370.0,1230.0,1320.0,0.0,30500,40024500,43,374.5,1320,25500,1315,5000,734680000,734680000,72659852,0,0,0,0,0
2026-03-04,TBMS,Tembaga Mulia Semanan Tbk.,--UO2135000000B142------------,1395.0,1395.0,1395.0,1255.0,1320.0,-75.0,66700,88462500,94,374.5,1355,700,1320,1500,734680000,734680000,72659852,4500,13500,0,0,0
