Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,TELE,Omni Inovasi Indonesia Tbk.,--U-4100000000E711BEDL-------X,9.0,0.0,0.0,0.0,9.0,0.0,0,0,0,2.9,0,0,0,0,7310929389,7310929389,2219598163,0,0,0,0,0
2026-03-11,TELE,Omni Inovasi Indonesia Tbk.,--U-4100000000E711BEDL-------X,9.0,0.0,0.0,0.0,9.0,0.0,0,0,0,2.9,0,0,0,0,7310929389,7310929389,2219598163,0,0,0,0,0
2026-03-10,TELE,Omni Inovasi Indonesia Tbk.,--U-4100000000E711BEDL-------X,9.0,0.0,0.0,0.0,9.0,0.0,0,0,0,2.9,0,0,0,0,7310929389,7310929389,2219598163,0,0,0,0,0
2026-03-09,TELE,Omni Inovasi Indonesia Tbk.,--U-4100000000E711BEDL-------X,9.0,0.0,0.0,0.0,9.0,0.0,0,0,0,2.9,0,0,0,0,7310929389,7310929389,2219598163,0,0,0,0,0
2026-03-06,TELE,Omni Inovasi Indonesia Tbk.,--U-4100000000E711BEDL-------X,9.0,0.0,0.0,0.0,9.0,0.0,0,0,0,2.9,0,0,0,0,7310929389,7310929389,2219598163,0,0,0,0,0
2026-03-05,TELE,Omni Inovasi Indonesia Tbk.,--U-4100000000E711BEDL-------X,9.0,0.0,0.0,0.0,9.0,0.0,0,0,0,2.9,0,0,0,0,7310929389,7310929389,2219598163,0,0,0,0,0
2026-03-04,TELE,Omni Inovasi Indonesia Tbk.,--U-4100000000E711BEDL-------X,9.0,0.0,0.0,0.0,9.0,0.0,0,0,0,2.9,0,0,0,0,7310929389,7310929389,2219598163,0,0,0,0,0
2026-03-03,TELE,Omni Inovasi Indonesia Tbk.,--U-4100000000E711BEDL-------X,9.0,0.0,0.0,0.0,9.0,0.0,0,0,0,2.9,0,0,0,0,7310929389,7310929389,2219598163,0,0,0,0,0
2026-03-02,TELE,Omni Inovasi Indonesia Tbk.,--U-4100000000E711BEDL-------X,9.0,0.0,0.0,0.0,9.0,0.0,0,0,0,2.9,0,0,0,0,7310929389,7310929389,2219598163,0,0,0,0,0
2026-02-27,TELE,Omni Inovasi Indonesia Tbk.,--U-4100000000E711BEDL-------X,9.0,0.0,0.0,0.0,9.0,0.0,0,0,0,2.9,0,0,0,0,7310929389,7310929389,2219598163,0,0,0,0,0
