Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-20,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,310.0,310.0,378.0,310.0,310.0,0.0,295600,101362800,304,395.6,322,4600,310,1200,3552213000,3552213000,266415975,33100,18700,0,0,0
2026-05-18,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,334.0,334.0,334.0,312.0,326.0,-8.0,10500,3367600,25,416.0,326,16600,318,2900,3552213000,3552213000,266415975,0,0,0,0,0
2026-05-13,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,332.0,340.0,340.0,330.0,334.0,2.0,3700,1245400,15,426.2,334,9600,328,1900,3552213000,3552213000,266415975,0,0,0,0,0
2026-05-12,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,340.0,0.0,338.0,330.0,332.0,-8.0,25700,8607400,25,423.7,336,3100,332,100,3552213000,3552213000,266415975,0,0,0,0,0
2026-05-11,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,330.0,0.0,340.0,330.0,340.0,10.0,25000,8311800,35,433.9,338,5000,332,700,3552213000,3552213000,266415975,0,100,0,0,0
2026-05-08,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,350.0,346.0,346.0,326.0,330.0,-20.0,96800,32171400,95,421.1,336,1500,332,100,3552213000,3552213000,266415975,0,6500,0,0,0
2026-05-07,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,344.0,344.0,364.0,340.0,350.0,6.0,31500,10842200,52,446.6,346,1500,342,500,3552213000,3552213000,266415975,0,6900,0,0,0
2026-05-06,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,358.0,360.0,360.0,332.0,344.0,-14.0,93800,32176000,88,439.0,350,54100,342,1300,3552213000,3552213000,266415975,0,26900,0,0,0
2026-05-05,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,338.0,0.0,400.0,350.0,358.0,20.0,1272800,481697800,864,456.8,362,7500,352,100,3552213000,3552213000,266415975,179800,111300,0,0,0
2026-05-04,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,332.0,0.0,340.0,334.0,338.0,6.0,3200,1080400,10,431.3,352,700,336,2600,3552213000,3552213000,266415975,0,0,0,0,0
2026-04-30,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,350.0,0.0,342.0,330.0,332.0,-18.0,28600,9497400,14,423.7,350,30700,334,100,3552213000,3552213000,266415975,200,0,0,0,0
