Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-22,TINS,Timah Tbk.,--UO1835100000B146------------,3130.0,3100.0,3700.0,3020.0,3580.0,450.0,144854400,488902918000,19340,1829.4,3580,2816900,3560,1000,7447753454,7447753454,2603734608,54658700,79058800,3425570,12279005850,6
2026-05-21,TINS,Timah Tbk.,--UO1835100000B146------------,3060.0,3150.0,3190.0,2980.0,3130.0,70.0,85277800,262672424000,16884,1599.4,3130,340900,3120,1600,7447753454,7447753454,2603734608,35260500,33390700,117700,387933000,3
2026-05-20,TINS,Timah Tbk.,--UO1835100000B146------------,2970.0,2860.0,3260.0,2820.0,3060.0,90.0,187368800,577673726000,50715,1563.6,3070,94700,3060,476900,7447753454,7447753454,2603734608,39999700,67499800,25094,79785360,3
2026-05-19,TINS,Timah Tbk.,--UO1835100000B146------------,3410.0,3450.0,3460.0,2900.0,2970.0,-440.0,188587500,567821169000,26915,1517.7,2980,252000,2970,975800,7447753454,7447753454,2603734608,30548100,40408100,98127,285571310,3
2026-05-18,TINS,Timah Tbk.,--UO1835100000B146------------,3670.0,3570.0,3590.0,3280.0,3410.0,-260.0,62998900,215508298000,14145,1742.5,3420,21600,3410,1413900,7447753454,7447753454,2603734608,23707100,27288400,0,0,0
2026-05-13,TINS,Timah Tbk.,--UO1835100000B146------------,3640.0,3590.0,3700.0,3560.0,3670.0,30.0,54036100,197137532000,10493,1875.3,3670,723600,3660,67400,7447753454,7447753454,2603734608,14388600,25825300,100200,454720200,4
2026-05-12,TINS,Timah Tbk.,--UO1835100000B146------------,3560.0,3600.0,3680.0,3500.0,3640.0,80.0,74021000,266007439000,18286,1860.0,3650,137300,3640,721500,7447753454,7447753454,2603734608,13884500,27280600,7879,29456240,5
2026-05-11,TINS,Timah Tbk.,--UO1835100000B146------------,3490.0,3380.0,3900.0,3250.0,3560.0,70.0,233061700,820775480000,44200,1819.1,3560,653900,3550,224800,7447753454,7447753454,2603734608,65279400,56503500,101000,387980000,2
2026-05-08,TINS,Timah Tbk.,--UO1835100000B146------------,4100.0,4100.0,4130.0,3490.0,3490.0,-610.0,201589100,739367152000,41972,1783.4,3490,17625100,0,0,7447753454,7447753454,2603734608,43732300,23521800,2441100,9163148100,26
2026-05-07,TINS,Timah Tbk.,--UO1835100000B146------------,3890.0,3980.0,4190.0,3980.0,4100.0,210.0,98424900,403541069000,27109,2095.1,4100,502100,4090,141100,7447753454,7447753454,2603734608,13660200,32366300,1700404,6943333520,9
2026-05-06,TINS,Timah Tbk.,--UO1835100000B146------------,3690.0,3720.0,3890.0,3690.0,3890.0,200.0,55980500,213862585000,17046,1987.8,3890,209900,3880,215600,7447753454,7447753454,2603734608,3889500,26629700,70900,285919500,2
2026-05-05,TINS,Timah Tbk.,--UO1835100000B146------------,3800.0,3810.0,3810.0,3650.0,3690.0,-110.0,39405800,146760599000,13649,1885.6,3700,26500,3690,996500,7447753454,7447753454,2603734608,15392600,4841800,0,0,0
2026-05-04,TINS,Timah Tbk.,--UO1835100000B146------------,3580.0,3850.0,3980.0,3760.0,3800.0,220.0,122037600,469330297000,25725,1941.8,3810,163800,3800,109600,7447753454,7447753454,2603734608,14910700,38641500,500,1537500,1
2026-04-30,TINS,Timah Tbk.,--UO1835100000B146------------,3630.0,3630.0,3650.0,3380.0,3580.0,-50.0,33147800,115647794000,9429,1829.4,3580,22000,3570,100,7447753454,7447753454,2603734608,6641400,6540900,82,279620,1
2026-04-29,TINS,Timah Tbk.,--UO1835100000B146------------,3660.0,3670.0,3680.0,3550.0,3630.0,-30.0,25459000,91740396000,11879,1854.9,3640,32600,3630,71000,7447753454,7447753454,2603734608,2922800,11514400,746200,2648182000,3
2026-04-28,TINS,Timah Tbk.,--UO1835100000B146------------,3750.0,3780.0,3800.0,3640.0,3660.0,-90.0,18802800,69794280000,7049,1870.2,3670,45000,3660,987300,7447753454,7447753454,2603734608,4346100,4261500,0,0,0
2026-04-27,TINS,Timah Tbk.,--UO1835100000B146------------,3770.0,3780.0,3870.0,3710.0,3750.0,-20.0,23475700,88892482000,6268,1916.2,3750,183200,3740,128200,7447753454,7447753454,2603734608,3387500,7802400,0,0,0
2026-04-24,TINS,Timah Tbk.,--UO1835100000B146------------,3870.0,3850.0,3860.0,3750.0,3770.0,-100.0,20481300,77379991000,7202,1926.4,3780,110400,3770,5000,7447753454,7447753454,2603734608,6746500,4089000,3344000,12652640000,2
2026-04-23,TINS,Timah Tbk.,--UO1835100000B146---L--------,3890.0,3890.0,4000.0,3800.0,3870.0,-20.0,31515800,122233597000,11579,1977.5,3870,730300,3860,5100,7447753454,7447753454,2603734608,9082300,4261400,0,0,0
2026-04-22,TINS,Timah Tbk.,--UO1835100000B146---L--------,3900.0,3880.0,3910.0,3840.0,3890.0,-10.0,12803300,49644746000,4914,1987.8,3890,18400,3880,52400,7447753454,7447753454,2603734608,5298800,1101900,1030000,3997430000,2
2026-04-21,TINS,Timah Tbk.,--UO1835100000B146---L--------,3770.0,3800.0,3930.0,3760.0,3900.0,130.0,20974400,81285605000,8951,1992.9,3900,223100,3890,900,7447753454,7447753454,2603734608,2767700,6487200,0,0,0
2026-04-20,TINS,Timah Tbk.,--UO1835100000B146---L--------,3880.0,3880.0,4010.0,3740.0,3770.0,-110.0,40853700,159014753000,15889,1926.4,3780,11700,3770,470000,7447753454,7447753454,2603734608,6056200,6409400,84000,378840000,2
2026-04-17,TINS,Timah Tbk.,--UO1835100000B146---L--------,3840.0,3870.0,3890.0,3810.0,3880.0,40.0,16236400,62593423000,5298,1982.7,3890,289200,3880,61300,7447753454,7447753454,2603734608,1709500,3275400,2908980,11240695600,14
2026-04-16,TINS,Timah Tbk.,--UO1835100000B146---L--------,3860.0,3920.0,3990.0,3800.0,3840.0,-20.0,30228000,117849898000,10740,1962.2,3850,134300,3840,45700,7447753454,7447753454,2603734608,6812100,4553800,0,0,0
2026-04-15,TINS,Timah Tbk.,--UO1835100000B146---L--------,3950.0,4010.0,4070.0,3860.0,3860.0,-90.0,50322900,200397883000,13921,1972.4,3860,499300,3850,592700,7447753454,7447753454,2603734608,11899900,11877500,99512,335359280,2
2026-04-14,TINS,Timah Tbk.,--UO1835100000B146---L--------,3690.0,3760.0,3950.0,3750.0,3950.0,260.0,45459000,176474931000,16932,2018.4,3960,367700,3950,119200,7447753454,7447753454,2603734608,3832700,8468200,120085,465866900,3
2026-04-13,TINS,Timah Tbk.,--UO1835100000B146---L--------,3750.0,3680.0,3730.0,3670.0,3690.0,-60.0,26691100,98710087000,10982,1885.6,3690,10200,3680,950500,7447753454,7447753454,2603734608,2892000,3157700,100000,466000000,1
2026-04-10,TINS,Timah Tbk.,--UO1835100000B146---L--------,3710.0,3760.0,3820.0,3730.0,3750.0,40.0,25477400,95994719000,7062,1916.2,3760,112900,3750,56900,7447753454,7447753454,2603734608,5420800,2877100,38,141360,1
2026-04-09,TINS,Timah Tbk.,--UO1835100000B146---L--------,3800.0,3740.0,3790.0,3660.0,3710.0,-90.0,22864500,85305936000,8632,1895.8,3720,101200,3710,105700,7447753454,7447753454,2603734608,7997000,2698500,0,0,0
2026-04-08,TINS,Timah Tbk.,--UO1835100000B146---L--------,3500.0,3670.0,3890.0,3640.0,3800.0,300.0,71678600,270868047000,22885,1941.8,3800,731800,3790,100,7447753454,7447753454,2603734608,15549400,15161300,254500,955423800,2
2026-04-07,TINS,Timah Tbk.,--UO1835100000B146---L--------,3560.0,3560.0,3640.0,3440.0,3500.0,-60.0,35966300,126874565000,9729,1788.5,3520,26000,3500,7900,7447753454,7447753454,2603734608,12573500,4466300,235000,712050000,1
2026-04-06,TINS,Timah Tbk.,--UO1835100000B146---L--------,3380.0,3380.0,3600.0,3270.0,3560.0,180.0,30505100,107103718000,10671,1819.1,3570,113200,3560,936000,7447753454,7447753454,2603734608,7568900,5510000,0,0,0
2026-04-02,TINS,Timah Tbk.,--UO1835100000B146---L--------,3610.0,3450.0,3490.0,3340.0,3380.0,-230.0,37259500,126428029000,11325,1727.2,3380,1694100,3370,216400,7447753454,7447753454,2603734608,13310500,2014900,1000005,3394020800,5
2026-04-01,TINS,Timah Tbk.,--UO1835100000B146------------,3340.0,3500.0,3660.0,3450.0,3610.0,270.0,44985400,160869532000,12815,1844.7,3610,94300,3600,335300,7447753454,7447753454,2603734608,11967900,9229300,188213,604879891,6
2026-03-31,TINS,Timah Tbk.,--UO1835100000B146------------,3120.0,3150.0,3380.0,3150.0,3340.0,220.0,42691900,141380914000,12114,1706.7,3350,33900,3340,64300,7447753454,7447753454,2603734608,14958500,7819700,1763800,5891092000,1
2026-03-30,TINS,Timah Tbk.,--UO1835100000B146------------,3170.0,3090.0,3210.0,3050.0,3120.0,-50.0,19097800,59651358000,7596,1594.3,3130,9500,3120,58200,7447753454,7447753454,2603734608,3347600,6420100,641700,2018146500,1
2026-03-27,TINS,Timah Tbk.,--UO1835100000B146------------,3160.0,3100.0,3210.0,3070.0,3170.0,10.0,24126800,75886836000,7581,1619.9,3170,14100,3160,72000,7447753454,7447753454,2603734608,6238300,7662400,98,98,1
2026-03-26,TINS,Timah Tbk.,--UO1835100000B146------------,3350.0,3380.0,3380.0,3160.0,3160.0,-190.0,33060000,106435308000,10347,1614.7,3160,495300,3150,611100,7447753454,7447753454,2603734608,13242100,3921000,0,0,0
2026-03-25,TINS,Timah Tbk.,--UO1835100000B146------------,3320.0,3260.0,3380.0,3180.0,3350.0,30.0,30717600,101706674000,8933,1711.8,3360,419900,3350,413400,7447753454,7447753454,2603734608,17574100,12467900,238000,771680000,2
2026-03-17,TINS,Timah Tbk.,--UO1835100000B146------------,3230.0,3250.0,3390.0,3250.0,3320.0,90.0,29207500,97126865000,6234,1696.5,3320,212500,3310,131900,7447753454,7447753454,2603734608,9880100,4251300,0,0,0
2026-03-16,TINS,Timah Tbk.,--UO1835100000B146------------,3390.0,3370.0,3390.0,3160.0,3230.0,-160.0,29634700,96575804000,6396,1650.5,3240,113200,3230,276000,7447753454,7447753454,2603734608,7545000,12365900,0,0,0
2026-03-13,TINS,Timah Tbk.,--UO1835100000B146------------,3550.0,3500.0,3600.0,3350.0,3390.0,-160.0,32775600,112790205000,8738,1732.3,3390,261300,3380,59800,7447753454,7447753454,2603734608,7830100,9870300,437900,1535215000,10
2026-03-12,TINS,Timah Tbk.,--UO1835100000B146------------,3690.0,3660.0,3660.0,3490.0,3550.0,-140.0,42946100,153556356000,10324,1814.0,3560,6400,3550,133900,7447753454,7447753454,2603734608,10656700,7415000,1428900,5172618000,1
2026-03-11,TINS,Timah Tbk.,--UO1835100000B146------------,3840.0,3880.0,3900.0,3660.0,3690.0,-150.0,44818300,168122762000,14862,1885.6,3690,182100,3680,277600,7447753454,7447753454,2603734608,18716200,2743700,0,0,0
2026-03-10,TINS,Timah Tbk.,--UO1835100000B146------------,3420.0,3600.0,3940.0,3540.0,3840.0,420.0,78567800,295924858000,26144,1962.2,3850,25500,3840,370400,7447753454,7447753454,2603734608,17552300,12398300,234100,805402000,6
2026-03-09,TINS,Timah Tbk.,--UO1835100000B146------------,3760.0,3490.0,3560.0,3350.0,3420.0,-340.0,69120700,237099254000,12228,1747.6,3420,152900,3410,90700,7447753454,7447753454,2603734608,10966200,24345400,250000,1000000000,1
2026-03-06,TINS,Timah Tbk.,--UO1835100000B146------------,3890.0,3890.0,3900.0,3700.0,3760.0,-130.0,40367000,152804707000,13041,1921.3,3770,58500,3760,323700,7447753454,7447753454,2603734608,9744300,14464900,1404659,5364273350,5
2026-03-05,TINS,Timah Tbk.,--UO1835100000B146------------,3890.0,4010.0,4030.0,3810.0,3890.0,0.0,52882200,207203396000,14011,1987.8,3900,1826700,3890,55400,7447753454,7447753454,2603734608,19882700,10277100,392083,1520674870,3
2026-03-04,TINS,Timah Tbk.,--UO1835100000B146------------,4250.0,4110.0,4110.0,3720.0,3890.0,-360.0,127832700,497952453000,36063,1987.8,3900,56400,3890,225400,7447753454,7447753454,2603734608,30035300,28609400,1563007,6036843550,10
2026-03-03,TINS,Timah Tbk.,--UO1835100000B146------------,4590.0,4580.0,4580.0,4230.0,4250.0,-340.0,66199300,287522347000,25061,2171.7,4250,319700,4240,175400,7447753454,7447753454,2603734608,25629000,6919400,0,0,0
2026-03-02,TINS,Timah Tbk.,--UO1835100000B146------------,4600.0,4570.0,4720.0,4480.0,4590.0,-10.0,53766500,247434514000,17135,2345.5,4590,476500,4580,34000,7447753454,7447753454,2603734608,13040400,11987000,100005,461023100,2
2026-02-27,TINS,Timah Tbk.,--UO1835100000B146------------,4450.0,4450.0,4640.0,4320.0,4600.0,150.0,62311300,283055924000,19910,2350.6,4600,736200,4590,1000,7447753454,7447753454,2603734608,10847800,17034600,190029,861190182,6
2026-02-26,TINS,Timah Tbk.,--UO1835100000B146------------,4340.0,4430.0,4500.0,4220.0,4450.0,110.0,70213200,306891858000,19849,2273.9,4450,520900,4440,119600,7447753454,7447753454,2603734608,15796300,18444900,174499,783765900,6
2026-02-25,TINS,Timah Tbk.,--UO1835100000B146------------,4150.0,4400.0,4470.0,4310.0,4340.0,190.0,81943100,359599925000,26958,2217.7,4340,108900,4330,236600,7447753454,7447753454,2603734608,19960600,24653200,181,780650,3
2026-02-24,TINS,Timah Tbk.,--UO1835100000B146------------,4160.0,4200.0,4460.0,4120.0,4150.0,-10.0,114789100,494572066000,36889,2120.6,4150,147000,4140,224800,7447753454,7447753454,2603734608,16700500,35556800,811797,3462288500,7
2026-02-23,TINS,Timah Tbk.,--UO1835100000B146------------,3920.0,3990.0,4180.0,3990.0,4160.0,240.0,70693200,290861103000,19627,2125.7,4170,287000,4160,181000,7447753454,7447753454,2603734608,7892100,32306700,98,196000,1
2026-02-20,TINS,Timah Tbk.,--UO1835100000B146------------,3990.0,4000.0,4070.0,3900.0,3920.0,-70.0,33111200,130672887000,10996,2003.1,3920,1984000,3910,1100500,7447753454,7447753454,2603734608,7262200,7294500,73988,264137160,1
2026-02-19,TINS,Timah Tbk.,--UO1835100000B146------------,3950.0,4000.0,4120.0,3920.0,3990.0,40.0,69471000,279683381000,16640,2038.9,3990,711300,3980,352600,7447753454,7447753454,2603734608,17589100,13646200,0,0,0
2026-02-18,TINS,Timah Tbk.,--UO1835100000B146------------,4050.0,4000.0,4020.0,3910.0,3950.0,-100.0,61749100,244443295000,21088,2018.4,3950,350100,3940,172100,7447753454,7447753454,2603734608,8634900,13325500,264000,974758000,2
2026-02-13,TINS,Timah Tbk.,--UO1835100000B146------------,4190.0,4190.0,4240.0,4050.0,4050.0,-140.0,81413600,334011513000,23338,2069.5,4050,390800,4040,423900,7447753454,7447753454,2603734608,17364400,16247400,518317,2168067500,8
2026-02-12,TINS,Timah Tbk.,--UO1835100000B146------------,3810.0,3850.0,4380.0,3780.0,4190.0,380.0,183837600,755666295000,41248,2141.1,4200,248100,4190,156200,7447753454,7447753454,2603734608,28869900,66561100,2150826,8966189800,11
2026-02-11,TINS,Timah Tbk.,--UO1835100000B146------------,3360.0,3390.0,3890.0,3370.0,3810.0,450.0,113420300,413746323000,26439,1946.9,3820,42400,3810,380600,7447753454,7447753454,2603734608,25847500,20574300,15000,57000000,1
2026-02-10,TINS,Timah Tbk.,--UO1835100000B146------------,3160.0,3200.0,3440.0,3190.0,3360.0,200.0,65605500,219700400000,16287,1716.9,3370,142800,3360,2078400,7447753454,7447753454,2603734608,16249500,23008000,48,146100,3
2026-02-09,TINS,Timah Tbk.,--UO1835100000B146------------,3030.0,3050.0,3210.0,3050.0,3160.0,130.0,30796600,96477370000,6352,1614.7,3160,65900,3150,416700,7447753454,7447753454,2603734608,8044800,5777600,217294,814784820,2
2026-02-06,TINS,Timah Tbk.,--UO1835100000B146------------,3240.0,3140.0,3160.0,3010.0,3030.0,-210.0,35094800,108121297000,8583,1548.3,3040,4100,3030,86500,7447753454,7447753454,2603734608,10164100,4761900,0,0,0
2026-02-05,TINS,Timah Tbk.,--UO1835100000B146------------,3300.0,3300.0,3400.0,3240.0,3240.0,-60.0,47683100,157371309000,10568,1655.6,3240,276000,3230,451100,7447753454,7447753454,2603734608,10257400,7260700,70061,198290100,4
2026-02-04,TINS,Timah Tbk.,--UO1835100000B146------------,3220.0,3190.0,3340.0,3180.0,3300.0,80.0,46097200,151111840000,7711,1686.3,3310,162600,3300,115400,7447753454,7447753454,2603734608,8965800,10756700,101,255580,2
2026-02-03,TINS,Timah Tbk.,--UO1835300000B146------------,2970.0,2980.0,3250.0,2820.0,3220.0,250.0,85635100,266211749000,15323,1645.4,3230,81100,3220,51500,7447753454,7447753454,2603734608,34140400,12249900,313000,973910000,2
2026-02-02,TINS,Timah Tbk.,--UO1835300000B146------------,3240.0,3080.0,3140.0,2800.0,2970.0,-270.0,106188900,312661827000,22935,1517.7,2970,395500,2960,4300,7447753454,7447753454,2603734608,27574200,38319900,0,0,0
2026-01-30,TINS,Timah Tbk.,--UO1835300000B146------------,3320.0,3320.0,3400.0,3160.0,3240.0,-80.0,50719500,165415721000,19146,1655.6,3240,376800,3230,18700,7447753454,7447753454,2603734608,21354200,4055500,4604400,15431472000,6
2026-01-29,TINS,Timah Tbk.,--UO1835300000B146------------,3340.0,3340.0,3440.0,2840.0,3320.0,-20.0,144651900,454081159000,23215,1696.5,3330,48500,3320,196400,7447753454,7447753454,2603734608,44733500,34775500,26951300,89090804000,3
2026-01-28,TINS,Timah Tbk.,--UO1835300000B146------------,3750.0,3570.0,3740.0,3200.0,3340.0,-410.0,152825300,520036217000,30541,1706.7,3350,16200,3340,43500,7447753454,7447753454,2603734608,50706300,31034700,16379,75840700,3
2026-01-27,TINS,Timah Tbk.,--UO1835300000B146------------,3760.0,3800.0,3830.0,3680.0,3750.0,-10.0,52482500,196971550000,14548,1916.2,3760,24200,3750,731200,7447753454,7447753454,2603734608,16311300,6904300,287,1029590,3
2026-01-26,TINS,Timah Tbk.,--UO1835300000B146------------,3650.0,3780.0,3970.0,3710.0,3760.0,110.0,153043500,588472217000,27058,1921.3,3770,117700,3760,549800,7447753454,7447753454,2603734608,28883100,57648000,23500598,89300612800,5
2026-01-23,TINS,Timah Tbk.,--UO1835300000B146------------,3610.0,3650.0,3680.0,3540.0,3650.0,40.0,31794000,114927460000,8675,1865.1,3650,162700,3640,42100,7447753454,7447753454,2603734608,9437600,8058200,4306098,15520223000,3
2026-01-22,TINS,Timah Tbk.,--UO1835300000B146------------,3590.0,3650.0,3690.0,3560.0,3610.0,20.0,55045700,199749144000,13849,1844.7,3620,174100,3610,1000,7447753454,7447753454,2603734608,18906300,5486100,44500,198025000,1
2026-01-21,TINS,Timah Tbk.,--UO1835300000B146------------,3620.0,3550.0,3680.0,3520.0,3590.0,-30.0,70109500,251233536000,23104,1834.5,3590,843800,3580,176100,7447753454,7447753454,2603734608,20115600,11928200,154865,555078880,6
2026-01-20,TINS,Timah Tbk.,--UO1835300000B146------------,3790.0,3790.0,3790.0,3590.0,3620.0,-170.0,110699500,405781577000,33146,1849.8,3630,49400,3620,271800,7447753454,7447753454,2603734608,31606700,9891700,4040000,14751023000,4
