Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-30,TOWR,Sarana Menara Nusantara Tbk.,--MO1H0L98H000J321------------,478.0,478.0,486.0,472.0,476.0,-2.0,16153700,7687462800,2012,2267.4,478,333500,476,67900,59098103731,59098103731,19301440679,5184600,4675600,36,17136,2
2026-04-29,TOWR,Sarana Menara Nusantara Tbk.,--MO1H0L98H000J321------------,476.0,478.0,482.0,476.0,478.0,2.0,8012900,3831617600,1061,2276.9,480,92400,478,109600,59098103731,59098103731,19301440679,1041100,3016000,0,0,0
2026-04-28,TOWR,Sarana Menara Nusantara Tbk.,--MO1H0L98H000J321------------,482.0,482.0,484.0,474.0,476.0,-6.0,14186600,6770114200,1904,2267.4,478,300300,476,197100,59098103731,59098103731,19301440679,2132200,701300,0,0,0
2026-04-27,TOWR,Sarana Menara Nusantara Tbk.,--MO1H0L98H000J321------------,488.0,486.0,490.0,480.0,482.0,-6.0,12514100,6057030000,1989,2296.0,486,446700,482,633700,59098103731,59098103731,19301440679,2928600,2340100,0,0,0
2026-04-24,TOWR,Sarana Menara Nusantara Tbk.,--MO1H0L98H000J321------------,505.0,505.0,505.0,484.0,488.0,-17.0,25527100,12531513300,2724,2324.6,490,341300,488,441200,59098103731,59098103731,19301440679,6609600,2450200,0,0,0
2026-04-23,TOWR,Sarana Menara Nusantara Tbk.,--MO1H0L98H000J321------------,505.0,505.0,510.0,500.0,505.0,0.0,6590300,3326209500,856,2405.6,505,1663900,500,3175400,59098103731,59098103731,19301440679,1430000,642300,30,15300,1
2026-04-22,TOWR,Sarana Menara Nusantara Tbk.,--MO1H0L98H000J321------------,505.0,505.0,510.0,500.0,505.0,0.0,6999700,3528190000,989,2405.6,505,388400,500,3877400,59098103731,59098103731,19301440679,1224700,479300,0,0,0
2026-04-21,TOWR,Sarana Menara Nusantara Tbk.,--MO1H0L98H000J321------------,498.0,500.0,505.0,494.0,505.0,7.0,8100200,4059388700,1584,2405.6,505,13400,500,770100,59098103731,59098103731,19301440679,2063400,2428700,0,0,0
2026-04-20,TOWR,Sarana Menara Nusantara Tbk.,--MO1H0L98H000J321------------,510.0,510.0,515.0,498.0,498.0,-12.0,11059100,5557232300,1520,2372.2,500,12000,498,265900,59098103731,59098103731,19301440679,5848500,2143700,0,0,0
2026-04-17,TOWR,Sarana Menara Nusantara Tbk.,--MO1H0L98H000J321------------,510.0,510.0,515.0,505.0,510.0,0.0,6386800,3257796500,1048,2429.4,510,857200,505,2177900,59098103731,59098103731,19301440679,1466000,1363700,0,0,0
2026-04-16,TOWR,Sarana Menara Nusantara Tbk.,--MO1H0L98H000J321------------,500.0,505.0,515.0,505.0,510.0,10.0,14912200,7584849500,1629,2429.4,510,901400,505,2635000,59098103731,59098103731,19301440679,2129700,5319600,0,0,0
2026-04-15,TOWR,Sarana Menara Nusantara Tbk.,--MO1H0L98H000J321------------,505.0,505.0,510.0,498.0,500.0,-5.0,19720600,9934349800,2331,2381.7,505,274500,500,299900,59098103731,59098103731,19301440679,3362200,7283100,0,0,0
