Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-13,TPMA,Trans Power Marine Tbk.,--MO1135000000A122------------,590.0,590.0,595.0,580.0,585.0,-5.0,6201100,3647089000,827,279.4,590,589200,585,103600,3507420034,3507420034,998913226,1380500,12200,0,0,0
2026-03-12,TPMA,Trans Power Marine Tbk.,--MO1135000000A122------------,595.0,595.0,595.0,585.0,590.0,-5.0,2692500,1589433500,649,281.8,590,283800,585,1447200,3507420034,3507420034,998913226,94700,319100,0,0,0
2026-03-11,TPMA,Trans Power Marine Tbk.,--MO1135000000A122------------,595.0,595.0,600.0,585.0,595.0,0.0,4848100,2876875000,696,284.2,595,418000,590,20000,3507420034,3507420034,998913226,395800,546600,0,0,0
2026-03-10,TPMA,Trans Power Marine Tbk.,--MO1135000000A122------------,585.0,590.0,600.0,590.0,595.0,10.0,4778100,2838654000,523,284.2,600,490700,595,3000,3507420034,3507420034,998913226,1252800,194800,0,0,0
2026-03-09,TPMA,Trans Power Marine Tbk.,--MO1135000000A122------------,600.0,595.0,595.0,580.0,585.0,-15.0,10102700,5935191500,1525,279.4,590,776100,585,526800,3507420034,3507420034,998913226,1998000,539100,0,0,0
2026-03-06,TPMA,Trans Power Marine Tbk.,--MO1135000000A122------------,605.0,605.0,610.0,595.0,600.0,-5.0,3337000,1995872000,782,286.6,600,26900,595,481000,3507420034,3507420034,998913226,1071100,26800,0,0,0
2026-03-05,TPMA,Trans Power Marine Tbk.,--MO1135000000A122------------,595.0,595.0,610.0,595.0,605.0,10.0,2927300,1765755500,584,288.9,605,52100,600,587300,3507420034,3507420034,998913226,696700,168500,0,0,0
2026-03-04,TPMA,Trans Power Marine Tbk.,--MO1135000000A122------------,605.0,610.0,610.0,590.0,595.0,-10.0,11443600,6852526500,1808,284.2,595,389600,590,644200,3507420034,3507420034,998913226,2108600,1388900,0,0,0
2026-03-03,TPMA,Trans Power Marine Tbk.,--MO1135000000A122------------,600.0,600.0,610.0,595.0,605.0,5.0,7591100,4585334500,893,288.9,610,1574400,605,243100,3507420034,3507420034,998913226,1427400,1082500,0,0,0
2026-03-02,TPMA,Trans Power Marine Tbk.,--MO1135000000A122------------,610.0,610.0,610.0,600.0,600.0,-10.0,11545900,6975798500,1527,286.6,600,1409100,595,1472300,3507420034,3507420034,998913226,130400,582900,0,0,0
