Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-12,TRST,Trias Sentosa Tbk.,--UO2135000000B131------------,486.0,494.0,494.0,464.0,480.0,-6.0,513900,247616200,522,286.3,480,4100,470,5000,2808000000,2808000000,697507200,6500,9700,0,0,0
2026-05-11,TRST,Trias Sentosa Tbk.,--UO2135000000B131------------,464.0,0.0,500.0,452.0,486.0,22.0,803500,392941200,380,289.9,488,45300,480,100,2808000000,2808000000,697507200,19700,17000,42364976,27280226696,33
2026-05-08,TRST,Trias Sentosa Tbk.,--UO2135000000B131------------,468.0,468.0,478.0,452.0,464.0,-4.0,182000,84751800,89,276.8,462,7300,454,500,2808000000,2808000000,697507200,9700,12000,0,0,0
2026-05-07,TRST,Trias Sentosa Tbk.,--UO2135000000B131------------,464.0,466.0,474.0,464.0,468.0,4.0,26400,12348800,39,279.2,472,12500,468,4500,2808000000,2808000000,697507200,0,1100,0,0,0
2026-05-06,TRST,Trias Sentosa Tbk.,--UO2135000000B131------------,492.0,490.0,490.0,456.0,464.0,-28.0,155400,72357600,91,276.8,476,2000,464,600,2808000000,2808000000,697507200,1000,5600,0,0,0
2026-05-05,TRST,Trias Sentosa Tbk.,--UO2135000000B131------------,480.0,480.0,498.0,462.0,492.0,12.0,103300,49791400,53,293.5,490,100,472,100,2808000000,2808000000,697507200,0,1900,0,0,0
2026-05-04,TRST,Trias Sentosa Tbk.,--UO2135000000B131------------,480.0,484.0,490.0,470.0,480.0,0.0,60000,28450600,39,286.3,480,8000,470,100,2808000000,2808000000,697507200,800,600,0,0,0
2026-04-30,TRST,Trias Sentosa Tbk.,--UO2135000000B131------------,480.0,0.0,480.0,458.0,480.0,0.0,17700,8377600,19,286.3,488,100,480,1600,2808000000,2808000000,697507200,0,600,0,0,0
2026-04-29,TRST,Trias Sentosa Tbk.,--UO2135000000B131------------,478.0,0.0,490.0,458.0,480.0,2.0,16300,7779000,21,286.3,482,5200,468,900,2808000000,2808000000,697507200,1000,600,0,0,0
2026-04-28,TRST,Trias Sentosa Tbk.,--UO2135000000B131------------,470.0,0.0,478.0,460.0,478.0,8.0,10500,5000600,22,285.1,480,18600,478,2300,2808000000,2808000000,697507200,0,300,0,0,0
