Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-06,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,394.0,404.0,460.0,376.0,384.0,-10.0,149600,63161800,168,451.8,392,3800,384,100,800000000,800000000,165760000,10100,9100,0,0,0
2026-04-02,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,392.0,392.0,410.0,392.0,394.0,2.0,900,360000,9,463.5,394,700,392,600,800000000,800000000,165760000,200,0,0,0,0
2026-04-01,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,388.0,0.0,408.0,390.0,392.0,4.0,2800,1107400,12,461.2,392,100,390,1600,800000000,800000000,165760000,100,0,0,0,0
2026-03-31,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,396.0,0.0,424.0,386.0,388.0,-8.0,6300,2533400,15,456.5,416,500,408,100,800000000,800000000,165760000,1100,0,0,0,0
2026-03-30,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,400.0,398.0,398.0,386.0,396.0,-4.0,1200,472400,6,465.9,400,200,394,100,800000000,800000000,165760000,0,0,0,0,0
2026-03-27,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,398.0,0.0,400.0,384.0,400.0,2.0,5100,1989800,12,470.6,400,100,386,400,800000000,800000000,165760000,0,0,0,0,0
2026-03-26,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,392.0,0.0,404.0,380.0,398.0,6.0,5700,2229600,22,468.2,400,200,386,500,800000000,800000000,165760000,0,0,0,0,0
2026-03-25,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,392.0,392.0,392.0,380.0,392.0,0.0,700,273000,6,461.2,398,100,390,100,800000000,800000000,165760000,0,0,0,0,0
2026-03-17,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,394.0,0.0,418.0,392.0,392.0,-2.0,2400,964800,17,461.2,392,1600,390,100,800000000,800000000,165760000,100,0,0,0,0
2026-03-16,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,404.0,0.0,406.0,380.0,394.0,-10.0,4600,1845800,15,463.5,404,500,394,2300,800000000,800000000,165760000,0,2300,0,0,0
2026-03-13,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,390.0,0.0,404.0,400.0,404.0,14.0,1700,682400,14,475.3,420,500,398,1900,800000000,800000000,165760000,0,0,0,0,0
2026-03-12,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,420.0,0.0,416.0,390.0,390.0,-30.0,300,122000,3,458.8,416,1000,390,3000,800000000,800000000,165760000,0,0,0,0,0
2026-03-11,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,392.0,404.0,420.0,404.0,420.0,28.0,4300,1756800,9,494.1,420,100,404,3500,800000000,800000000,165760000,0,1600,0,0,0
2026-03-10,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,410.0,0.0,414.0,392.0,392.0,-18.0,1100,447600,6,461.2,416,200,392,3200,800000000,800000000,165760000,0,0,0,0,0
2026-03-09,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,436.0,0.0,410.0,402.0,410.0,-26.0,9200,3747400,23,482.4,410,1000,396,4000,800000000,800000000,165760000,0,0,0,0,0
2026-03-06,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,428.0,0.0,448.0,396.0,436.0,8.0,27600,11804200,41,512.9,436,600,424,100,800000000,800000000,165760000,0,0,0,0,0
2026-03-05,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,436.0,426.0,458.0,412.0,428.0,-8.0,42800,18094600,46,503.5,428,200,412,4400,800000000,800000000,165760000,0,0,0,0,0
2026-03-04,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,428.0,0.0,464.0,422.0,436.0,8.0,30400,13414000,34,512.9,460,100,426,400,800000000,800000000,165760000,0,0,0,0,0
2026-03-03,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,422.0,0.0,430.0,412.0,428.0,6.0,1100,469800,6,503.5,430,2900,414,3000,800000000,800000000,165760000,0,0,0,0,0
2026-03-02,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,418.0,0.0,454.0,410.0,422.0,4.0,50000,20984400,46,496.5,442,600,420,100,800000000,800000000,165760000,0,2200,0,0,0
2026-02-27,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,416.0,416.0,448.0,416.0,418.0,2.0,54000,23189000,80,491.8,418,100,416,1500,800000000,800000000,165760000,3300,3800,0,0,0
2026-02-26,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,438.0,438.0,438.0,416.0,416.0,-22.0,12900,5453000,31,489.4,434,100,420,500,800000000,800000000,165760000,0,0,0,0,0
2026-02-25,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,434.0,448.0,448.0,422.0,438.0,4.0,26600,11584200,18,515.3,436,3500,424,500,800000000,800000000,165760000,0,0,0,0,0
2026-02-24,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,430.0,430.0,446.0,420.0,434.0,4.0,53800,23118600,44,510.6,434,13900,424,800,800000000,800000000,165760000,0,2200,0,0,0
2026-02-23,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,434.0,434.0,434.0,416.0,430.0,-4.0,35400,15012200,46,505.9,430,900,422,300,800000000,800000000,165760000,0,5200,0,0,0
2026-02-20,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,440.0,0.0,450.0,434.0,434.0,-6.0,20100,8792600,22,510.6,440,6300,434,4700,800000000,800000000,165760000,0,1000,0,0,0
2026-02-19,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,456.0,0.0,452.0,432.0,440.0,-16.0,12500,5516600,20,517.6,450,1200,440,20000,800000000,800000000,165760000,0,5900,0,0,0
2026-02-18,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,454.0,454.0,462.0,430.0,456.0,2.0,73900,33212600,118,536.5,458,600,456,1300,800000000,800000000,165760000,2700,6200,0,0,0
2026-02-13,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,434.0,446.0,470.0,434.0,454.0,20.0,139900,62846800,149,534.1,456,800,454,29700,800000000,800000000,165760000,6300,0,0,0,0
2026-02-12,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,408.0,420.0,498.0,420.0,434.0,26.0,575900,268027000,681,510.6,446,700,434,1300,800000000,800000000,165760000,36000,27400,0,0,0
2026-02-11,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,420.0,434.0,500.0,408.0,408.0,-12.0,582900,261201600,429,480.0,420,4500,408,33600,800000000,800000000,165760000,2800,14700,0,0,0
2026-02-10,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,432.0,0.0,434.0,414.0,420.0,-12.0,22400,9663600,26,494.1,432,300,420,2200,800000000,800000000,165760000,0,1500,0,0,0
2026-02-09,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,408.0,0.0,432.0,408.0,432.0,24.0,5300,2226200,18,508.2,430,400,414,100,800000000,800000000,165760000,0,600,0,0,0
2026-02-06,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,438.0,438.0,438.0,402.0,408.0,-30.0,10600,4416600,27,480.0,428,100,408,4000,800000000,800000000,165760000,1600,3300,0,0,0
2026-02-05,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,438.0,0.0,438.0,418.0,438.0,0.0,5900,2502800,21,515.3,438,1500,416,3500,800000000,800000000,165760000,0,900,0,0,0
2026-02-04,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,434.0,448.0,448.0,438.0,438.0,4.0,1400,616000,7,515.3,438,2000,410,3000,800000000,800000000,165760000,100,0,0,0,0
2026-02-03,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,412.0,0.0,448.0,410.0,434.0,22.0,6400,2788800,17,510.6,444,10800,434,1600,800000000,800000000,165760000,200,0,0,0,0
2026-02-02,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,430.0,430.0,430.0,412.0,412.0,-18.0,15200,6506000,20,484.7,412,20100,410,100,800000000,800000000,165760000,9000,1000,0,0,0
2026-01-30,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,420.0,420.0,434.0,406.0,430.0,10.0,25700,10650400,36,505.9,430,13500,410,2000,800000000,800000000,165760000,0,2100,0,0,0
2026-01-29,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,416.0,0.0,458.0,390.0,420.0,4.0,52900,23139600,68,494.1,430,600,420,200,800000000,800000000,165760000,11900,6100,0,0,0
2026-01-28,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,456.0,0.0,454.0,390.0,416.0,-40.0,83000,35173800,56,489.4,440,200,416,300,800000000,800000000,165760000,1100,3400,0,0,0
2026-01-27,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,458.0,460.0,460.0,456.0,456.0,-2.0,16200,7398400,21,536.5,456,600,454,1300,800000000,800000000,165760000,1300,0,0,0,0
2026-01-26,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,452.0,454.0,462.0,454.0,458.0,6.0,30100,13784000,7,538.8,460,3000,456,400,800000000,800000000,165760000,0,0,0,0,0
2026-01-23,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,462.0,0.0,458.0,450.0,452.0,-10.0,35900,16258200,35,531.8,454,11400,452,5100,800000000,800000000,165760000,0,0,0,0,0
2026-01-22,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,460.0,460.0,480.0,454.0,462.0,2.0,5700,2687200,15,543.5,462,13600,460,800,800000000,800000000,165760000,1100,0,0,0,0
2026-01-21,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,460.0,460.0,462.0,454.0,460.0,0.0,15200,6932800,23,541.2,460,14700,456,700,800000000,800000000,165760000,0,0,0,0,0
2026-01-20,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,474.0,476.0,476.0,460.0,460.0,-14.0,24900,11606400,21,541.2,460,2800,458,2600,800000000,800000000,165760000,0,4000,0,0,0
2026-01-19,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,462.0,0.0,478.0,454.0,474.0,12.0,100900,47082200,36,557.6,474,1900,462,100,800000000,800000000,165760000,11300,6800,0,0,0
2026-01-15,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,462.0,466.0,478.0,454.0,462.0,0.0,18300,8460400,17,543.5,462,6800,460,7000,800000000,800000000,165760000,0,0,0,0,0
2026-01-14,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,460.0,460.0,478.0,452.0,462.0,2.0,60500,27610800,43,543.5,464,22100,462,11200,800000000,800000000,165760000,0,0,0,0,0
2026-01-13,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,452.0,452.0,484.0,452.0,460.0,8.0,76300,35775800,80,541.2,474,500,460,6100,800000000,800000000,165760000,1700,10400,0,0,0
2026-01-12,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,470.0,478.0,478.0,428.0,452.0,-18.0,104500,46828000,58,531.8,470,2000,452,1700,800000000,800000000,165760000,8900,0,0,0,0
2026-01-09,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,470.0,474.0,476.0,460.0,470.0,0.0,13100,6138400,16,552.9,470,1100,468,3400,800000000,800000000,165760000,400,0,0,0,0
2026-01-08,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,476.0,488.0,488.0,470.0,470.0,-6.0,27200,12925600,36,552.9,472,1200,464,1000,800000000,800000000,165760000,0,0,0,0,0
2026-01-07,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,474.0,0.0,488.0,470.0,476.0,2.0,118100,56789200,76,560.0,480,23300,476,20200,800000000,800000000,165760000,0,0,0,0,0
2026-01-06,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,472.0,472.0,482.0,464.0,474.0,2.0,66400,31530000,80,557.6,474,8300,470,3900,800000000,800000000,165760000,0,0,0,0,0
2026-01-05,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,468.0,472.0,476.0,460.0,472.0,4.0,46600,21955000,62,555.3,472,3600,462,200,800000000,800000000,165760000,0,0,0,0,0
2026-01-02,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,456.0,456.0,474.0,456.0,468.0,12.0,97700,45647000,101,550.6,468,1200,464,300,800000000,800000000,165760000,2500,1000,0,0,0
2025-12-30,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,452.0,0.0,460.0,448.0,456.0,4.0,1600,720200,6,536.5,456,400,450,2600,800000000,800000000,16560000,0,0,0,0,0
2025-12-29,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,450.0,450.0,462.0,442.0,452.0,2.0,10500,4757400,29,531.8,456,1100,446,900,800000000,800000000,16560000,0,0,0,0,0
2025-12-24,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,464.0,0.0,462.0,442.0,450.0,-14.0,10500,4742400,29,529.4,458,1400,450,100,800000000,800000000,16560000,0,0,0,0,0
2025-12-23,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,460.0,0.0,468.0,450.0,464.0,4.0,15900,7234600,29,545.9,462,4500,454,900,800000000,800000000,16560000,600,2800,0,0,0
2025-12-22,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,456.0,0.0,476.0,436.0,460.0,4.0,40900,18867000,80,541.2,464,200,460,300,800000000,800000000,16560000,2600,0,0,0,0
2025-12-19,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,454.0,0.0,468.0,448.0,456.0,2.0,22300,10198600,49,536.5,460,10900,456,100,800000000,800000000,16560000,0,0,0,0,0
2025-12-18,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,448.0,0.0,482.0,444.0,454.0,6.0,180000,83618200,216,534.1,456,13800,452,3600,800000000,800000000,16560000,18500,11200,0,0,0
2025-12-17,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,452.0,0.0,474.0,444.0,448.0,-4.0,144200,66503000,139,527.1,454,3900,448,6300,800000000,800000000,16560000,11600,0,0,0,0
2025-12-16,TRUS,Trust Finance Indonesia Tbk,--UO2100000000G211------------,452.0,0.0,456.0,442.0,452.0,0.0,32700,14800000,19,531.8,454,6000,452,900,800000000,800000000,16560000,22600,0,0,0,0
