Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-20,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,140.0,140.0,145.0,138.0,141.0,1.0,179500,25038700,84,176.6,142,8300,141,1000,2898261693,2898261693,421697076,0,16300,0,0,0
2026-05-18,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,141.0,141.0,142.0,136.0,142.0,1.0,203800,28289300,97,177.9,142,200300,140,500,2898261693,2898261693,421697076,10000,0,0,0,0
2026-05-13,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,148.0,150.0,150.0,132.0,141.0,-7.0,3235600,456553900,386,176.6,141,62400,140,49800,2898261693,2898261693,421697076,0,0,0,0,0
2026-05-12,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,153.0,154.0,160.0,146.0,148.0,-5.0,1164400,175963900,262,185.4,150,100,149,1500,2898261693,2898261693,421697076,61000,12200,0,0,0
2026-05-11,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,156.0,152.0,155.0,151.0,153.0,-3.0,1155200,175435500,190,191.7,153,75100,152,6000,2898261693,2898261693,421697076,0,0,0,0,0
2026-05-08,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,159.0,160.0,160.0,152.0,156.0,-3.0,1564000,242861000,347,195.4,156,217100,155,200,2898261693,2898261693,421697076,79000,166200,0,0,0
2026-05-07,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,151.0,0.0,196.0,147.0,159.0,8.0,25786500,4556422300,3949,199.2,159,32900,158,46100,2898261693,2898261693,421697076,1145600,1117200,0,0,0
2026-05-06,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,151.0,0.0,160.0,150.0,151.0,0.0,380800,57607100,193,189.1,152,3300,150,3000,2898261693,2898261693,421697076,0,0,0,0,0
2026-05-05,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,150.0,0.0,174.0,150.0,151.0,1.0,5414900,877347200,1615,189.1,151,23100,150,28800,2898261693,2898261693,421697076,467000,198700,0,0,0
2026-05-04,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,155.0,155.0,156.0,148.0,150.0,-5.0,204400,30831300,109,187.9,152,10600,149,800,2898261693,2898261693,421697076,3600,0,0,0,0
2026-04-30,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,157.0,0.0,156.0,135.0,155.0,-2.0,811400,118295300,234,194.2,155,9900,153,5500,2898261693,2898261693,421697076,17500,0,0,0,0
2026-04-29,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,156.0,0.0,159.0,154.0,157.0,1.0,153900,24044600,57,196.7,157,50900,156,1300,2898261693,2898261693,421697076,10500,0,0,0,0
2026-04-28,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,155.0,153.0,156.0,153.0,156.0,1.0,20400,3149100,29,195.4,156,4200,154,300,2898261693,2898261693,421697076,6900,0,0,0,0
2026-04-27,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,155.0,154.0,157.0,154.0,155.0,0.0,84900,13219200,34,194.2,156,25100,154,6400,2898261693,2898261693,421697076,2600,0,0,0,0
2026-04-24,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,156.0,156.0,156.0,153.0,155.0,-1.0,212200,32612200,78,194.2,155,62700,154,5800,2898261693,2898261693,421697076,2500,0,0,0,0
2026-04-23,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,158.0,0.0,158.0,151.0,156.0,-2.0,141900,21990200,100,195.4,156,3400,155,200,2898261693,2898261693,421697076,0,0,0,0,0
2026-04-22,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,157.0,158.0,160.0,155.0,158.0,1.0,378400,59286700,147,197.9,159,9000,157,3000,2898261693,2898261693,421697076,6100,0,0,0,0
2026-04-21,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,158.0,0.0,158.0,155.0,157.0,-1.0,399000,62151700,122,196.7,157,5100,155,24800,2898261693,2898261693,421697076,7300,0,0,0,0
2026-04-20,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,156.0,156.0,160.0,156.0,158.0,2.0,121600,19084000,78,197.9,158,24800,156,13100,2898261693,2898261693,421697076,3300,0,0,0,0
2026-04-17,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,157.0,157.0,158.0,154.0,156.0,-1.0,649200,100877100,133,195.4,156,1500,155,18600,2898261693,2898261693,421697076,6800,0,0,0,0
2026-04-16,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,155.0,157.0,157.0,154.0,157.0,2.0,138400,21568000,92,196.7,158,16300,155,14300,2898261693,2898261693,421697076,0,0,0,0,0
2026-04-15,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,153.0,153.0,156.0,152.0,155.0,2.0,2185500,334829800,217,194.2,155,35400,154,31000,2898261693,2898261693,421697076,0,0,0,0,0
2026-04-14,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,153.0,150.0,155.0,150.0,153.0,0.0,339900,51897100,81,191.7,154,61400,153,100,2898261693,2898261693,421697076,61000,0,0,0,0
2026-04-13,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,152.0,151.0,154.0,145.0,153.0,1.0,61700,9321700,82,191.7,153,121100,150,23200,2898261693,2898261693,421697076,13000,0,0,0,0
2026-04-10,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,152.0,0.0,153.0,149.0,152.0,0.0,190500,28723600,74,190.4,152,19600,151,1200,2898261693,2898261693,421697076,1100,0,0,0,0
2026-04-09,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,150.0,150.0,153.0,147.0,152.0,2.0,71900,10721400,54,190.4,152,100,150,2500,2898261693,2898261693,421697076,300,0,0,0,0
2026-04-08,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,147.0,0.0,152.0,147.0,150.0,3.0,178200,26586800,71,187.9,150,11900,148,2000,2898261693,2898261693,421697076,100,0,0,0,0
2026-04-07,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,144.0,148.0,148.0,143.0,147.0,3.0,12100,1745300,17,184.1,145,3000,144,300,2898261693,2898261693,421697076,0,0,0,0,0
2026-04-06,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,148.0,147.0,149.0,131.0,144.0,-4.0,62000,8856400,65,180.4,144,7200,143,4400,2898261693,2898261693,421697076,1500,0,0,0,0
2026-04-02,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,146.0,146.0,153.0,145.0,148.0,2.0,113800,16761600,68,185.4,148,65100,147,200,2898261693,2898261693,421697076,22000,0,0,0,0
2026-04-01,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,147.0,146.0,153.0,145.0,146.0,-1.0,200000,29298100,125,182.9,151,46200,146,8600,2898261693,2898261693,421697076,300,0,0,0,0
2026-03-31,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,145.0,0.0,161.0,142.0,147.0,2.0,575200,87491200,355,184.1,148,69000,146,700,2898261693,2898261693,421117424,2700,0,0,0,0
2026-03-30,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,144.0,150.0,150.0,140.0,145.0,1.0,119400,17048800,55,181.6,148,4400,145,1600,2898261693,2898261693,421117424,200,0,0,0,0
2026-03-27,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,143.0,0.0,149.0,141.0,144.0,1.0,170300,24654300,114,180.4,144,16100,141,3000,2898261693,2898261693,421117424,22900,22900,0,0,0
2026-03-26,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,143.0,145.0,145.0,141.0,143.0,0.0,52900,7522000,38,179.1,144,2600,143,500,2898261693,2898261693,421117424,0,0,0,0,0
2026-03-25,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,143.0,144.0,146.0,135.0,143.0,0.0,144600,20260900,74,179.1,143,7300,142,200,2898261693,2898261693,421117424,0,45900,0,0,0
2026-03-17,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,141.0,141.0,149.0,133.0,143.0,2.0,177400,24908200,125,179.1,143,100,140,100,2898261693,2898261693,421117424,900,0,0,0,0
2026-03-16,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,133.0,140.0,150.0,133.0,141.0,8.0,1688400,235445200,428,176.6,143,193800,139,600,2898261693,2898261693,421117424,24900,82500,0,0,0
2026-03-13,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,138.0,141.0,141.0,133.0,133.0,-5.0,47100,6342700,38,166.6,134,22500,133,1000,2898261693,2898261693,421117424,0,0,0,0,0
2026-03-12,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,137.0,0.0,141.0,125.0,138.0,1.0,352300,44884800,78,172.9,138,9600,135,1000,2898261693,2898261693,421117424,0,0,0,0,0
2026-03-11,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,132.0,133.0,148.0,133.0,137.0,5.0,427100,58990000,280,171.6,137,22600,134,1800,2898261693,2898261693,421117424,0,23500,0,0,0
2026-03-10,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,134.0,134.0,140.0,126.0,132.0,-2.0,377900,50027200,170,165.3,132,11500,131,1300,2898261693,2898261693,421117424,33100,0,0,0,0
2026-03-09,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,144.0,144.0,144.0,125.0,134.0,-10.0,1172000,154136400,445,167.9,133,9400,132,500,2898261693,2898261693,421117424,0,26000,0,0,0
2026-03-06,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,158.0,159.0,159.0,143.0,144.0,-14.0,683700,100910800,261,180.4,146,20800,144,4400,2898261693,2898261693,421117424,0,0,0,0,0
2026-03-05,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,156.0,156.0,162.0,155.0,158.0,2.0,512000,80215300,138,197.9,158,10600,157,100,2898261693,2898261693,421117424,0,0,0,0,0
2026-03-04,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,164.0,0.0,165.0,156.0,156.0,-8.0,832400,131529500,202,195.4,156,721600,155,120500,2898261693,2898261693,421117424,77800,0,0,0,0
2026-03-03,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,162.0,160.0,167.0,159.0,164.0,2.0,354800,57071600,134,205.4,164,23000,161,35300,2898261693,2898261693,421117424,0,0,0,0,0
2026-03-02,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,169.0,168.0,169.0,160.0,162.0,-7.0,1323100,215271700,334,202.9,168,8500,162,4600,2898261693,2898261693,421117424,19600,0,0,0,0
2026-02-27,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,174.0,175.0,175.0,168.0,169.0,-5.0,966300,163683700,237,211.7,170,14800,169,16700,2898261693,2898261693,421117424,0,0,0,0,0
2026-02-26,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,176.0,178.0,181.0,172.0,174.0,-2.0,876300,152423800,292,218.0,174,76700,173,8900,2898261693,2898261693,421117424,0,248300,0,0,0
2026-02-25,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,181.0,186.0,186.0,175.0,176.0,-5.0,2012900,357957700,432,220.5,179,32000,176,120700,2898261693,2898261693,421117424,0,370500,0,0,0
2026-02-24,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,200.0,204.0,208.0,181.0,181.0,-19.0,23666000,4555305300,3099,226.7,182,500,181,17900,2898261693,2898261693,421117424,1207600,587800,0,0,0
2026-02-23,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,173.0,173.0,204.0,171.0,200.0,27.0,34584900,6748236500,3390,250.5,202,264200,200,82397600,2898261693,2898261693,421117424,983200,787500,0,0,0
2026-02-20,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,175.0,0.0,177.0,172.0,173.0,-2.0,57200,9914000,72,216.7,173,100,172,623600,2898261693,2898261693,421117424,100,0,0,0,0
2026-02-19,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,176.0,0.0,177.0,174.0,175.0,-1.0,85500,14993700,59,219.2,175,9800,174,12300,2898261693,2898261693,421117424,0,0,0,0,0
2026-02-18,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,174.0,174.0,176.0,174.0,176.0,2.0,55100,9627100,47,220.5,176,23800,175,4700,2898261693,2898261693,421117424,0,0,0,0,0
2026-02-13,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,175.0,174.0,176.0,174.0,174.0,-1.0,35200,6149900,43,218.0,175,20000,174,7700,2898261693,2898261693,421117424,0,0,0,0,0
2026-02-12,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,176.0,176.0,176.0,172.0,175.0,-1.0,260700,45109400,65,219.2,175,14400,173,500,2898261693,2898261693,421117424,0,0,0,0,0
2026-02-11,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,173.0,0.0,177.0,173.0,176.0,3.0,132000,23135000,80,220.5,176,72500,175,31800,2898261693,2898261693,421117424,0,0,0,0,0
2026-02-10,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,173.0,171.0,174.0,171.0,173.0,0.0,41300,7132600,53,216.7,174,14900,173,10700,2898261693,2898261693,421117424,0,0,0,0,0
2026-02-09,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,173.0,171.0,173.0,169.0,173.0,0.0,37400,6405400,52,216.7,173,18900,171,1200,2898261693,2898261693,421117424,0,0,0,0,0
2026-02-06,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,174.0,172.0,173.0,166.0,173.0,-1.0,117100,19857800,99,216.7,173,26400,170,4100,2898261693,2898261693,421117424,0,0,0,0,0
2026-02-05,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,170.0,0.0,174.0,171.0,174.0,4.0,63800,11044700,50,218.0,175,10700,174,3600,2898261693,2898261693,421117424,0,0,0,0,0
2026-02-04,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,173.0,0.0,174.0,170.0,170.0,-3.0,127200,21865800,105,212.9,174,38500,171,100,2898261693,2898261693,421117424,0,0,0,0,0
2026-02-03,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,169.0,168.0,173.0,166.0,173.0,4.0,136900,23120100,106,216.7,173,2400,169,26600,2898261693,2898261693,421117424,0,0,3801,646170,1
2026-02-02,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,169.0,170.0,174.0,160.0,169.0,0.0,650000,108164100,171,211.7,169,109500,162,9300,2898261693,2898261693,421117424,87800,0,0,0,0
2026-01-30,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,166.0,0.0,174.0,158.0,169.0,3.0,345400,58334000,111,211.7,173,7900,169,1800,2898261693,2898261693,421117424,0,0,0,0,0
2026-01-29,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,169.0,0.0,169.0,144.0,166.0,-3.0,1877300,293206300,279,207.9,167,58800,163,2500,2898261693,2898261693,421117424,0,98600,0,0,0
2026-01-28,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,184.0,0.0,184.0,158.0,169.0,-15.0,3594000,617547200,625,211.7,172,25600,169,26900,2898261693,2898261693,421117424,174900,61900,0,0,0
2026-01-27,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,185.0,187.0,187.0,184.0,184.0,-1.0,237100,43690000,87,230.5,184,239200,183,99200,2898261693,2898261693,421117424,6400,0,0,0,0
2026-01-26,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,184.0,184.0,188.0,184.0,185.0,1.0,459600,85321300,94,231.7,185,3200,184,125100,2898261693,2898261693,421117424,32600,0,0,0,0
2026-01-23,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,188.0,0.0,189.0,181.0,184.0,-4.0,870700,159374100,191,230.5,185,58100,184,13300,2898261693,2898261693,421117424,43500,0,0,0,0
2026-01-22,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,187.0,185.0,190.0,185.0,188.0,1.0,421500,78753200,140,235.5,188,90900,186,59600,2898261693,2898261693,421117424,86300,0,0,0,0
2026-01-21,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,190.0,190.0,190.0,187.0,187.0,-3.0,896400,168216900,157,234.2,187,1700,186,102700,2898261693,2898261693,421117424,0,0,0,0,0
2026-01-20,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,190.0,190.0,190.0,187.0,190.0,0.0,629200,118791800,149,238.0,190,73800,189,46700,2898261693,2898261693,421117424,0,0,0,0,0
2026-01-19,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,189.0,192.0,192.0,187.0,190.0,1.0,202500,38229800,130,238.0,190,67300,189,1600,2898261693,2898261693,421117424,11600,0,0,0,0
2026-01-15,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,190.0,191.0,191.0,185.0,189.0,-1.0,1152400,216768900,183,236.7,189,26800,188,30600,2898261693,2898261693,421117424,0,0,0,0,0
2026-01-14,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,192.0,192.0,194.0,189.0,190.0,-2.0,793100,150856300,140,238.0,191,142900,190,41500,2898261693,2898261693,421117424,0,0,0,0,0
2026-01-13,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,192.0,192.0,195.0,189.0,192.0,0.0,673100,128543600,199,240.5,193,40200,192,3300,2898261693,2898261693,421117424,0,0,0,0,0
2026-01-12,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,195.0,195.0,196.0,191.0,192.0,-3.0,1544800,297572500,295,240.5,193,84400,192,200,2898261693,2898261693,421117424,271200,145700,0,0,0
2026-01-09,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,185.0,186.0,197.0,185.0,195.0,10.0,3190000,612550100,771,244.3,195,192700,194,10400,2898261693,2898261693,421117424,98100,397200,36,6732,1
2026-01-08,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,187.0,187.0,189.0,185.0,185.0,-2.0,856500,159473300,136,231.7,187,34400,185,30000,2898261693,2898261693,421117424,0,97300,10,10,1
2026-01-07,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,185.0,185.0,189.0,183.0,187.0,2.0,1184400,220494700,238,234.2,188,118700,187,19000,2898261693,2898261693,421117424,0,112200,0,0,0
2026-01-06,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,184.0,185.0,185.0,182.0,185.0,1.0,462200,85063600,94,231.7,185,139000,184,5400,2898261693,2898261693,421117424,0,316500,0,0,0
2026-01-05,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,184.0,185.0,185.0,182.0,184.0,0.0,298300,54643400,136,230.5,184,57500,183,23500,2898261693,2898261693,421117424,0,0,0,0,0
2026-01-02,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,184.0,186.0,186.0,181.0,184.0,0.0,554100,101000700,124,230.5,184,70100,183,2700,2898261693,2898261693,421117424,0,45600,0,0,0
2025-12-30,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,185.0,186.0,187.0,182.0,184.0,-1.0,579000,106260300,127,230.5,185,211700,184,6500,2898261693,2898261693,421407250,0,48200,0,0,0
2025-12-29,UFOE,Damai Sejahtera Abadi Tbk.,--UO2130000000E742------------,185.0,184.0,186.0,183.0,185.0,0.0,272500,50242900,124,231.7,185,4400,184,100,2898261693,2898261693,421407250,0,0,0,0,0
