Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-01,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,1820.0,1845.0,1970.0,1845.0,1910.0,90.0,46209400,89206808000,13611,48899.1,1915,40400,1910,59900,38150000000,38150000000,5363890000,27570200,15665700,12,21900,1
2026-03-31,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,1835.0,1860.0,1865.0,1815.0,1820.0,-15.0,21371200,39060303000,7336,46595.0,1830,16300,1820,10100,38150000000,38150000000,5360075000,16397800,14004200,73,134215,2
2026-03-27,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,1940.0,1940.0,1940.0,1855.0,1860.0,-80.0,20510900,39128842500,7241,47619.0,1865,100,1860,736900,38150000000,38150000000,5360075000,13932400,14397700,37,71225,1
2026-03-26,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,1935.0,1935.0,1960.0,1920.0,1940.0,5.0,20185700,39151030500,6919,49667.2,1945,334100,1940,25300,38150000000,38150000000,5360075000,14401900,13352700,0,0,0
2026-03-25,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2000.0,1930.0,1950.0,1905.0,1935.0,-65.0,34598200,66678884000,10836,49539.2,1935,309600,1930,41900,38150000000,38150000000,5360075000,31181500,17156600,20309364,39138352790,9
2026-03-17,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,1855.0,1865.0,2080.0,1865.0,2000.0,145.0,50594200,101773442500,11978,51203.3,2010,28500,2000,34700,38150000000,38150000000,5360075000,22923500,39903500,7162200,14330400000,10
2026-03-16,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,1870.0,1870.0,1880.0,1820.0,1855.0,-15.0,10659400,19750410000,5913,47491.0,1860,9500,1855,4400,38150000000,38150000000,5360075000,6903200,7281100,125,235000,2
2026-03-13,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,1890.0,1890.0,1910.0,1870.0,1870.0,-20.0,12154900,22908591000,4403,47875.1,1880,19200,1870,10700,38150000000,38150000000,5360075000,5626600,4726900,2317700,4380453000,2
2026-03-12,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2000.0,2010.0,2020.0,1890.0,1890.0,-110.0,27876700,53995723000,8918,48387.1,1900,13600,1890,28900,38150000000,38150000000,5360075000,21528200,6581000,291900,594892200,1
2026-03-11,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,1945.0,1965.0,2050.0,1945.0,2000.0,55.0,19402800,38968643000,6193,51203.3,2010,27000,2000,301400,38150000000,38150000000,5360075000,5513000,9741100,0,0,0
2026-03-10,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,1880.0,1910.0,1945.0,1890.0,1945.0,65.0,11695700,22427332500,3734,49795.2,1945,82200,1940,10700,38150000000,38150000000,5360075000,2075100,2048900,137,260325,2
2026-03-09,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,1975.0,1955.0,1955.0,1845.0,1880.0,-95.0,20756600,39119251500,7600,48131.1,1880,177000,1875,105800,38150000000,38150000000,5360075000,12915400,8768900,12100,22658500,2
2026-03-06,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,1990.0,1990.0,2040.0,1955.0,1975.0,-15.0,11788500,23314946500,5437,50563.2,1985,1900,1975,16400,38150000000,38150000000,5360075000,4003600,5474500,97600,207357000,7
2026-03-05,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,1935.0,1975.0,2040.0,1975.0,1990.0,55.0,14954200,30008231000,5732,50947.3,2000,2800,1990,94300,38150000000,38150000000,5360075000,2828200,5903600,416,823590,5
2026-03-04,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2080.0,2090.0,2090.0,1920.0,1935.0,-145.0,31919800,63174963500,9843,49539.2,1940,189000,1935,73300,38150000000,38150000000,5360075000,11759700,12378200,98,189630,2
2026-03-03,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2250.0,2260.0,2280.0,2080.0,2080.0,-170.0,29682000,63567130000,11311,53251.4,2090,28600,2080,562800,38150000000,38150000000,5360075000,6025400,4771600,95,197600,1
2026-03-02,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2380.0,2310.0,2320.0,2240.0,2250.0,-130.0,23912200,54457070000,7773,57603.7,2260,95300,2250,201400,38150000000,38150000000,5360075000,8181300,7620400,16,36000,1
2026-02-27,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2310.0,2320.0,2410.0,2310.0,2380.0,70.0,68472600,162068075000,8650,60931.9,2380,539200,2370,5100,38150000000,38150000000,5360075000,40361000,50824600,949982,2334657160,4
2026-02-26,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2330.0,2350.0,2360.0,2300.0,2310.0,-20.0,15417900,35754816000,8045,59139.8,2320,426900,2310,69200,38150000000,38150000000,5360075000,7811000,5440400,90465,211957350,2
2026-02-25,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2350.0,2350.0,2370.0,2320.0,2330.0,-20.0,15559900,36375578000,5779,59651.8,2340,37400,2330,96800,38150000000,38150000000,5360075000,6031500,6056200,131,305230,2
2026-02-24,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2370.0,2370.0,2380.0,2320.0,2350.0,-20.0,24678900,57896716000,8554,60163.9,2350,228500,2340,22300,38150000000,38150000000,5360075000,9493400,12332600,10015,23733900,3
2026-02-23,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2240.0,2260.0,2370.0,2250.0,2370.0,130.0,34467800,80676125000,11916,60675.9,2370,79500,2360,228000,38150000000,38150000000,5360075000,3818600,21362200,116,271640,2
2026-02-20,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2220.0,2220.0,2250.0,2210.0,2240.0,20.0,7587400,16893981000,3803,57347.7,2240,16700,2230,28300,38150000000,38150000000,5360075000,1322600,4187700,0,0,0
2026-02-19,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2260.0,2270.0,2310.0,2220.0,2220.0,-40.0,17971200,40558587000,8225,56835.6,2230,8100,2220,448800,38150000000,38150000000,5360075000,3312900,5647800,1800,3510000,1
2026-02-18,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2300.0,2340.0,2340.0,2260.0,2260.0,-40.0,16593000,38082866000,9031,57859.7,2270,300000,2260,126800,38150000000,38150000000,5360075000,2612800,1708200,123399,351574233,6
2026-02-13,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2300.0,2320.0,2370.0,2300.0,2300.0,0.0,19683200,45893715000,7026,58883.8,2310,92800,2300,977100,38150000000,38150000000,5360075000,4948600,2094600,95,222300,1
2026-02-12,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2260.0,2290.0,2330.0,2270.0,2300.0,40.0,40499400,93345679000,11692,58883.8,2310,176400,2300,69400,38150000000,38150000000,5360075000,16772400,8303000,365204,836317640,3
2026-02-11,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2300.0,2300.0,2320.0,2250.0,2260.0,-40.0,18622600,42435688000,7163,57859.7,2260,30600,2250,864100,38150000000,38150000000,5360075000,6436100,5570200,14,31696,1
2026-02-10,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2300.0,2300.0,2420.0,2280.0,2300.0,0.0,56389900,132164790000,14353,58883.8,2310,10500,2300,261600,38150000000,38150000000,5360075000,25261000,34446500,1450100,3435983500,2
2026-02-09,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2300.0,2300.0,2300.0,2250.0,2300.0,0.0,23163100,52601766000,8684,58883.8,2300,1734000,2290,17000,38150000000,38150000000,5360075000,10265400,5566100,0,0,0
2026-02-06,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2210.0,2190.0,2300.0,2140.0,2300.0,90.0,71485600,158794630000,13522,58883.8,2300,793000,2290,700,38150000000,38150000000,5360075000,32558700,18138100,95107,260537930,3
2026-02-05,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2050.0,2060.0,2250.0,2040.0,2210.0,160.0,71314600,155953835000,19943,56579.6,2210,340700,2200,392600,38150000000,38150000000,5360075000,31188800,32356900,20797945,45833717770,6
2026-02-04,UNVR,Unilever Indonesia Tbk.,--MO1SN3QDH000D421------------,2010.0,2010.0,2090.0,1980.0,2050.0,40.0,49767000,100350641000,12388,52483.4,2050,26700,2040,35800,38150000000,38150000000,5360075000,34807100,17647600,3035098,6121798500,5
2026-02-03,UNVR,Unilever Indonesia Tbk.,--MO1SN3Q4H000D421------------,2030.0,2010.0,2110.0,1995.0,2010.0,-20.0,46081200,93408828000,16071,51459.3,2020,66200,2010,11200,38150000000,38150000000,5360075000,24116700,15795700,109,219570,2
2026-02-02,UNVR,Unilever Indonesia Tbk.,--MO1SN3Q4H000D421------------,1925.0,1955.0,2070.0,1920.0,2030.0,105.0,52588100,104087733000,17572,51971.3,2030,137800,2020,29400,38150000000,38150000000,5360075000,28691800,23247800,220234,419788000,6
2026-01-30,UNVR,Unilever Indonesia Tbk.,--MO1SN3Q4H000D421------------,1860.0,1890.0,1960.0,1885.0,1925.0,65.0,33230400,63819981500,10167,49283.2,1930,31300,1925,350900,38150000000,38150000000,5360075000,23397500,15397000,3840169,7104325325,4
2026-01-29,UNVR,Unilever Indonesia Tbk.,--MO1SN3Q4H000D421------------,1980.0,1960.0,1960.0,1690.0,1860.0,-120.0,74521700,137056479500,15929,47619.0,1860,300,1855,349600,38150000000,38150000000,5360075000,53812200,43347500,35125095,66148264200,7
2026-01-28,UNVR,Unilever Indonesia Tbk.,--MO1SN3Q4H000D421------------,2060.0,2000.0,2020.0,1930.0,1980.0,-80.0,39800600,78742574000,12151,50691.2,1980,80500,1970,6300,38150000000,38150000000,5360075000,23423600,15583800,95,188100,1
2026-01-27,UNVR,Unilever Indonesia Tbk.,--MO1SN3Q4H000D421------------,2150.0,2140.0,2180.0,2030.0,2060.0,-90.0,35658400,74650348000,12649,52739.4,2060,206800,2050,373100,38150000000,38150000000,5360075000,14441300,14181800,95,197600,1
2026-01-26,UNVR,Unilever Indonesia Tbk.,--MO1SN3Q4H000D421------------,2250.0,2250.0,2260.0,2130.0,2150.0,-100.0,27241300,59218717000,11422,55043.5,2150,217400,2140,92900,38150000000,38150000000,5360075000,8875100,6707700,120901600,270187051000,2
