Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-04,VIVA,Visi Media Asia Tbk.,--U-4105000000E612---L-------X,52.0,0.0,55.0,52.0,52.0,0.0,36585500,1931148500,798,17.3,53,660900,52,8887600,16464270400,16464270400,8428060018,0,0,0,0,0
2026-04-30,VIVA,Visi Media Asia Tbk.,--U-4105000000E612---L-------X,57.0,0.0,52.0,52.0,52.0,-5.0,103870000,5401240000,1283,17.3,53,106900,52,1540400,16464270400,16464270400,8428060018,0,0,0,0,0
2026-04-29,VIVA,Visi Media Asia Tbk.,--U-4105000000E612---L-------X,59.0,0.0,60.0,57.0,57.0,-2.0,90687500,5419420900,1111,19.0,57,2537700,56,10000,16464270400,16464270400,8428060018,26413800,0,0,0,0
2026-04-28,VIVA,Visi Media Asia Tbk.,--U-4105000000E612---L-------X,57.0,0.0,59.0,57.0,59.0,2.0,48379200,2783626000,1116,19.7,60,37582700,59,9381900,16464270400,16464270400,8428060018,0,0,5250000,330750000,1
2026-04-27,VIVA,Visi Media Asia Tbk.,--U-4105000000E612---L-------X,52.0,0.0,57.0,53.0,57.0,5.0,100278300,5580072700,1377,19.0,0,0,57,102741400,16464270400,16464270400,8428060018,31631200,0,0,0,0
2026-04-24,VIVA,Visi Media Asia Tbk.,--U-4105000000E612---L-------X,57.0,0.0,60.0,52.0,52.0,-5.0,307270200,17614838800,3256,17.3,52,5606600,0,0,16464270400,16464270400,8428060018,8586200,1831200,0,0,0
2026-04-23,VIVA,Visi Media Asia Tbk.,--U-4105000000E612---L-------X,52.0,0.0,57.0,57.0,57.0,5.0,126020100,7183145700,717,19.0,0,0,57,173263800,16464270400,16464270400,8428060018,21838000,0,100000,6600000,1
2026-04-22,VIVA,Visi Media Asia Tbk.,--U-4105000000E612---L-------X,48.0,0.0,52.0,52.0,52.0,4.0,28348400,1474116800,664,17.3,0,0,52,171843900,16464270400,16464270400,8428060018,0,0,0,0,0
2026-04-21,VIVA,Visi Media Asia Tbk.,--U-4105000000E612---L-------X,44.0,0.0,48.0,48.0,48.0,4.0,44127900,2118139200,814,16.0,0,0,48,69600900,16464270400,16464270400,8428060018,0,0,0,0,0
2026-04-20,VIVA,Visi Media Asia Tbk.,--U-4105000000E612---L-------X,40.0,0.0,44.0,42.0,44.0,4.0,72350000,3120303500,1200,14.7,0,0,44,10153100,16464270400,16464270400,8428060018,0,0,0,0,0
2026-04-17,VIVA,Visi Media Asia Tbk.,--U-4105000000E612---L-------X,39.0,0.0,41.0,40.0,40.0,1.0,21275000,857906200,452,13.3,41,11692200,40,2925000,16464270400,16464270400,8428060018,1000,0,0,0,0
2026-04-16,VIVA,Visi Media Asia Tbk.,--U-4105000000E612---L-------X,39.0,0.0,41.0,39.0,39.0,0.0,20052900,804169300,713,13.0,40,1877000,39,357100,16464270400,16464270400,8428060018,0,0,0,0,0
