Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-27,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,28.0,0.0,28.0,28.0,28.0,0.0,13068400,365915200,307,28.0,29,1947600,28,1262900,5235316030,5235316030,1499918043,0,0,0,0,0
2026-03-26,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,26.0,0.0,28.0,26.0,28.0,2.0,12195600,329776400,538,28.0,0,0,28,96300,5235316030,5235316030,1499918043,6000,0,0,0,0
2026-03-25,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,27.0,0.0,27.0,26.0,26.0,-1.0,37815500,994287700,685,26.0,27,1051400,26,1704700,5235316030,5235316030,1499918043,0,5000,0,0,0
2026-03-17,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,27.0,0.0,27.0,25.0,27.0,0.0,66708200,1675981200,662,27.0,27,1709800,26,271900,5235316030,5235316030,1499918043,0,0,0,0,0
2026-03-16,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,29.0,0.0,27.0,27.0,27.0,-2.0,25813700,696969900,457,27.0,27,1921400,0,0,5235316030,5235316030,1499918043,0,0,0,0,0
2026-03-13,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,27.0,0.0,29.0,27.0,29.0,2.0,23301100,648172700,483,29.0,29,369800,28,1527200,5235316030,5235316030,1499918043,0,0,0,0,0
2026-03-12,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,30.0,0.0,27.0,27.0,27.0,-3.0,32233000,870291000,844,27.0,27,5319200,0,0,5235316030,5235316030,1499918043,0,1000,0,0,0
2026-03-11,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,33.0,0.0,30.0,30.0,30.0,-3.0,41679100,1250373000,890,30.0,30,6656300,0,0,5235316030,5235316030,1499918043,0,0,0,0,0
2026-03-10,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,36.0,0.0,33.0,33.0,33.0,-3.0,96427600,3182110800,942,33.0,33,2444600,0,0,5235316030,5235316030,1499918043,0,0,0,0,0
2026-03-09,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,39.0,0.0,36.0,36.0,36.0,-3.0,17627100,634575600,522,36.0,36,2415800,0,0,5235316030,5235316030,1499918043,0,0,0,0,0
2026-03-06,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,39.0,0.0,39.0,38.0,39.0,0.0,6964700,267051900,352,39.0,40,1944900,39,5005200,5235316030,5235316030,1499918043,0,0,0,0,0
2026-03-05,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,36.0,0.0,39.0,35.0,39.0,3.0,20931200,780279500,534,39.0,0,0,39,2247000,5235316030,5235316030,1499918043,0,0,0,0,0
2026-03-04,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,39.0,0.0,37.0,36.0,36.0,-3.0,30828800,1122887000,802,36.0,37,848300,36,598800,5235316030,5235316030,1499918043,0,0,0,0,0
2026-03-03,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,40.0,0.0,40.0,39.0,39.0,-1.0,14382500,566194700,507,39.0,40,487200,39,1343100,5235316030,5235316030,1499918043,0,0,0,0,0
2026-03-02,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,42.0,0.0,41.0,40.0,40.0,-2.0,14872100,604415200,648,40.0,41,2464500,40,277100,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-27,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,39.0,0.0,42.0,39.0,42.0,3.0,21866200,895715900,598,42.0,0,0,42,31274700,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-26,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,40.0,0.0,41.0,39.0,39.0,-1.0,19839800,788999300,564,39.0,39,35900,38,327100,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-25,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,40.0,0.0,41.0,39.0,40.0,0.0,11035800,439606500,549,40.0,40,1410400,39,1784600,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-24,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,41.0,0.0,42.0,40.0,40.0,-1.0,12646600,516678100,654,40.0,41,2342700,40,4100,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-23,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,39.0,0.0,41.0,39.0,41.0,2.0,17357600,692730300,662,41.0,41,86700,40,2334100,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-20,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,40.0,0.0,39.0,37.0,39.0,-1.0,30959800,1176485500,983,39.0,40,704800,39,2433300,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-19,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,43.0,0.0,43.0,40.0,40.0,-3.0,92980300,3864969300,1084,40.0,40,3197900,39,6925000,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-18,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,43.0,0.0,45.0,43.0,43.0,0.0,40679700,1778110000,772,43.0,44,913000,42,836600,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-13,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,45.0,0.0,43.0,42.0,43.0,-2.0,29897700,1275983000,700,43.0,44,1382300,43,2142800,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-12,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,46.0,0.0,45.0,43.0,45.0,-1.0,18585900,817620100,619,45.0,46,506800,45,12800,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-11,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,46.0,0.0,47.0,46.0,46.0,0.0,46506900,2145106100,656,46.0,47,122100,45,384900,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-10,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,44.0,0.0,47.0,46.0,46.0,2.0,73088700,3364459700,517,46.0,46,5847800,45,61300,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-09,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,47.0,0.0,46.0,44.0,44.0,-3.0,89896400,4037607200,719,44.0,45,5006500,44,200300,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-06,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,52.0,0.0,48.0,47.0,47.0,-5.0,15419700,730686600,899,47.0,47,4733400,0,0,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-05,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,50.0,0.0,52.0,50.0,52.0,2.0,90793000,4677048600,1330,52.0,52,1983300,51,12353900,5235316030,5235316030,1499918043,888800,0,0,0,0
2026-02-04,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,46.0,0.0,50.0,46.0,50.0,4.0,80279100,3797204100,1426,50.0,50,1637400,49,20092000,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-03,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,42.0,0.0,46.0,41.0,46.0,4.0,21411200,921510600,922,46.0,46,3876200,45,36525400,5235316030,5235316030,1499918043,0,0,0,0,0
2026-02-02,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,46.0,0.0,43.0,42.0,42.0,-4.0,107297900,4538665000,925,42.0,42,9412200,0,0,5235316030,5235316030,1499918043,0,0,0,0,0
2026-01-30,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,49.0,0.0,47.0,45.0,46.0,-3.0,105941600,4818305000,1644,46.0,46,306700,45,11909400,5235316030,5235316030,1499918043,0,0,0,0,0
2026-01-29,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,54.0,0.0,54.0,49.0,49.0,-5.0,10228700,503601500,478,49.0,49,26542200,0,0,5235316030,5235316030,1499918043,0,0,0,0,0
2026-01-28,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,60.0,0.0,54.0,54.0,54.0,-6.0,22346900,1206732600,663,54.0,54,23896400,0,0,5235316030,5235316030,1499918043,0,0,0,0,0
2026-01-27,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,62.0,0.0,64.0,60.0,60.0,-2.0,48227000,2948060100,887,60.0,61,195000,60,612300,5235316030,5235316030,1499918043,0,0,0,0,0
2026-01-26,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,57.0,0.0,62.0,60.0,62.0,5.0,106172600,6515608500,1201,62.0,62,6876900,61,356600,5235316030,5235316030,1499918043,0,0,0,0,0
2026-01-23,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,62.0,0.0,57.0,56.0,57.0,-5.0,34452300,1935678400,1090,57.0,58,99500,57,19099700,5235316030,5235316030,1499918043,0,0,0,0,0
2026-01-22,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,62.0,0.0,62.0,62.0,62.0,0.0,45573500,2825557000,948,62.0,62,648400,61,366400,5235316030,5235316030,1499918043,0,0,0,0,0
2026-01-21,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,63.0,0.0,65.0,62.0,62.0,-1.0,32663300,2080932100,1130,62.0,62,289800,61,122800,5235316030,5235316030,1499918043,0,0,0,0,0
2026-01-20,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,62.0,0.0,63.0,60.0,63.0,1.0,47382500,2937272500,1847,63.0,64,2398700,63,543900,5235316030,5235316030,1499918043,0,0,78090000,4685400000,3
2026-01-19,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,68.0,0.0,68.0,62.0,62.0,-6.0,102467600,6570197100,2667,62.0,62,4312500,0,0,5235316030,5235316030,1499918043,0,0,0,0,0
2026-01-15,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,75.0,0.0,68.0,68.0,68.0,-7.0,106368700,7233071600,3480,68.0,68,35532700,0,0,5235316030,5235316030,1499918043,0,0,0,0,0
2026-01-14,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,70.0,0.0,75.0,64.0,75.0,5.0,113331900,7666022300,3656,75.0,76,3963600,75,15275100,5235316030,5235316030,1499918043,190400,0,28540000,1997800000,2
2026-01-13,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,64.0,0.0,70.0,70.0,70.0,6.0,74857500,5240025000,1928,70.0,0,0,70,57503600,5235316030,5235316030,1499918043,0,888800,59375000,3800000000,4
2026-01-12,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,59.0,0.0,64.0,64.0,64.0,5.0,58264600,3728934400,1350,64.0,0,0,64,29668100,5235316030,5235316030,1499918043,0,0,0,0,0
