Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,69.0,69.0,69.0,65.0,65.0,-4.0,55462400,3666735000,1866,14.4,65,127400,64,934100,2475720000,2475720000,1272272508,4576200,3431400,0,0,0
2026-03-11,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,69.0,69.0,70.0,67.0,69.0,0.0,20914900,1428541200,1144,15.3,69,2849700,68,310100,2475720000,2475720000,1272272508,84500,0,0,0,0
2026-03-10,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,70.0,70.0,71.0,67.0,69.0,-1.0,77094500,5327449900,1614,15.3,69,3552600,68,2393400,2475720000,2475720000,1272272508,3020600,8316600,0,0,0
2026-03-09,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,70.0,73.0,75.0,60.0,70.0,0.0,151131000,10301389000,5725,15.6,70,2316100,69,1900600,2475720000,2475720000,1272272508,10399200,18833800,0,0,0
2026-03-06,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,70.0,71.0,75.0,69.0,70.0,0.0,70197300,5030148600,3365,15.6,71,2445800,70,16400,2475720000,2475720000,1272272508,3573700,3042300,0,0,0
2026-03-05,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,70.0,71.0,73.0,69.0,70.0,0.0,71300900,5053659200,2551,15.6,71,2920600,70,664900,2475720000,2475720000,1272272508,6829100,862900,0,0,0
2026-03-04,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,78.0,79.0,82.0,69.0,70.0,-8.0,156622400,11682285700,6538,15.6,71,976600,70,1465900,2475720000,2475720000,1272272508,9809100,16882400,0,0,0
2026-03-03,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,82.0,84.0,86.0,76.0,78.0,-4.0,180413200,14510379200,8579,17.3,79,1733200,78,1888200,2475720000,2475720000,1272272508,10821700,8140200,0,0,0
2026-03-02,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,72.0,72.0,84.0,71.0,82.0,10.0,500494500,39531718900,18965,18.2,82,3853000,81,2359200,2475720000,2475720000,1272272508,16106600,16339000,0,0,0
2026-02-27,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,72.0,73.0,74.0,69.0,72.0,0.0,77209700,5526272800,17510,16.0,72,1972100,71,811700,2475720000,2475720000,1272272508,5167000,4984900,0,0,0
2026-02-26,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,76.0,76.0,77.0,70.0,72.0,-4.0,48515200,3547231300,2430,16.0,73,2184700,72,893100,2475720000,2475720000,1272272508,1139700,1262300,0,0,0
2026-02-25,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,76.0,77.0,80.0,73.0,76.0,0.0,116856200,8922994800,4472,16.9,76,191800,75,3634300,2475720000,2475720000,1272272508,4411300,1391200,0,0,0
2026-02-24,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,80.0,80.0,81.0,76.0,76.0,-4.0,71701500,5574516300,2951,16.9,77,1700,76,143800,2475720000,2475720000,1272272508,2845300,1884500,0,0,0
2026-02-23,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,80.0,81.0,85.0,79.0,80.0,0.0,162614500,13261782300,4639,17.8,81,1919000,80,30200,2475720000,2475720000,1272272508,19847100,500000,0,0,0
2026-02-20,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,83.0,83.0,84.0,80.0,80.0,-3.0,38574800,3114402600,1842,17.8,80,80000,79,2961100,2475720000,2475720000,1272272508,1334800,37400,0,0,0
2026-02-19,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,82.0,83.0,86.0,81.0,83.0,1.0,80924100,6721631700,3482,18.4,83,987300,82,86900,2475720000,2475720000,1272272508,2716900,993900,0,0,0
2026-02-18,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,82.0,82.0,83.0,80.0,82.0,0.0,32952400,2684422700,1523,18.2,82,294200,81,213800,2475720000,2475720000,1272272508,563200,1409600,0,0,0
2026-02-13,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,82.0,82.0,82.0,80.0,82.0,0.0,19902400,1611844500,1152,18.2,82,1694900,81,407400,2475720000,2475720000,1272272508,312300,135700,0,0,0
2026-02-12,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,85.0,85.0,86.0,79.0,82.0,-3.0,58105900,4734406000,2727,18.2,82,1150000,81,22300,2475720000,2475720000,1272272508,1231700,2882700,2700,135000,1
2026-02-11,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,83.0,83.0,87.0,83.0,85.0,2.0,25545600,2163199600,1276,18.9,85,2609500,84,2966900,2475720000,2475720000,1272272508,159900,8178600,0,0,0
2026-02-10,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,82.0,82.0,87.0,81.0,83.0,1.0,15656000,1309299600,1060,18.4,84,966900,83,38800,2475720000,2475720000,1272272508,692600,2308400,0,0,0
2026-02-09,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,82.0,83.0,84.0,79.0,82.0,0.0,9314000,761066500,835,18.2,83,233800,82,2000,2475720000,2475720000,1272272508,311500,674000,0,0,0
2026-02-06,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,84.0,84.0,84.0,80.0,82.0,-2.0,14157300,1151388000,1062,18.2,83,531800,82,781600,2475720000,2475720000,1272272508,298300,1064200,0,0,0
2026-02-05,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,83.0,84.0,87.0,83.0,84.0,1.0,13806900,1174003100,1119,18.7,85,878300,84,234600,2475720000,2475720000,1272272508,244000,734800,0,0,0
2026-02-04,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,83.0,85.0,91.0,82.0,83.0,0.0,47016700,4030354200,2771,18.4,84,400500,83,2200500,2475720000,2475720000,1272272508,5821600,5574400,0,0,0
2026-02-03,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,75.0,76.0,84.0,75.0,83.0,8.0,26539800,2119553300,2136,18.4,83,403300,82,66500,2475720000,2475720000,1272272508,1228600,8341100,0,0,0
2026-02-02,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,86.0,89.0,90.0,74.0,75.0,-11.0,46968100,3718182800,2735,16.7,76,1076800,75,1337500,2475720000,2475720000,1272272508,1821400,6081300,0,0,0
2026-01-30,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,81.0,81.0,92.0,81.0,86.0,5.0,58133900,5085287700,3411,19.1,87,605400,86,1560300,2475720000,2475720000,1272272508,9158300,9207300,0,0,0
2026-01-29,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,87.0,87.0,89.0,74.0,81.0,-6.0,92017100,7135049800,4030,18.0,81,553100,80,584300,2475720000,2475720000,1272272508,13002700,15651600,0,0,0
2026-01-28,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,102.0,97.0,112.0,87.0,87.0,-15.0,354545800,34525413900,15986,19.3,87,178400,0,0,2475720000,2475720000,1272272508,37390900,27584500,0,0,0
2026-01-27,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,95.0,97.0,102.0,94.0,102.0,7.0,177366500,17602167200,8283,22.7,103,3079700,102,11000,2475720000,2475720000,1272272508,14959000,23317300,2700,135000,1
2026-01-26,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,93.0,95.0,97.0,93.0,95.0,2.0,27542400,2610712000,1683,21.1,96,2152100,95,308700,2475720000,2475720000,1272272508,666000,5685400,0,0,0
2026-01-23,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,96.0,96.0,98.0,93.0,93.0,-3.0,33578000,3154044000,1787,20.7,94,2600,93,2773600,2475720000,2475720000,1272272508,4346000,200100,0,0,0
2026-01-22,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,97.0,98.0,101.0,95.0,96.0,-1.0,52266400,5113531200,2834,21.3,97,564000,96,19000,2475720000,2475720000,1272272508,3207600,2848500,0,0,0
2026-01-21,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,99.0,98.0,99.0,95.0,97.0,-2.0,49626800,4780329700,2804,21.6,97,341200,96,18200,2475720000,2475720000,1272272508,4914200,1912000,0,0,0
2026-01-20,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,92.0,93.0,103.0,92.0,99.0,7.0,248566200,24570721200,9836,22.0,99,2881600,98,834800,2475720000,2475720000,1272272508,5684600,10358300,0,0,0
2026-01-19,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,94.0,94.0,96.0,90.0,92.0,-2.0,58561300,5433341100,4500,20.4,93,165500,92,2455200,2475720000,2475720000,1272272508,4989800,3177800,0,0,0
2026-01-15,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,96.0,96.0,96.0,92.0,94.0,-2.0,36334700,3414912000,2429,20.9,94,122600,93,2423600,2475720000,2475720000,1272272508,712900,1338600,0,0,0
2026-01-14,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,94.0,96.0,98.0,94.0,96.0,2.0,52902900,5055109200,3417,21.3,96,1763800,95,65800,2475720000,2475720000,1272272508,45200,3265600,0,0,0
2026-01-13,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,100.0,102.0,111.0,94.0,94.0,-6.0,417662000,42974806800,17137,20.9,95,107800,94,2306500,2475720000,2475720000,1272272508,43037500,25861100,0,0,0
2026-01-12,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,92.0,94.0,102.0,88.0,100.0,8.0,214019800,20544342000,7519,22.2,100,889800,99,1194800,2475720000,2475720000,1272272508,14716200,25640600,0,0,0
2026-01-09,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,91.0,92.0,97.0,91.0,92.0,1.0,85118200,7944021600,4200,20.4,93,1492700,92,1693900,2475720000,2475720000,1272272508,2366600,2761000,0,0,0
2026-01-08,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,92.0,92.0,96.0,91.0,91.0,-1.0,59932700,5533632200,3086,20.2,92,412200,91,220600,2475720000,2475720000,1272272508,4254400,7893200,0,0,0
2026-01-07,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,97.0,97.0,98.0,91.0,92.0,-5.0,58496100,5472690000,3385,20.4,92,1751200,91,2578300,2475720000,2475720000,1272272508,254500,6874400,0,0,0
2026-01-06,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,100.0,101.0,101.0,93.0,97.0,-3.0,82327800,7931876000,5611,21.6,97,130100,96,502600,2475720000,2475720000,1272272508,9668000,4289000,10000,800000,1
2026-01-05,WOWS,Ginting Jaya Energi Tbk.,--UO2130000000A132------------,93.0,98.0,108.0,96.0,100.0,7.0,388131200,39260168700,21394,22.2,101,2704800,100,3399100,2475720000,2475720000,1272272508,30772600,30879500,0,0,0
