Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-28,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-27,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-24,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-23,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-22,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-21,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-20,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-17,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-16,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-15,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-14,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-13,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-10,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-09,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-08,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-07,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-06,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-02,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-04-01,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-31,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-30,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-27,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-26,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-25,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-17,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-16,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-13,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-12,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-11,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-10,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-09,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-06,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-05,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-04,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-03,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-03-02,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-27,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-26,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-25,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-24,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-23,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-20,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-19,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-18,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-13,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-12,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-11,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-10,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-09,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-06,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-05,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-04,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-03,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-02-02,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-01-30,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-01-29,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-01-28,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-01-27,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-01-26,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
2026-01-23,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211-----------X,202.0,0.0,0.0,0.0,202.0,0.0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,6253957803,0,0,0,0,0
