Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-05-18,WTON,Wijaya Karya Beton Tbk.,--MO1130050000B121------------,87.0,87.0,87.0,84.0,86.0,-1.0,6566700,557856400,406,14.6,86,1279900,85,231200,8715466600,8715466600,3380729494,34100,1332600,0,0,0
2026-05-13,WTON,Wijaya Karya Beton Tbk.,--MO1130050000B121------------,89.0,89.0,89.0,86.0,87.0,-2.0,5456600,475851600,303,14.7,88,5200,87,358500,8715466600,8715466600,3380729494,36200,157400,10000,850000,1
2026-05-12,WTON,Wijaya Karya Beton Tbk.,--MO1130050000B121------------,88.0,88.0,92.0,86.0,89.0,1.0,56505300,5015525600,1128,15.1,89,478800,88,100900,8715466600,8715466600,3380729494,3733800,528700,0,0,0
2026-05-11,WTON,Wijaya Karya Beton Tbk.,--MO1130050000B121------------,88.0,89.0,89.0,87.0,88.0,0.0,3436700,302012100,299,14.9,88,926700,87,1050900,8715466600,8715466600,3380729494,379800,13800,0,0,0
2026-05-08,WTON,Wijaya Karya Beton Tbk.,--MO1130050000B121------------,90.0,90.0,90.0,88.0,88.0,-2.0,4591800,407273500,266,14.9,89,167900,88,979900,8715466600,8715466600,3380729494,13600,177600,0,0,0
2026-05-07,WTON,Wijaya Karya Beton Tbk.,--MO1130050000B121------------,89.0,89.0,90.0,88.0,90.0,1.0,4519700,402126800,431,15.3,90,1848900,89,2627600,8715466600,8715466600,3380729494,12700,331500,0,0,0
2026-05-06,WTON,Wijaya Karya Beton Tbk.,--MO1130050000B121------------,90.0,89.0,91.0,89.0,89.0,-1.0,4277400,384235400,313,15.1,90,368500,89,2125000,8715466600,8715466600,3380729494,16300,25900,0,0,0
2026-05-05,WTON,Wijaya Karya Beton Tbk.,--MO1130050000B121------------,89.0,89.0,95.0,89.0,90.0,1.0,38244800,3490419000,1274,15.3,90,31600,89,2087500,8715466600,8715466600,3380729494,1012700,497000,0,0,0
2026-05-04,WTON,Wijaya Karya Beton Tbk.,--MO1130050000B121------------,90.0,90.0,99.0,89.0,89.0,-1.0,143771400,13352608500,3476,15.1,90,611500,89,2139100,8715466600,8715466600,3380729494,5590000,6631200,0,0,0
2026-04-30,WTON,Wijaya Karya Beton Tbk.,--MO1130050000B121------------,90.0,92.0,96.0,90.0,90.0,0.0,28020900,2598539700,1565,15.3,91,101300,90,135700,8715466600,8715466600,3380729494,2427100,202300,0,0,0
2026-04-29,WTON,Wijaya Karya Beton Tbk.,--MO1130050000B121------------,89.0,90.0,91.0,88.0,90.0,1.0,8173800,729447400,346,15.3,91,789800,90,34400,8715466600,8715466600,3380729494,48400,1177500,0,0,0
