Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-06,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711---L--------,93.0,84.0,96.0,84.0,91.0,-2.0,82734100,7523966800,5028,59.2,91,399800,90,1979800,1912774405,1912774405,1197396778,6281200,6200300,0,0,0
2026-04-02,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711---L--------,97.0,97.0,97.0,92.0,93.0,-4.0,38874600,3653811100,3080,60.5,94,1878300,93,526900,1912774405,1912774405,1197396778,9759900,497500,0,0,0
2026-04-01,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711------------,93.0,96.0,98.0,94.0,97.0,4.0,86799500,8360929400,8786,63.1,97,1929000,96,905600,1912774405,1912774405,1197396778,8638200,16687100,0,0,0
2026-03-31,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711------------,95.0,95.0,97.0,92.0,93.0,-2.0,32036000,2993794800,2864,60.5,93,648700,92,333400,1912774405,1912774405,1197396778,4006800,1224200,0,0,0
2026-03-30,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711------------,96.0,96.0,97.0,91.0,95.0,-1.0,41506200,3888355000,3388,61.8,95,945600,94,379300,1912774405,1912774405,1197396778,2525900,5509000,0,0,0
2026-03-27,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711------------,97.0,98.0,102.0,95.0,96.0,-1.0,55339500,5404099300,4288,62.4,96,341100,95,1651700,1912774405,1912774405,1197396778,11223900,4321300,0,0,0
2026-03-26,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711------------,94.0,100.0,108.0,94.0,97.0,3.0,319649000,32630188800,16993,63.1,97,913200,96,1796300,1912774405,1912774405,1197396778,52373000,38438600,0,0,0
2026-03-25,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711------------,89.0,89.0,95.0,89.0,94.0,5.0,85747200,7989006600,5269,61.1,95,2272700,94,580500,1912774405,1912774405,1197396778,7200700,26081900,0,0,0
2026-03-17,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711------------,90.0,87.0,98.0,87.0,89.0,-1.0,112875900,10403903600,8137,57.9,90,1882500,89,1785400,1912774405,1912774405,1197396778,36027800,10534600,0,0,0
2026-03-16,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711------------,94.0,90.0,95.0,86.0,90.0,-4.0,72396500,6558412800,4824,58.5,91,261000,90,246700,1912774405,1912774405,1197396778,10879500,23082200,0,0,0
2026-03-13,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711------------,98.0,98.0,107.0,92.0,94.0,-4.0,208439200,20626183000,12565,61.1,95,1464100,94,10900,1912774405,1912774405,1197396778,39180200,45428400,0,0,0
2026-03-12,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711------------,113.0,113.0,114.0,97.0,98.0,-15.0,242953600,25151857300,16667,63.7,99,677200,98,867200,1912774405,1912774405,1197396778,27086100,24317600,0,0,0
2026-03-11,YELO,Yelooo Integra Datanet Tbk.,--UO2130000000E711------------,105.0,106.0,124.0,106.0,113.0,8.0,1139362900,132958570900,53315,73.5,114,2823600,113,1938800,1912774405,1912774405,1197396778,146634100,138815900,0,0,0
