Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-04-29,YULE,Yulie Sekuritas Indonesia Tbk.,XDUO2105000000G312------------,3300.0,0.0,3390.0,3220.0,3340.0,40.0,78000,257325000,15,1584.6,3380,100,3300,100,1785000000,1785000000,1334823000,1000,900,2547100,7641300000,38
2026-04-28,YULE,Yulie Sekuritas Indonesia Tbk.,XDUO2105000000G312------------,3400.0,0.0,3300.0,3300.0,3300.0,-100.0,200,660000,2,1565.6,3340,900,3300,900,1785000000,1785000000,1334823000,0,0,1208500,3812316000,14
2026-04-27,YULE,Yulie Sekuritas Indonesia Tbk.,XDUO2105000000G312------------,3400.0,0.0,3400.0,3390.0,3400.0,0.0,25600,87039000,4,1613.0,3400,300,3280,100,1785000000,1785000000,1334823000,100,0,138500,415500000,13
2026-04-24,YULE,Yulie Sekuritas Indonesia Tbk.,XDUO2105000000G312------------,3400.0,0.0,3400.0,3400.0,3400.0,0.0,100,340000,1,1613.0,3370,200,3300,500,1785000000,1785000000,1334823000,100,0,160100,480300000,11
2026-04-23,YULE,Yulie Sekuritas Indonesia Tbk.,XDUO2105000000G312------------,3350.0,0.0,3410.0,3300.0,3400.0,50.0,33400,111936000,5,1613.0,3420,100,3320,100,1785000000,1785000000,1334823000,0,800,504200,1512600000,16
2026-04-22,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3360.0,0.0,3460.0,3350.0,3350.0,-10.0,800,2713000,6,1589.3,3420,100,3300,500,1785000000,1785000000,1334823000,0,0,675300,2025900000,23
2026-04-21,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3370.0,3360.0,3360.0,3360.0,3360.0,-10.0,400,1344000,4,1594.0,3370,1200,3300,500,1785000000,1785000000,1334823000,100,0,151900,455700000,12
2026-04-20,YULE,Yulie Sekuritas Indonesia Tbk.,CDUO2105000000G312------------,3400.0,3500.0,3500.0,3280.0,3370.0,-30.0,166600,566360000,15,1598.8,3370,100,3310,200,1785000000,1785000000,1334823000,100,900,118200,354600000,11
2026-04-17,YULE,Yulie Sekuritas Indonesia Tbk.,CDUO2105000000G312------------,3400.0,0.0,3420.0,3300.0,3400.0,0.0,4200,14237000,7,1613.0,3390,500,3300,100,1785000000,1785000000,1334823000,200,100,145600,436800000,12
2026-04-16,YULE,Yulie Sekuritas Indonesia Tbk.,CDUO2105000000G312------------,3370.0,0.0,3400.0,3370.0,3400.0,30.0,500,1697000,2,1613.0,3370,1200,3320,100,1785000000,1785000000,1334823000,400,0,479700,1439100000,18
2026-04-15,YULE,Yulie Sekuritas Indonesia Tbk.,CDUO2105000000G312------------,3370.0,0.0,3370.0,3260.0,3370.0,0.0,1500,4949000,8,1598.8,3370,1300,3300,400,1785000000,1785000000,1334823000,0,0,551700,1655100000,17
2026-04-14,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3370.0,0.0,3370.0,3280.0,3370.0,0.0,700,2346000,7,1598.8,3370,1700,3270,500,1785000000,1785000000,1334823000,100,0,3134100,9402300000,15
2026-04-13,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3330.0,0.0,3380.0,3330.0,3370.0,40.0,25700,86860000,3,1598.8,3370,100,3310,100,1785000000,1785000000,1334823000,100,0,295000,885000000,10
2026-04-10,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3300.0,0.0,3330.0,3060.0,3330.0,30.0,2000,6545000,7,1579.8,3330,100,3160,100,1785000000,1785000000,1334823000,0,1200,114200,342600000,10
2026-04-09,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3400.0,0.0,3390.0,3260.0,3300.0,-100.0,500,1663000,4,1565.6,3370,100,3300,400,1785000000,1785000000,1334823000,0,0,2019200,6057600000,16
2026-04-08,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3270.0,0.0,3670.0,3210.0,3400.0,130.0,16700,56699000,81,1613.0,3400,300,3350,100,1785000000,1785000000,1334823000,3900,2800,233800,701400000,20
2026-04-07,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3400.0,0.0,3340.0,3230.0,3270.0,-130.0,1300,4242000,5,1551.4,3370,100,3270,200,1785000000,1785000000,1334823000,0,0,693100,2079300000,11
2026-04-06,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3380.0,0.0,3400.0,3060.0,3400.0,20.0,27400,92372000,13,1613.0,3390,100,3230,100,1785000000,1785000000,1334823000,0,900,156300,468900000,12
2026-04-02,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3410.0,0.0,3380.0,3380.0,3380.0,-30.0,100,338000,1,1603.5,3840,1700,3400,100,1785000000,1785000000,1334823000,0,0,2411800,7235400000,16
2026-04-01,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3400.0,0.0,3410.0,3400.0,3410.0,10.0,52300,177825000,9,1617.8,3700,300,3400,1800,1785000000,1785000000,1334823000,400,2500,1221700,3665100000,60
2026-03-31,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3400.0,0.0,3400.0,3400.0,3400.0,0.0,31800,108120000,1,1613.0,3400,2200,3300,100,1785000000,1785000000,1200769500,0,0,51600,154800000,7
2026-03-30,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3370.0,0.0,3400.0,3270.0,3400.0,30.0,600,1992000,4,1613.0,3370,500,3350,500,1785000000,1785000000,1200769500,100,200,1903800,6251400000,8
2026-03-27,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3370.0,0.0,3370.0,3370.0,3370.0,0.0,800,2696000,2,1598.8,3680,100,3370,200,1785000000,1785000000,1200769500,0,0,1921200,6288600000,4
2026-03-26,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3320.0,3400.0,3400.0,3370.0,3370.0,50.0,10900,36781000,9,1598.8,3740,1000,3370,700,1785000000,1785000000,1200769500,0,0,1845700,5537100000,15
2026-03-25,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3350.0,0.0,3890.0,3260.0,3320.0,-30.0,6900,23813000,44,1575.1,3320,100,3310,500,1785000000,1785000000,1200769500,300,900,4965800,14897400000,22
2026-03-17,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3360.0,0.0,4200.0,3200.0,3350.0,-10.0,73100,260520000,261,1589.3,3490,100,3350,700,1785000000,1785000000,1200769500,5700,2800,255200,765600000,15
2026-03-16,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3370.0,0.0,4000.0,3300.0,3360.0,-10.0,101600,349276000,82,1594.0,3740,100,3350,400,1785000000,1785000000,1200769500,1300,2100,2208700,6626100000,79
2026-03-13,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3310.0,0.0,3520.0,3360.0,3370.0,60.0,38000,128070000,30,1598.8,3370,400,3300,200,1785000000,1785000000,1200769500,0,1900,201000,603000000,21
2026-03-12,YULE,Yulie Sekuritas Indonesia Tbk.,--UO2105000000G312------------,3360.0,0.0,3350.0,3310.0,3310.0,-50.0,600,1994000,4,1570.3,3310,400,3300,200,1785000000,1785000000,1200769500,0,0,1223100,3669300000,19
