Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,AGII,Samator Indo Gas Tbk.,--U-4135000000B111-----------X,3330,0,3400,3000,3400,70,2999600,9799300000,400,309.1,3430,7100,3400,869600,3066660000,3066660000,231532830,0,207800,0,0,0
2026-03-11,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3330,0,0,0,3330,0,0,0,0,302.7,0,0,0,0,3066660000,3066660000,231532830,0,0,0,0,0
2026-03-10,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3330,0,0,0,3330,0,0,0,0,302.7,0,0,0,0,3066660000,3066660000,231532830,0,0,0,0,0
2026-03-09,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3330,0,0,0,3330,0,0,0,0,302.7,0,0,0,0,3066660000,3066660000,231532830,0,0,0,0,0
2026-03-06,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3330,0,0,0,3330,0,0,0,0,302.7,0,0,0,0,3066660000,3066660000,231532830,0,0,0,0,0
2026-03-05,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3330,0,0,0,3330,0,0,0,0,302.7,0,0,0,0,3066660000,3066660000,231532830,0,0,0,0,0
2026-03-04,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3270,3290,3400,2900,3330,60,2615600,8223303000,2201,302.7,3330,5600,3320,800,3066660000,3066660000,231532830,607400,785700,0,0,0
2026-03-03,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3300,3420,3430,3120,3270,-30,1689100,5494510000,1504,297.3,3280,900,3270,72300,3066660000,3066660000,231532830,635700,384000,0,0,0
2026-03-02,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3290,3240,3520,3140,3300,10,3788300,12730232000,2888,300.0,3310,15400,3300,4100,3066660000,3066660000,231532830,1562500,306200,0,0,0
2026-02-27,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3000,2980,3350,2950,3290,290,5975000,19244132000,3584,299.1,3290,500,3280,32400,3066660000,3066660000,231532830,2351500,1677700,0,0,0
2026-02-26,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3150,3150,3150,2810,3000,-150,3536400,10576818000,1752,272.7,3030,2300,3000,1700,3066660000,3066660000,231532830,1112300,1339300,0,0,0
2026-02-25,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3100,3120,3260,3070,3150,50,3593000,11342739000,2254,286.4,3150,20500,3120,2100,3066660000,3066660000,231532830,1045100,594800,0,0,0
2026-02-24,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3120,3000,3290,2910,3100,-20,7460700,22945134000,5517,281.8,3100,13800,3090,100,3066660000,3066660000,231532830,1224800,1947900,0,0,0
2026-02-23,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,3120,0,0,0,3120,0,0,0,0,283.6,0,0,0,0,3066660000,3066660000,231532830,0,0,0,0,0
2026-02-20,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,2500,2530,3120,2450,3120,620,23867200,71736297000,11250,283.6,0,0,3120,585400,3066660000,3066660000,231532830,3884200,4237200,0,0,0
2026-02-19,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,2160,2160,2560,2160,2500,340,7582900,17932158000,4967,227.3,2500,42400,2490,12600,3066660000,3066660000,231532830,1299400,1897000,0,0,0
2026-02-18,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,2160,2170,2200,2150,2160,0,1478700,3215682000,1122,196.4,2160,200,2150,28300,3066660000,3066660000,231532830,239700,697500,0,0,0
2026-02-13,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,2200,2180,2210,2150,2160,-40,1036500,2252469000,957,196.4,2160,7800,2150,23400,3066660000,3066660000,231532830,219400,308000,0,0,0
2026-02-12,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,2240,2240,2290,2170,2200,-40,4632700,10246938000,2198,200.0,2200,13300,2190,9800,3066660000,3066660000,231532830,728000,1431800,0,0,0
2026-02-11,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,2250,2250,2370,2210,2240,-10,4921400,11280519000,3574,203.6,2250,2100,2240,207300,3066660000,3066660000,231532830,1244100,1293200,0,0,0
2026-02-10,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,2160,2160,2330,2130,2250,90,4928500,10951331000,3223,204.5,2250,33500,2240,3100,3066660000,3066660000,231532830,904800,2249500,0,0,0
2026-02-09,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,2170,2200,2290,2150,2160,-10,3837000,8562585000,2662,196.4,2170,2300,2160,7600,3066660000,3066660000,231532830,972700,1268500,0,0,0
2026-02-06,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,2200,1950,2290,1950,2170,-30,5300200,11550482000,3391,197.3,2170,53900,2160,23900,3066660000,3066660000,231532830,854700,2617400,0,0,0
2026-02-05,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1930,1930,2400,1930,2200,270,20813600,45763070500,9208,200.0,2200,2850200,2190,1100,3066660000,3066660000,231532830,3898700,5567500,153000,336294000,1
2026-02-04,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1955,1995,1995,1900,1930,-25,1357300,2648719000,1135,175.5,1930,38100,1925,1700,3066660000,3066660000,231532830,276600,387100,0,0,0
2026-02-03,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1750,1745,2030,1725,1955,205,4228400,8128277500,2892,177.7,1955,68500,1950,8000,3066660000,3066660000,231532830,672100,1875200,0,0,0
2026-02-02,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1930,1900,1970,1745,1750,-180,3283900,5966309000,1990,159.1,1770,1000,1750,54200,3066660000,3066660000,231532830,1039500,1184900,0,0,0
2026-01-30,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,2000,2000,2070,1855,1930,-70,3773800,7352012500,2396,175.5,1930,28200,1925,1500,3066660000,3066660000,231532830,1432200,665400,0,0,0
2026-01-29,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1840,1890,2020,1700,2000,160,7509400,14297388500,5090,181.8,2010,111500,2000,19600,3066660000,3066660000,231532830,1358100,2899900,0,0,0
2026-01-28,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1950,1725,2150,1660,1840,-110,10967600,20611854500,6598,167.3,1840,3200,1835,200,3066660000,3066660000,231532830,1631200,3979700,0,0,0
2026-01-27,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1640,1640,2000,1640,1950,310,25521800,47516399000,10350,177.3,1955,100,1950,150400,3066660000,3066660000,231532830,3089200,8070600,0,0,0
2026-01-26,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1565,1575,1650,1575,1640,75,1658000,2691567000,796,149.1,1645,6300,1640,4300,3066660000,3066660000,231532830,157100,568400,0,0,0
2026-01-23,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1590,1590,1590,1535,1565,-25,1264000,1960871500,906,142.3,1575,10300,1565,2900,3066660000,3066660000,231532830,276100,321600,0,0,0
2026-01-22,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1600,1600,1625,1590,1590,-10,615000,987501000,417,144.5,1600,10000,1590,1700,3066660000,3066660000,231532830,79200,173300,0,0,0
2026-01-21,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1635,1655,1665,1580,1600,-35,896200,1435902000,583,145.5,1605,7100,1585,9900,3066660000,3066660000,231532830,459900,29800,0,0,0
2026-01-20,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1610,1610,1635,1590,1635,25,981400,1583419500,570,148.6,1640,14600,1635,30200,3066660000,3066660000,231532830,74600,289000,0,0,0
2026-01-19,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1610,1620,1700,1580,1610,0,4401300,7310926500,1524,146.4,1615,2100,1610,60400,3066660000,3066660000,231532830,668300,632400,0,0,0
2026-01-15,AGII,Samator Indo Gas Tbk.,--UO2135000000B111------------,1565,1570,1610,1555,1610,45,2136300,3362096500,663,146.4,1610,7800,1600,2500,3066660000,3066660000,231532830,176800,348300,91633900,143407053500,1
