Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,183,184,186,183,185,2,3751300,691831900,435,308.2,186,275300,185,536400,24493093216,24493093216,3179203499,966700,25000,29,1450,1
2026-03-10,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,177,180,184,178,183,6,8455500,1536929400,710,304.9,183,491800,182,181400,24493093216,24493093216,3179203499,2436100,1092600,0,0,0
2026-03-09,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,188,185,185,175,177,-11,14401400,2568136800,1272,294.9,179,900,177,1389500,24493093216,24493093216,3179203499,3592500,3291300,0,0,0
2026-03-06,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,190,192,192,186,188,-2,4998000,939379800,818,313.2,188,36800,187,2770700,24493093216,24493093216,3179203499,911400,898000,7000,1302000,1
2026-03-05,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,187,189,194,189,190,3,6025500,1149448800,763,316.6,191,46100,190,820900,24493093216,24493093216,3179203499,701100,385600,0,0,0
2026-03-04,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,195,195,195,185,187,-8,21261900,4007448800,1652,311.6,188,152300,187,795000,24493093216,24493093216,3179203499,5898600,2856800,0,0,0
2026-03-03,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,196,198,200,192,195,-1,10557400,2074174200,1141,324.9,196,53900,195,776500,24493093216,24493093216,3179203499,3587300,389400,55000,10945000,1
2026-03-02,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,208,202,204,196,196,-12,25380000,5051176000,2250,326.6,196,478100,195,689400,24493093216,24493093216,3179203499,7378500,625600,0,0,0
2026-02-27,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,210,210,210,204,208,-2,8669600,1793670800,745,346.6,210,280200,208,212400,24493093216,24493093216,3179203499,1728100,1306500,0,0,0
2026-02-26,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,210,214,214,208,210,0,8901100,1876863600,744,349.9,210,245000,208,2505000,24493093216,24493093216,3179203499,2213000,170300,0,0,0
2026-02-25,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,212,212,214,210,210,-2,11604800,2452223600,767,349.9,212,243800,210,1368100,24493093216,24493093216,3179203499,3099900,562800,0,0,0
2026-02-24,AGRO,Bank Raya Indonesia Tbk.,--MO1155300000G111------------,214,214,216,208,212,-2,15021900,3172982800,952,353.2,212,5000,210,1186200,24493093216,24493093216,3179203499,2121900,61300,0,0,0
