Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS200A112------------,1235,1240,1260,1230,1235,0,13237400,16447607500,5044,4921.5,1235,281900,1230,914700,20073474600,20073474600,6551982109,5711200,1818400,0,0,0
2026-03-11,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS200A112------------,1245,1260,1265,1235,1235,-10,13908300,17363880000,4038,4921.5,1240,15200,1235,636800,20073474600,20073474600,6551982109,8387300,2084500,724500,904900500,1
2026-03-10,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS200A112------------,1260,1260,1275,1225,1245,-15,26337900,32866601500,7418,4961.3,1250,3400,1245,85200,20073474600,20073474600,6551982109,10074700,3766400,0,0,0
2026-03-09,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS200A112------------,1255,1300,1315,1235,1260,5,39440500,49984628000,11156,5021.1,1265,22200,1260,900,20073474600,20073474600,6551982109,22458000,6576900,0,0,0
2026-03-06,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS200A112------------,1265,1270,1290,1250,1255,-10,13930400,17580584500,4001,5001.2,1265,118900,1255,1272000,20073474600,20073474600,6551982109,3181400,1444400,0,0,0
2026-03-05,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS200A112------------,1220,1250,1280,1250,1265,45,22903600,28995062500,5857,5041.0,1270,96300,1265,1034000,20073474600,20073474600,6551982109,10226300,4288900,0,0,0
2026-03-04,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS200A112------------,1325,1330,1340,1215,1220,-105,50510000,64236726500,13136,4861.7,1225,11700,1220,1687000,20073474600,20073474600,6551982109,12717600,12927500,0,0,0
2026-03-03,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS200A112------------,1370,1390,1395,1315,1325,-45,49467300,66800471000,11706,5280.1,1330,46600,1325,617500,20073474600,20073474600,6551982109,19390200,3975800,0,0,0
2026-03-02,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS200A112------------,1295,1335,1380,1315,1370,75,90256700,121812283000,16047,5459.5,1375,1167300,1370,1756400,20073474600,20073474600,6551982109,32288000,21129600,222000,301920000,1
2026-02-27,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1250,1250,1305,1230,1295,45,32420200,41256657000,5680,5160.6,1295,35400,1290,554400,20073474600,20073474600,6551982109,22176800,6808600,36,46620,1
2026-02-26,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1305,1310,1310,1250,1250,-55,19849100,25171335000,6298,4981.3,1255,178800,1250,2752400,20073474600,20073474600,6551982109,11138000,2363900,0,0,0
2026-02-25,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1300,1305,1320,1295,1305,5,16435600,21410228500,3548,5200.4,1305,6000,1300,68100,20073474600,20073474600,6551982109,5278000,9375200,0,0,0
2026-02-24,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1325,1325,1330,1295,1300,-25,17807800,23387365000,4415,5180.5,1305,8300,1300,164000,20073474600,20073474600,6551982109,10153600,2992900,0,0,0
2026-02-23,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1315,1315,1340,1305,1325,10,25765700,34121789500,5174,5280.1,1330,1158800,1325,97500,20073474600,20073474600,6551982109,3072400,2159500,2245800,2975685000,3
2026-02-20,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1315,1325,1330,1310,1315,0,15049000,19868828000,4213,5240.3,1320,158200,1315,104700,20073474600,20073474600,6551982109,2503500,5452000,0,0,0
2026-02-19,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1300,1315,1330,1300,1315,15,28703000,37764051000,6089,5240.3,1320,652100,1315,79800,20073474600,20073474600,6551982109,7391700,9457000,0,0,0
2026-02-18,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1280,1295,1315,1260,1300,20,25572400,32793044000,8536,5180.5,1305,256900,1300,1350300,20073474600,20073474600,6551982109,4869900,3240700,32,40640,1
2026-02-13,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1285,1290,1300,1270,1280,-5,13391300,17147528000,4054,5100.8,1280,152200,1275,44400,20073474600,20073474600,6551982109,4026700,4694200,0,0,0
2026-02-12,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1295,1300,1310,1280,1285,-10,15789900,20347517000,5123,5120.7,1285,57100,1280,649800,20073474600,20073474600,6551982109,5268400,4898200,0,0,0
2026-02-11,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1305,1315,1330,1285,1295,-10,23827400,30991436500,6514,5160.6,1295,106400,1290,760100,20073474600,20073474600,6551982109,9954900,10934300,19,24605,1
2026-02-10,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1265,1270,1320,1270,1305,40,22474900,29315221000,5379,5200.4,1310,176200,1305,2400,20073474600,20073474600,6551982109,10955500,18601100,0,0,0
2026-02-09,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1270,1290,1290,1255,1265,-5,9115400,11608424000,2537,5041.0,1265,4000,1260,194500,20073474600,20073474600,6551982109,5948200,3917000,7450200,9409602600,4
2026-02-06,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1285,1265,1275,1240,1270,-15,11725200,14811908000,4677,5061.0,1270,164800,1265,18000,20073474600,20073474600,6551982109,7277300,3701600,2121500,2679457500,2
2026-02-05,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1295,1295,1305,1280,1285,-10,15925300,20578460000,4259,5120.7,1290,47600,1285,2600,20073474600,20073474600,6551982109,11028300,9329500,0,0,0
2026-02-04,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1325,1320,1320,1285,1295,-30,26679200,34575304000,5477,5160.6,1300,48000,1295,1200,20073474600,20073474600,6551982109,9479300,9298900,7902780,10335570300,8
2026-02-03,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1240,1245,1330,1230,1325,85,32116500,41751682500,7633,5280.1,1325,53000,1320,230400,20073474600,20073474600,6551982109,15811600,5049900,86,110520,2
2026-02-02,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1260,1260,1285,1230,1240,-20,28654200,36036153500,8417,4941.4,1245,1000,1240,209000,20073474600,20073474600,6551982109,13120400,6974600,19350145,24187680920,3
2026-01-30,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1205,1220,1285,1220,1260,55,39841500,50109700500,9125,5021.1,1265,3800,1260,1079600,20073474600,20073474600,6551982109,12171900,14081100,117,147420,2
2026-01-29,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1280,1250,1255,1100,1205,-75,47307300,56064511500,14073,4801.9,1210,12600,1205,218900,20073474600,20073474600,6551982109,28124900,17471600,0,0,0
2026-01-28,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1345,1340,1340,1245,1280,-65,32893000,42037744500,9993,5100.8,1280,226900,1275,4700,20073474600,20073474600,6551982109,10722400,10938100,0,0,0
2026-01-27,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1355,1360,1395,1340,1345,-10,53544800,72926237000,11865,5359.8,1350,100,1345,98300,20073474600,20073474600,6551982109,18723300,24765400,0,0,0
2026-01-26,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1305,1305,1360,1300,1355,50,55555100,74611025000,12493,5399.7,1360,2497900,1355,411400,20073474600,20073474600,6551982109,15256800,23880400,930000,1256430000,2
2026-01-23,AKRA,AKR Corporindo Tbk.,--MO1H3TUNS000A112------------,1320,1320,1320,1275,1305,-15,16404900,21195949000,4986,5200.4,1305,312300,1300,164600,20073474600,20073474600,6551982109,7131700,8226300,10741900,13888434800,2
