Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-03-11,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-03-10,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-03-09,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-03-06,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-03-05,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-03-04,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-03-03,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-03-02,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-02-27,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-02-26,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-02-25,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-02-24,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-02-23,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-02-20,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-02-19,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
2026-02-18,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141----S------X,74,0,0,0,74,0,0,0,0,11.4,0,0,0,0,3816000000,3816000000,95400000,0,0,0,0,0
