Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,930,0,990,925,990,60,4000,3727500,18,24.9,995,100,930,6200,3174339029,3174339029,240297464,0,0,0,0,0
2026-03-09,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,990,0,980,925,930,-60,13000,12292000,44,23.4,940,700,930,1400,3174339029,3174339029,240297464,0,0,0,0,0
2026-03-06,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,1060,0,1020,990,990,-70,36600,36613500,47,24.9,995,2900,990,12300,3174339029,3174339029,240297464,0,9900,0,0,0
2026-03-05,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,1000,0,1190,990,1060,60,54600,56668500,120,26.6,1060,11600,1000,1700,3174339029,3174339029,240297464,0,10000,0,0,0
2026-03-04,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,1025,1060,1060,990,1000,-25,38800,40329500,42,25.1,1040,100,1000,100,3174339029,3174339029,240297464,0,0,0,0,0
2026-03-03,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,1000,1000,1030,990,1025,25,18900,18951000,31,25.8,1025,8300,1005,100,3174339029,3174339029,240297464,0,0,0,0,0
2026-03-02,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,1105,1090,1090,1000,1000,-105,56700,57640000,70,25.1,1005,100,1000,8500,3174339029,3174339029,240297464,0,11000,0,0,0
2026-02-27,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,1110,1110,1110,1090,1105,-5,22400,24484000,25,27.8,1100,200,1090,33600,3174339029,3174339029,240297464,0,0,0,0,0
2026-02-26,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,1115,1115,1120,1110,1110,-5,54200,60246000,33,27.9,1115,2000,1110,21700,3174339029,3174339029,240297464,0,36800,0,0,0
2026-02-25,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,1125,1125,1150,1115,1115,-10,16700,18758000,52,28.0,1120,100,1115,4500,3174339029,3174339029,240297464,0,0,0,0,0
2026-02-24,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,1160,1170,1210,1120,1125,-35,53100,61501000,111,28.3,1150,300,1125,1600,3174339029,3174339029,240297464,8400,0,0,0,0
2026-02-23,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,1205,1205,1295,1120,1160,-45,441600,521997500,273,29.1,1160,300,1155,35200,3174339029,3174339029,240297464,11300,169800,0,0,0
2026-02-20,ARGO,Argo Pantes Tbk,--UO2135000000E413------------,1080,0,1240,955,1205,125,564000,650939000,544,30.3,1220,11400,1205,7300,3174339029,3174339029,240297464,69800,36500,0,0,0
