Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,6300,6300,6850,6250,6300,0,3015900,19797372500,1788,2100.0,6300,45400,6275,12800,2928495000,2928495000,525079154,574300,1093800,0,0,0
2026-03-10,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,6500,7000,7000,6000,6300,-200,4819600,30122707500,2868,2100.0,6325,35800,6300,154600,2928495000,2928495000,525079154,1425500,693000,0,0,0
2026-03-09,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,5750,5000,6550,4890,6500,750,7442600,41641768500,3047,2166.7,6500,18800,6475,100,2928495000,2928495000,525079154,1353800,2030000,1000000,3000000000,1
2026-03-06,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,6625,6675,6700,5650,5750,-875,4072600,24053395000,1987,1916.7,5900,5000,5750,67400,2928495000,2928495000,525079154,650400,1077000,100000,900000000,1
2026-03-05,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,6150,6575,6650,6200,6625,475,3204400,20592572500,1657,2208.3,6650,80400,6625,58600,2928495000,2928495000,525079154,547200,680500,0,0,0
2026-03-04,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,7000,7700,7900,5950,6150,-850,5151500,32412697500,2642,2050.0,6225,8700,6150,900,2928495000,2928495000,525079154,416100,1763800,0,0,0
2026-03-03,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,7150,7050,7650,6725,7000,-150,1669300,11761782500,1304,2333.3,7050,100,7000,47600,2928495000,2928495000,525079154,290000,524400,0,0,0
2026-03-02,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,8275,7900,7925,7050,7150,-1125,3439600,25401697500,2235,2383.3,7200,6400,7150,8100,2928495000,2928495000,525079154,428300,864000,100000,900000000,1
2026-02-27,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,8475,8200,8550,7500,8275,-200,1440700,11812387500,1252,2758.3,8350,500,8275,114200,2928495000,2928495000,525079154,235600,431900,0,0,0
2026-02-26,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,9950,10000,10175,8475,8475,-1475,5014900,44229015000,2989,2825.0,8475,76400,0,0,2928495000,2928495000,525079154,569000,717600,0,0,0
2026-02-25,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,9825,10000,10225,9300,9950,125,2480300,24212297500,1607,3316.7,9975,20000,9950,1800,2928495000,2928495000,525079154,319700,637500,0,0,0
2026-02-24,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,10625,10725,10775,9825,9825,-800,2957500,30049767500,1831,3275.0,9875,500,9825,234600,2928495000,2928495000,525079154,360100,714900,7000000,28000000000,2
2026-02-23,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,10400,10250,10775,9500,10625,225,3656300,37535400000,2581,3541.7,10625,40100,10600,72800,2928495000,2928495000,525079154,88700,440400,0,0,0
2026-02-20,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,9000,10800,10800,9350,10400,1400,5396200,54636482500,4810,3466.7,10400,77100,10175,7600,2928495000,2928495000,525079154,1185700,906200,5000000,20000000000,3
2026-02-19,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,7500,7500,9000,7250,9000,1500,5685500,49175242500,3791,3000.0,9000,11800,8950,1300,2928495000,2928495000,525079154,531700,929800,0,0,0
2026-02-18,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,7725,7625,7825,7400,7500,-225,899500,6862120000,735,2500.0,7500,8500,7475,4200,2928495000,2928495000,525079154,252300,38400,0,0,0
2026-02-13,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,7475,7550,7725,7025,7725,250,778700,5824272500,683,2575.0,7725,40100,7575,300,2928495000,2928495000,525079154,119600,116700,0,0,0
2026-02-12,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,7950,7950,8150,7075,7475,-475,1447000,10966115000,1619,2491.7,7475,9300,7450,8200,2928495000,2928495000,525079154,600400,87300,0,0,0
2026-02-11,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,6800,6950,7950,6850,7950,1150,2560700,19190682500,1971,2650.0,7950,102700,7550,1400,2928495000,2928495000,525079154,420200,312600,0,0,0
2026-02-10,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,6825,6625,7225,6300,6800,-25,1669700,11543892500,1382,2266.7,6850,19800,6800,4100,2928495000,2928495000,525079154,415300,129600,0,0,0
2026-02-09,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,6125,5225,6825,5225,6825,700,7241700,40117152500,3016,2275.0,6825,103800,6800,200,2928495000,2928495000,525079154,658000,845300,0,0,0
2026-02-06,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,7200,6375,6900,6125,6125,-1075,2813800,17768570000,1612,2041.7,6125,832700,0,0,2928495000,2928495000,525079154,171500,343400,91265000,264687500000,4
2026-02-05,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,7200,7200,8050,6400,7200,0,6721900,48295790000,4300,2400.0,7225,11700,7200,5200,2928495000,2928495000,525079154,682100,777900,0,0,0
2026-02-04,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,8450,8475,9000,7200,7200,-1250,7552200,55625627500,2105,2400.0,7200,2410700,0,0,2928495000,2928495000,525079154,421900,226000,120000000,870000000000,6
2026-02-03,ARKO,Arkora Hydro Tbk.,--UO2105000000J411------------,7700,6550,8500,6550,8450,750,11465100,80687125000,3565,2816.7,8500,10900,8400,100,2928495000,2928495000,525079154,2283400,2461400,0,0,0
2026-02-02,ARKO,Arkora Hydro Tbk.,--U-4105000000J411-----------X,8550,0,7700,7700,7700,-850,270600,2083620000,66,2566.7,7700,5193100,0,0,2928495000,2928495000,525079154,0,0,0,0,0
2026-01-30,ARKO,Arkora Hydro Tbk.,--U-4105000000J411-----------X,9500,0,8550,8550,8550,-950,5787500,49483125000,514,2850.0,8550,876700,0,0,2928495000,2928495000,525079154,1146800,1205000,0,0,0
2026-01-29,ARKO,Arkora Hydro Tbk.,--U-4105000000J411-----------X,10550,0,9500,9500,9500,-1050,537200,5103400000,89,3166.7,9500,7002200,0,0,2928495000,2928495000,525079154,230400,0,0,0,0
2026-01-28,ARKO,Arkora Hydro Tbk.,--U-4105000000J411-----------X,11700,0,10550,10550,10550,-1150,497400,5247570000,125,3516.7,10550,9318600,0,0,2928495000,2928495000,525079154,0,0,0,0,0
2026-01-27,ARKO,Arkora Hydro Tbk.,--U-4105000000J411-----------X,10650,0,11700,10075,11700,1050,2001500,22262935000,540,3900.0,0,0,11700,579900,2928495000,2928495000,525079154,10200,0,0,0,0
2026-01-26,ARKO,Arkora Hydro Tbk.,--U-4105000000J411-----------X,11825,0,13000,10650,10650,-1175,7322500,89731570000,941,3550.0,10700,6500,10650,309600,2928495000,2928495000,525079154,411100,956100,0,0,0
2026-01-23,ARKO,Arkora Hydro Tbk.,--U-4105000000J411-----------X,10750,0,11825,11825,11825,1075,4485300,53038672500,697,3941.7,0,0,11825,4098100,2928495000,2928495000,525079154,104300,0,0,0,0
