Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,ASLI,Asri Karya Lestari Tbk.,--UO2135000000J211------------,324,324,340,318,328,4,9917600,3236149200,616,328.0,328,201900,326,10000,6250000000,6250000000,1580000000,1380500,221700,0,0,0
2026-03-09,ASLI,Asri Karya Lestari Tbk.,--UO2135000000J211------------,356,308,344,308,324,-32,24185200,7900993800,1420,324.0,324,1400,322,600,6250000000,6250000000,1580000000,679400,1855800,0,0,0
2026-03-06,ASLI,Asri Karya Lestari Tbk.,--UO2135000000J211------------,334,336,366,314,356,22,17897700,5960180000,1395,356.0,356,345700,354,111000,6250000000,6250000000,1580000000,820400,5413500,5470400,1805232000,1
2026-03-05,ASLI,Asri Karya Lestari Tbk.,--UO2135000000J211------------,336,340,354,332,334,-2,16281000,5562388200,1659,334.0,336,63700,334,157500,6250000000,6250000000,1580000000,3248000,982600,0,0,0
2026-03-04,ASLI,Asri Karya Lestari Tbk.,--UO2135000000J211------------,344,340,354,314,336,-8,13420000,4397399000,1211,336.0,336,55500,326,20600,6250000000,6250000000,1580000000,1914600,4392100,0,0,0
2026-03-03,ASLI,Asri Karya Lestari Tbk.,--UO2135000000J211------------,340,330,354,326,344,4,21503300,7327336400,1244,344.0,344,25400,342,207100,6250000000,6250000000,1580000000,3025000,6762200,0,0,0
2026-03-02,ASLI,Asri Karya Lestari Tbk.,--UO2135000000J211------------,392,360,384,340,340,-52,14366500,5193417000,1624,340.0,340,33000,338,142200,6250000000,6250000000,1580000000,2295400,2366600,0,0,0
2026-02-27,ASLI,Asri Karya Lestari Tbk.,--UO2135000000J211------------,408,380,400,376,392,-16,16158800,6289859600,1304,392.0,392,576400,390,294400,6250000000,6250000000,1580000000,2820500,1563100,0,0,0
2026-02-26,ASLI,Asri Karya Lestari Tbk.,--UO2135000000J211------------,450,450,450,384,408,-42,94398800,39650021600,8600,408.0,408,64800,406,494000,6250000000,6250000000,1580000000,10338400,11978000,0,0,0
2026-02-25,ASLI,Asri Karya Lestari Tbk.,--UO2135000000J211------------,366,364,450,350,450,84,180836600,74707664600,13133,450.0,452,1147200,450,3035700,6250000000,6250000000,1580000000,15665800,12756200,0,0,0
2026-02-24,ASLI,Asri Karya Lestari Tbk.,--UO2135000000J211------------,386,380,386,338,366,-20,62545300,22469245800,5245,366.0,366,166200,364,100000,6250000000,6250000000,1580000000,8986200,3397300,0,0,0
2026-02-23,ASLI,Asri Karya Lestari Tbk.,--UO2135000000J211------------,386,384,392,350,386,0,80306200,30601184200,5367,386.0,386,1425900,382,43200,6250000000,6250000000,1580000000,16026500,19004600,0,0,0
