Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,374,0,380,376,376,2,600,227000,6,1255.7,380,1800,374,1300,720000000,720000000,73512000,0,0,0,0,0
2026-03-11,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,372,378,390,370,374,2,21700,8145200,14,1249.0,380,1600,374,9600,720000000,720000000,73512000,0,0,0,0,0
2026-03-10,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,372,374,400,372,372,0,6600,2497800,19,1242.4,384,300,372,4400,720000000,720000000,73512000,0,0,0,0,0
2026-03-09,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,388,0,400,370,372,-16,21900,8243400,37,1242.4,384,4000,372,3900,720000000,720000000,73512000,0,0,0,0,0
2026-03-06,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,392,0,392,388,388,-4,32500,12611800,22,1295.8,390,4400,388,600,720000000,720000000,73512000,0,0,0,0,0
2026-03-05,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,392,392,394,376,392,0,21400,8345800,19,1309.2,388,100,386,500,720000000,720000000,73512000,0,800,0,0,0
2026-03-04,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,378,382,396,374,392,14,20300,7778200,35,1309.2,392,32300,386,300,720000000,720000000,73512000,800,0,0,0,0
2026-03-03,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,390,0,388,368,378,-12,11900,4491600,21,1262.4,382,100,378,13400,720000000,720000000,73512000,0,600,0,0,0
2026-03-02,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,388,384,408,384,390,2,16700,6533000,42,1302.5,394,21600,388,600,720000000,720000000,73512000,0,0,0,0,0
2026-02-27,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,390,392,402,386,388,-2,67700,26678600,64,1295.8,390,100,384,14400,720000000,720000000,73512000,1500,16700,0,0,0
2026-02-26,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,386,382,394,382,390,4,5200,1996200,14,1302.5,390,5300,388,100,720000000,720000000,73512000,0,0,0,0,0
2026-02-25,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,390,392,392,382,386,-4,15300,5883600,17,1289.1,392,1400,384,1200,720000000,720000000,73512000,0,0,0,0,0
2026-02-24,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,390,0,394,382,390,0,54300,21070600,42,1302.5,390,300,388,2000,720000000,720000000,73512000,12500,7200,0,0,0
2026-02-23,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,390,394,396,390,390,0,16900,6670800,19,1302.5,392,800,390,18100,720000000,720000000,73512000,0,0,0,0,0
2026-02-20,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,390,390,396,388,390,0,7400,2885600,14,1302.5,392,100,390,4000,720000000,720000000,73512000,0,0,0,0,0
2026-02-19,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,396,398,398,390,390,-6,3900,1534200,22,1302.5,392,3700,390,12700,720000000,720000000,73512000,0,0,0,0,0
2026-02-18,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,390,390,398,382,396,6,23600,9098000,37,1322.5,396,10900,392,100,720000000,720000000,73512000,0,2100,0,0,0
2026-02-13,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,390,0,396,390,390,0,2800,1093000,11,1302.5,394,300,390,2800,720000000,720000000,73512000,0,0,0,0,0
2026-02-12,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,392,392,398,388,390,-2,32700,12871200,33,1302.5,396,300,390,11900,720000000,720000000,73512000,1300,0,0,0,0
2026-02-11,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,392,394,394,384,392,0,31100,12086000,30,1309.2,394,12400,384,82600,720000000,720000000,73512000,0,1400,0,0,0
2026-02-10,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,388,0,400,382,392,4,83200,32142600,36,1309.2,394,4100,392,80200,720000000,720000000,73512000,0,5000,0,0,0
2026-02-09,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,388,388,394,382,388,0,22500,8704800,42,1295.8,388,4900,382,30700,720000000,720000000,73512000,1200,700,0,0,0
2026-02-06,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,386,388,388,384,388,2,31300,12034400,32,1295.8,390,8800,388,600,720000000,720000000,73512000,0,1200,0,0,0
2026-02-05,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,390,390,396,384,386,-4,24000,9320400,54,1289.1,390,200,388,200,720000000,720000000,73512000,0,0,0,0,0
2026-02-04,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,394,394,416,388,390,-4,72800,28883800,94,1302.5,396,2000,390,1000,720000000,720000000,73512000,8200,0,0,0,0
2026-02-03,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,390,400,430,378,394,4,392400,159148600,385,1315.8,400,2100,394,3700,720000000,720000000,73512000,24200,43000,0,0,0
2026-02-02,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,376,388,438,380,390,14,1135300,465667400,835,1302.5,400,11900,390,600,720000000,720000000,73512000,37700,39100,0,0,0
2026-01-30,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,396,396,398,374,376,-20,5100,1973800,23,1255.7,388,300,376,6100,720000000,720000000,73512000,0,500,0,0,0
2026-01-29,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,380,0,396,348,396,16,68900,26330400,54,1322.5,390,800,380,2300,720000000,720000000,73512000,0,0,0,0,0
2026-01-28,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,378,378,426,326,380,2,403000,155443800,414,1269.1,392,2000,380,17500,720000000,720000000,73512000,34400,21200,0,0,0
2026-01-27,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,380,380,380,374,378,-2,8000,3032200,14,1262.4,380,2700,378,3400,720000000,720000000,73512000,0,0,0,0,0
2026-01-26,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,376,378,380,376,380,4,17500,6617800,38,1269.1,380,9100,378,1000,720000000,720000000,73512000,0,0,0,0,0
2026-01-23,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,392,390,408,374,376,-16,110600,42926200,80,1255.7,388,7900,378,1000,720000000,720000000,73512000,8600,7800,0,0,0
2026-01-22,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,378,388,392,380,392,14,29800,11467400,38,1309.2,392,7700,380,29600,720000000,720000000,73512000,0,0,0,0,0
2026-01-21,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,390,390,390,378,378,-12,49100,18911000,36,1262.4,388,100,378,6200,720000000,720000000,73512000,0,0,0,0,0
2026-01-20,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,386,390,394,378,390,4,31900,12317200,17,1302.5,390,11700,378,28300,720000000,720000000,73512000,0,0,0,0,0
2026-01-19,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,384,0,400,386,386,2,45200,17664800,43,1289.1,386,12500,384,3400,720000000,720000000,73512000,0,1700,0,0,0
2026-01-15,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,384,0,390,380,384,0,11000,4210800,17,1282.4,386,1200,384,2200,720000000,720000000,73512000,0,0,0,0,0
2026-01-14,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,392,394,394,380,384,-8,19100,7369600,28,1282.4,386,10800,384,1000,720000000,720000000,73512000,0,0,0,0,0
2026-01-13,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,394,0,396,384,392,-2,17900,7006400,28,1309.2,392,2100,390,100,720000000,720000000,73512000,0,800,0,0,0
2026-01-12,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,394,394,400,394,394,0,18900,7518000,27,1315.8,394,5500,392,300,720000000,720000000,73512000,0,0,0,0,0
2026-01-09,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,388,0,400,390,394,6,13300,5290400,10,1315.8,394,12300,390,700,720000000,720000000,73512000,3800,0,0,0,0
2026-01-08,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,388,0,390,388,388,0,13400,5209400,21,1295.8,388,6400,382,300,720000000,720000000,73512000,0,0,0,0,0
2026-01-07,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,380,0,390,378,388,8,32300,12478600,25,1295.8,390,3000,382,100,720000000,720000000,73512000,0,4800,0,0,0
2026-01-06,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,384,0,384,380,380,-4,19600,7451800,17,1269.1,382,7200,380,5800,720000000,720000000,73512000,0,0,0,0,0
2026-01-05,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,384,390,390,384,384,0,3000,1156000,9,1282.4,384,100,372,23400,720000000,720000000,73512000,0,0,0,0,0
2026-01-02,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,374,0,408,374,384,10,25700,10088000,59,1282.4,382,200,380,26900,720000000,720000000,73512000,5600,600,0,0,0
2025-12-30,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,384,0,384,374,374,-10,16600,6245600,15,1249.0,382,500,374,6500,720000000,720000000,73512000,0,0,0,0,0
2025-12-29,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,378,378,386,372,384,6,11800,4486000,19,1282.4,384,2300,376,300,720000000,720000000,73512000,3500,0,0,0,0
2025-12-24,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,376,0,396,370,378,2,32900,12603400,45,1262.4,384,7000,376,100,720000000,720000000,73512000,100,0,0,0,0
2025-12-23,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,378,0,380,376,376,-2,200,75600,2,1255.7,382,3700,374,500,720000000,720000000,73512000,0,0,0,0,0
2025-12-22,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,378,0,382,378,378,0,13600,5166800,10,1262.4,382,4700,378,1400,720000000,720000000,73512000,0,0,0,0,0
2025-12-19,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,378,0,378,378,378,0,3400,1285200,4,1262.4,382,6000,378,8600,720000000,720000000,73512000,0,0,0,0,0
2025-12-18,BTON,Betonjaya Manunggal Tbk.,--UO2100000000B144------------,374,0,384,370,378,4,7200,2684600,9,1262.4,378,700,376,600,720000000,720000000,73512000,0,0,0,0,0
