Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,131,0,130,118,118,-13,1548200,188291800,177,59.0,118,9300,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-03-10,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,144,0,144,130,131,-13,485600,66589800,86,65.5,144,32900,130,27500,833440000,833440000,140851360,0,0,0,0,0
2026-03-09,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,159,0,144,144,144,-15,206800,29779200,56,72.0,144,575300,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-03-06,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,176,0,159,159,159,-17,298800,47509200,74,79.5,159,251800,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-03-05,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,161,0,176,161,176,15,636300,109645800,118,88.0,177,43800,176,7200,833440000,833440000,140851360,300000,0,0,0,0
2026-03-04,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,147,0,161,161,161,14,1336000,215096000,103,80.5,0,0,161,280700,833440000,833440000,140851360,300000,1000,0,0,0
2026-03-03,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,163,0,151,147,147,-16,1744000,259501200,181,73.5,151,54000,147,798300,833440000,833440000,140851360,400000,0,0,0,0
2026-03-02,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,181,0,175,163,163,-18,687200,114178800,154,81.5,163,58000,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-02-27,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,185,0,185,171,181,-4,911700,160217700,112,90.5,185,1900,181,1700,833440000,833440000,140851360,0,0,0,0,0
2026-02-26,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,186,0,192,180,185,-1,458300,85092000,92,92.5,185,2600,180,585800,833440000,833440000,140851360,0,0,0,0,0
2026-02-25,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,191,0,210,174,186,-5,1292800,253727900,192,93.0,198,25000,186,7600,833440000,833440000,140851360,0,0,0,0,0
2026-02-24,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,212,0,195,191,191,-21,1468600,281649900,159,95.5,191,55300,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-02-23,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,197,0,212,184,212,15,1144200,228394300,180,106.0,216,15200,212,74800,833440000,833440000,140851360,0,0,0,0,0
2026-02-20,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,218,0,197,197,197,-21,354900,69915300,97,98.5,197,741900,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-02-19,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,242,0,242,218,218,-24,977700,222036600,154,109.0,218,468500,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-02-18,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,220,0,242,242,242,22,906600,219397200,94,121.0,0,0,242,188400,833440000,833440000,140851360,257300,0,0,0,0
2026-02-13,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,202,0,220,212,220,18,1071400,229400800,158,110.0,220,268300,212,10300,833440000,833440000,140851360,342700,0,0,0,0
2026-02-12,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,184,0,202,202,202,18,1352600,273225200,104,101.0,0,0,202,606100,833440000,833440000,140851360,300000,0,0,0,0
2026-02-11,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,168,0,184,168,184,16,1136100,202025700,188,92.0,184,50500,183,100,833440000,833440000,140851360,0,0,0,0,0
2026-02-10,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,184,0,170,168,168,-16,2207300,372059000,347,84.0,169,10000,168,110900,833440000,833440000,140851360,400000,0,0,0,0
2026-02-09,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,204,0,184,184,184,-20,418500,77004000,73,92.0,184,625500,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-02-06,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,226,0,204,204,204,-22,1107500,225930000,130,102.0,204,624600,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-02-05,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,206,0,226,186,226,20,4723700,931812200,365,113.0,0,0,226,18119200,833440000,833440000,140851360,600000,0,0,0,0
2026-02-04,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,228,0,206,206,206,-22,752500,155015000,107,103.0,206,3299600,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-02-03,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,252,0,228,228,228,-24,865000,197220000,135,114.0,228,3151700,0,0,833440000,833440000,140851360,0,200,0,0,0
2026-02-02,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,280,0,252,252,252,-28,147300,37119600,57,126.0,252,2894000,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-01-30,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,310,0,280,280,280,-30,1500700,420196000,243,140.0,280,2740400,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-01-29,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,344,0,310,310,310,-34,550900,170779000,117,155.0,310,2394700,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-01-28,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,382,0,344,344,344,-38,1439100,495050400,304,172.0,344,2373500,0,0,833440000,833440000,140851360,0,0,0,0,0
2026-01-27,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,424,0,466,382,382,-42,10096200,4412962800,533,191.0,382,1879600,0,0,833440000,833440000,140851360,600000,0,0,0,0
2026-01-26,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,386,0,424,424,424,38,3238100,1372954400,391,212.0,0,0,424,94548500,833440000,833440000,140851360,600000,0,0,0,0
2026-01-23,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,352,0,386,318,386,34,16145800,5631172400,1254,193.0,0,0,386,30200,833440000,833440000,140851360,300000,0,80000,38800000,1
2026-01-22,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,320,0,352,352,352,32,804700,283254400,56,176.0,0,0,352,2844000,833440000,833440000,140851360,500000,0,150000,75000000,2
2026-01-21,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,292,0,320,320,320,28,759400,243008000,50,160.0,0,0,320,3200300,833440000,833440000,140851360,300000,0,0,0,0
2026-01-20,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,266,0,292,292,292,26,443500,129502000,57,146.0,0,0,292,10873900,833440000,833440000,140851360,0,0,0,0,0
2026-01-19,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,242,0,266,266,266,24,1630900,433819400,150,133.0,0,0,266,3773900,833440000,833440000,140851360,0,0,0,0,0
2026-01-15,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,220,0,242,242,242,22,640300,154952600,61,121.0,0,0,242,5364100,833440000,833440000,140851360,0,0,0,0,0
2026-01-14,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,200,0,220,220,220,20,1370400,301488000,84,110.0,0,0,220,6047600,833440000,833440000,140851360,203100,0,0,0,0
2026-01-13,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,183,0,200,200,200,17,391900,78380000,70,100.0,0,0,200,4922000,833440000,833440000,140851360,0,0,50000,8250000,1
2026-01-12,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,167,0,183,183,183,16,480100,87858300,56,91.5,0,0,183,7275600,833440000,833440000,140851360,99900,0,200000,44750000,2
