Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,188,0,188,170,180,-8,7172800,1272744800,944,51.4,183,74300,180,80700,1431125517,1431125517,0,1639800,103100,0,0,0
2026-03-09,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,176,0,190,159,188,12,13730200,2277485500,1494,53.7,188,1644800,187,3330600,1431125517,1431125517,0,2428600,548000,0,0,0
2026-03-06,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,161,0,177,156,176,15,16540700,2830678300,1601,50.3,176,124600,174,20000,1431125517,1431125517,0,711800,1788900,32634800,5547916000,2
2026-03-05,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,147,0,161,148,161,14,5446800,864125800,384,46.0,0,0,161,160300,1431125517,1431125517,0,58400,662700,0,0,0
2026-03-04,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,157,0,157,145,147,-10,3628500,546827200,271,42.0,148,577100,147,42500,1431125517,1431125517,0,161500,559600,0,0,0
2026-03-03,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,147,0,157,141,157,10,3702700,552906800,160,44.9,158,250500,157,3100,1431125517,1431125517,0,200,691600,0,0,0
2026-03-02,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,152,0,159,140,147,-5,2561400,387486100,252,42.0,147,1000,146,15200,1431125517,1431125517,0,323500,529000,0,0,0
2026-02-27,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,153,0,156,150,152,-1,801000,121571800,134,43.4,153,25200,152,9400,1431125517,1431125517,0,16800,116500,0,0,0
2026-02-26,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,160,0,165,150,153,-7,3142000,485239700,380,43.7,155,12500,152,59200,1431125517,1431125517,0,67200,361800,0,0,0
2026-02-25,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,158,0,165,151,160,2,3780300,595166500,311,45.7,160,767700,158,1000,1431125517,1431125517,0,95800,628300,0,0,0
2026-02-24,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,155,0,170,153,158,3,5729100,934337000,622,45.1,158,388200,156,126700,1431125517,1431125517,0,671700,1428100,0,0,0
2026-02-23,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,152,0,159,150,155,3,3122200,482614400,329,44.3,155,5500,153,72600,1431125517,1431125517,0,250000,298400,0,0,0
2026-02-20,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,157,0,157,150,152,-5,2582900,393623600,318,43.4,154,100,152,28600,1431125517,1431125517,0,69300,525300,0,0,0
2026-02-19,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,161,0,169,156,157,-4,5061400,814921000,654,44.9,157,33600,156,44100,1431125517,1431125517,0,984000,194900,0,0,0
2026-02-18,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,147,0,161,137,161,14,9971900,1552563900,865,46.0,0,0,161,42600,1431125517,1431125517,0,302400,2418000,0,0,0
2026-02-13,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,149,0,152,143,147,-2,2775600,404874700,342,42.0,147,35700,146,8200,1431125517,1431125517,0,18300,46900,0,0,0
2026-02-12,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,149,0,157,144,149,0,2480000,367169500,402,42.6,149,6400,147,108500,1431125517,1431125517,0,182500,121900,0,0,0
2026-02-11,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,148,0,154,145,149,1,1880100,279278900,402,42.6,149,28400,148,112100,1431125517,1431125517,0,91600,76400,0,0,0
2026-02-10,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,148,0,159,141,148,0,4277400,642780400,669,42.3,149,10000,148,31500,1431125517,1431125517,0,399400,98500,0,0,0
2026-02-09,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,135,0,148,135,148,13,4342300,636217200,681,42.3,148,598100,146,9700,1431125517,1431125517,0,112200,77700,0,0,0
2026-02-06,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,150,0,162,135,135,-15,14364600,2027780900,2313,38.6,137,10700,135,851000,1431125517,1431125517,0,1312300,1045800,0,0,0
2026-02-05,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,166,0,166,150,150,-16,9783400,1491095100,1094,42.9,152,150100,150,84300,1431125517,1431125517,0,474100,993100,0,0,0
2026-02-04,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,184,0,200,166,166,-18,13540200,2314985800,1486,47.4,166,849700,0,0,1431125517,1431125517,0,1577900,518300,0,0,0
2026-02-03,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,168,0,184,160,184,16,21762800,3934140300,1521,52.6,0,0,184,1590400,1431125517,1431125517,0,443400,606600,0,0,0
2026-02-02,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,168,0,184,157,168,0,20489500,3508531800,1759,48.0,169,189800,168,9100,1431125517,1431125517,0,829000,207900,0,0,0
2026-01-30,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,153,0,168,151,168,15,10616400,1768052400,689,48.0,0,0,168,4334600,1431125517,1431125517,0,5400,1131400,0,0,0
2026-01-29,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,155,0,163,140,153,-2,12369100,1815108300,976,43.7,153,71400,152,134900,1431125517,1431125517,0,595300,815600,0,0,0
2026-01-28,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,170,0,186,153,155,-15,22392800,3659115900,2284,44.3,155,167500,153,16200,1431125517,1431125517,0,326300,1473000,0,0,0
2026-01-27,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,181,0,194,163,170,-11,43542900,7438527700,2935,48.6,171,19000,170,1700,1431125517,1431125517,0,611700,1711700,0,0,0
2026-01-26,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,167,0,183,169,181,14,44089700,8010416200,3107,51.7,181,1355200,180,51800,1431125517,1431125517,0,5633700,120100,0,0,0
2026-01-23,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,152,0,167,138,167,15,28159200,4446140900,1369,47.7,0,0,167,7783900,1431125517,1431125517,0,1775100,2988700,0,0,0
2026-01-22,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,139,0,152,140,152,13,1585400,240200900,193,43.4,0,0,152,3668300,1431125517,1431125517,0,0,0,4635300,764824500,1
2026-01-21,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,127,0,139,115,139,12,53136200,6280033500,829,39.7,0,0,139,3940100,1431125517,1431125517,0,0,0,0,0,0
2026-01-20,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,116,0,127,117,127,11,5337500,675374500,448,36.3,0,0,127,1099000,1431125517,1431125517,0,0,0,0,0,0
2026-01-19,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,106,0,116,105,116,10,7641200,850297300,606,33.1,0,0,116,669700,1431125517,1431125517,0,0,0,0,0,0
2026-01-15,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,106,0,109,104,106,0,2740300,291821300,206,30.3,106,13900,105,351600,1431125517,1431125517,0,0,0,0,0,0
2026-01-14,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,106,0,106,102,106,0,1801800,187800800,193,30.3,106,46600,105,11500,1431125517,1431125517,0,0,0,0,0,0
2026-01-13,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,108,0,112,105,106,-2,2204900,237230800,216,30.3,106,96800,105,296400,1431125517,1431125517,0,0,0,0,0,0
2026-01-12,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,112,0,117,104,108,-4,3666500,399263200,535,30.9,109,260200,108,30200,1431125517,1431125517,0,271100,0,0,0,0
2026-01-09,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,102,0,112,100,112,10,6358400,692102400,841,32.0,112,2299300,110,27900,1431125517,1431125517,0,139000,0,0,0,0
2026-01-08,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,104,0,108,100,102,-2,3491400,364053000,356,29.1,103,105900,102,128300,1431125517,1431125517,0,926300,0,0,0,0
2026-01-07,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,108,0,110,103,104,-4,2363400,250659000,325,29.7,105,746100,104,64100,1431125517,1431125517,0,183400,0,0,0,0
2026-01-06,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,103,0,113,103,108,5,8444500,930415900,1040,30.9,108,90700,106,15600,1431125517,1431125517,0,29200,0,0,0,0
2026-01-05,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,104,0,106,99,103,-1,6307200,637041000,382,29.4,103,196000,102,40400,1431125517,1431125517,0,117200,0,0,0,0
2026-01-02,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,103,0,113,99,104,1,3079500,312500700,329,29.7,104,42800,103,47400,1431125517,1431125517,0,0,0,0,0,0
2025-12-30,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,103,0,104,100,103,0,919600,93237700,136,29.4,103,629000,102,5000,1431125517,1431125517,0,9000,0,0,0,0
2025-12-29,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,100,0,104,100,103,3,2277200,232913200,249,29.4,104,512600,103,1400,1431125517,1431125517,0,472600,0,0,0,0
2025-12-24,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,101,0,105,98,100,-1,2567100,259122400,258,28.6,100,29600,99,5200,1431125517,1431125517,0,24300,0,0,0,0
2025-12-23,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,102,0,104,99,101,-1,498700,50117500,125,28.9,101,54000,100,77400,1431125517,1431125517,0,38100,0,0,0,0
2025-12-22,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,103,0,105,101,102,-1,445000,45549800,155,29.1,102,2000,101,67100,1431125517,1431125517,0,47100,0,0,0,0
2025-12-19,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,105,0,107,103,103,-2,960200,99532800,120,29.4,105,110000,103,243500,1431125517,1431125517,0,0,140000,0,0,0
2025-12-18,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,107,0,108,102,105,-2,1496000,156439800,146,30.0,105,6600,104,37100,1431125517,1431125517,0,0,60000,0,0,0
2025-12-17,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,109,0,109,102,107,-2,972900,102133600,216,30.6,107,10400,106,400,1431125517,1431125517,0,43000,0,0,0,0
2025-12-16,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,105,0,110,102,109,4,1590300,168788300,265,31.1,109,54500,108,4700,1431125517,1431125517,0,110100,46000,0,0,0
