Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,930,980,980,925,950,20,683900,645310000,218,760.0,950,2700,940,14300,2050000000,2050000000,337020000,414100,200300,0,0,0
2026-03-10,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,915,915,930,905,930,15,694200,635475000,219,744.0,930,62800,925,1100,2050000000,2050000000,337020000,221800,2100,0,0,0
2026-03-09,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,920,910,925,900,915,-5,1208200,1095860500,245,732.0,920,11300,915,157200,2050000000,2050000000,337020000,292300,3400,0,0,0
2026-03-06,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,940,940,960,910,920,-20,907600,838622000,235,736.0,925,500,920,187600,2050000000,2050000000,337020000,128900,29700,0,0,0
2026-03-05,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,940,940,960,935,940,0,406100,382081500,175,752.0,955,5000,940,7200,2050000000,2050000000,337020000,147400,18700,0,0,0
2026-03-04,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,970,970,975,915,940,-30,1808100,1707728500,376,752.0,940,53300,930,21400,2050000000,2050000000,337020000,438300,600,0,0,0
2026-03-03,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,960,960,975,960,970,10,591600,572508500,267,776.0,970,13900,965,3500,2050000000,2050000000,337020000,276900,1100,0,0,0
2026-03-02,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,980,960,970,960,960,-20,849700,818114000,338,768.0,965,9300,960,149700,2050000000,2050000000,337020000,327700,32300,0,0,0
2026-02-27,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,980,980,980,960,980,0,453800,438958000,328,784.0,980,44300,970,3600,2050000000,2050000000,337020000,153700,44000,0,0,0
2026-02-26,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,985,985,995,970,980,-5,457500,448014000,209,784.0,980,6700,975,8900,2050000000,2050000000,337020000,141600,15000,0,0,0
2026-02-25,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1000,1000,1000,975,985,-15,597100,586695000,344,788.0,990,42900,985,28200,2050000000,2050000000,337020000,203500,57700,0,0,0
2026-02-24,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1015,1015,1015,995,1000,-15,731200,733211000,206,800.0,1005,129500,1000,8500,2050000000,2050000000,337020000,252700,1200,0,0,0
2026-02-23,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1015,1015,1040,1000,1015,0,1079100,1095489500,322,812.0,1020,600,1015,33200,2050000000,2050000000,337020000,137400,149300,0,0,0
2026-02-20,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1005,1005,1060,1000,1015,10,592200,603921000,203,812.0,1020,36100,1015,800,2050000000,2050000000,337020000,101900,95100,0,0,0
2026-02-19,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1010,1030,1030,1000,1005,-5,339800,343576000,155,804.0,1010,4300,1005,49600,2050000000,2050000000,337020000,52800,104000,0,0,0
2026-02-18,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1000,1000,1020,995,1010,10,706800,709881500,259,808.0,1010,2000,1000,500,2050000000,2050000000,337020000,63900,104700,0,0,0
2026-02-13,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1005,990,1010,990,1000,-5,153300,153394000,92,800.0,1005,600,1000,11400,2050000000,2050000000,337020000,37000,1100,0,0,0
2026-02-12,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1015,1020,1020,995,1005,-10,474700,475889500,182,804.0,1010,21100,1005,700,2050000000,2050000000,337020000,44800,58600,0,0,0
2026-02-11,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1030,1030,1050,1005,1015,-15,596200,606996000,236,812.0,1020,500,1015,800,2050000000,2050000000,337020000,36400,21300,0,0,0
2026-02-10,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1025,1025,1075,1010,1030,5,1334500,1367997500,334,824.0,1030,136300,1025,1200,2050000000,2050000000,337020000,46900,112500,0,0,0
2026-02-09,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1000,1010,1025,1000,1025,25,434800,440881000,135,820.0,1025,52500,1020,2000,2050000000,2050000000,337020000,19100,49900,0,0,0
2026-02-06,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1030,1030,1030,985,1000,-30,434000,434677000,212,800.0,1005,14600,1000,3300,2050000000,2050000000,337020000,79600,94200,0,0,0
2026-02-05,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1025,1020,1050,1010,1030,5,636300,654466000,257,824.0,1030,30900,1020,1600,2050000000,2050000000,337020000,55800,33700,0,0,0
2026-02-04,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,1045,1050,1050,995,1025,-20,686800,695018500,406,820.0,1030,76200,1025,42900,2050000000,2050000000,337020000,47000,127000,0,0,0
2026-02-03,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,965,965,1045,965,1045,80,1639100,1659159000,651,836.0,1045,2000,1040,1800,2050000000,2050000000,337020000,65800,505600,0,0,0
2026-02-02,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,970,970,970,940,965,-5,1224800,1169735000,270,772.0,965,82900,955,335400,2050000000,2050000000,337020000,310900,143800,0,0,0
2026-01-30,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,940,945,970,945,970,30,489900,473018000,267,776.0,970,47600,965,13100,2050000000,2050000000,337020000,122800,39300,0,0,0
2026-01-29,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,950,950,970,885,940,-10,3737700,3424844000,514,752.0,945,7700,940,8900,2050000000,2050000000,337020000,551000,817500,0,0,0
2026-01-28,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,975,970,980,930,950,-25,3123100,2976549000,612,760.0,955,300,950,16700,2050000000,2050000000,337020000,517700,674700,0,0,0
2026-01-27,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,950,960,975,940,975,25,981400,942096500,366,780.0,975,39000,970,5500,2050000000,2050000000,337020000,41900,336100,0,0,0
2026-01-26,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,955,955,955,940,950,-5,695300,658794500,247,760.0,950,38300,940,601600,2050000000,2050000000,337020000,23600,64100,0,0,0
2026-01-23,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,945,945,960,930,955,10,946600,896637000,291,764.0,955,176100,945,34800,2050000000,2050000000,337020000,126000,215500,0,0,0
2026-01-22,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,905,905,945,905,945,40,940100,874140500,334,756.0,945,9800,940,1000,2050000000,2050000000,337020000,46200,240400,0,0,0
2026-01-21,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,920,920,925,890,905,-15,3562800,3239994000,438,724.0,915,2900,905,61900,2050000000,2050000000,337020000,363600,278500,500000,450000000,1
2026-01-20,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,920,920,925,910,920,0,815600,748531000,233,736.0,925,70000,915,73400,2050000000,2050000000,337020000,2200,56600,0,0,0
2026-01-19,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,915,915,925,905,920,5,2230600,2032997000,343,736.0,920,16800,915,500,2050000000,2050000000,337020000,10700,265000,0,0,0
2026-01-15,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,915,910,920,905,915,0,1950100,1777319500,226,732.0,915,18400,910,347400,2050000000,2050000000,337020000,81500,5800,0,0,0
2026-01-14,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,915,920,925,905,915,0,3349400,3058693500,385,732.0,920,700,910,1000,2050000000,2050000000,337020000,515000,14700,0,0,0
2026-01-13,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,915,915,930,900,915,0,6241500,5684174500,545,732.0,920,6500,915,142300,2050000000,2050000000,337020000,1084700,77200,0,0,0
2026-01-12,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,960,960,960,905,915,-45,8454500,7793339500,960,732.0,925,1700,915,247200,2050000000,2050000000,337020000,2074700,374800,14000000,12600000000,1
2026-01-09,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,975,975,975,950,960,-15,1605700,1548405500,633,768.0,960,12600,955,4800,2050000000,2050000000,337020000,497900,99900,0,0,0
2026-01-08,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,930,925,975,925,975,45,2016700,1924888500,647,780.0,980,40700,975,25500,2050000000,2050000000,337020000,691600,58800,0,0,0
2026-01-07,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,925,925,945,925,930,5,1309100,1222366000,352,744.0,935,14900,930,71100,2050000000,2050000000,337020000,489600,473200,0,0,0
2026-01-06,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,925,925,935,910,925,0,2291500,2112734500,450,740.0,930,10600,925,822100,2050000000,2050000000,337020000,705600,664600,0,0,0
2026-01-05,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,925,920,930,910,925,0,1547800,1420533000,402,740.0,930,103100,925,44600,2050000000,2050000000,337020000,516700,235000,0,0,0
2026-01-02,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,935,935,935,925,925,-10,653300,605870500,241,740.0,930,78800,925,163000,2050000000,2050000000,337020000,314000,22400,0,0,0
2025-12-30,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,935,935,940,925,935,0,477500,445647500,182,748.0,935,32400,930,148000,2050000000,2050000000,410000000,70000,91800,0,0,0
2025-12-29,CSRA,Cisadane Sawit Raya Tbk.,--MO1135000000D232------------,925,920,940,920,935,10,539600,501651500,275,748.0,935,161300,930,7300,2050000000,2050000000,410000000,53200,109000,0,0,0
