Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,202,0,206,200,200,-2,245200,50019600,111,87.0,204,13900,200,15900,7692307700,7692307700,1481538463,0,0,0,0,0
2026-03-11,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,198,204,218,200,202,4,1263200,256736000,265,87.8,204,14400,202,600,7692307700,7692307700,1481538463,0,0,0,0,0
2026-03-10,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,222,224,228,197,198,-24,2786900,583113500,497,86.1,200,46900,198,18400,7692307700,7692307700,1481538463,119500,0,0,0,0
2026-03-09,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,250,248,248,216,222,-28,941000,210398800,215,96.5,226,13600,222,39600,7692307700,7692307700,1481538463,0,157400,0,0,0
2026-03-06,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,260,0,268,240,250,-10,650600,164084000,216,108.7,250,31000,248,2200,7692307700,7692307700,1481538463,250100,229000,0,0,0
2026-03-05,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,250,250,292,248,260,10,630000,161600000,306,113.0,260,1400,258,1500,7692307700,7692307700,1481538463,0,0,0,0,0
2026-03-04,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,268,0,268,244,250,-18,496300,125457600,190,108.7,250,52900,246,100,7692307700,7692307700,1481538463,4200,37500,0,0,0
2026-03-03,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,258,258,278,258,268,10,323000,84936200,170,116.5,268,22700,266,400,7692307700,7692307700,1481538463,0,0,0,0,0
2026-03-02,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,284,280,280,244,258,-26,1285800,328280200,281,112.2,258,46400,256,1500,7692307700,7692307700,1481538463,0,519400,0,0,0
2026-02-27,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,294,0,294,282,284,-10,433400,123362800,203,123.5,288,11700,284,24500,7692307700,7692307700,1481538463,0,33000,0,0,0
2026-02-26,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,294,294,298,290,294,0,337800,98846800,69,127.8,294,282300,292,18700,7692307700,7692307700,1481538463,0,0,0,0,0
2026-02-25,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,302,0,302,290,294,-8,421500,123804800,146,127.8,294,59300,292,44600,7692307700,7692307700,1481538463,100,0,0,0,0
2026-02-24,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,306,306,310,300,302,-4,604500,182973600,116,131.3,302,11300,300,32200,7692307700,7692307700,1481538463,0,0,0,0,0
2026-02-23,DMMX,Digital Mediatama Maxima Tbk.,--UO2135000000I121------------,300,300,310,298,306,6,863500,264125000,160,133.0,308,100,306,21000,7692307700,7692307700,1481538463,1400,193300,0,0,0
