Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-09,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,990,975,975,915,930,-60,5435200,5074622000,1040,186.0,940,100,930,4100,4705882300,4705882300,479529406,1415300,2936100,4863000,4133550000,1
2026-03-06,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1005,1005,1005,970,990,-15,1488700,1475946500,337,198.0,995,1500,990,17100,4705882300,4705882300,479529406,88700,273200,0,0,0
2026-03-05,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,980,985,1015,985,1005,25,1255000,1256045000,210,201.0,1005,588900,1000,118300,4705882300,4705882300,479529406,128200,259800,0,0,0
2026-03-04,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1030,1030,1030,970,980,-50,4799200,4744379500,1017,196.0,995,8500,980,2000,4705882300,4705882300,479529406,589900,2779400,0,0,0
2026-03-03,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1070,1060,1080,1025,1030,-40,852900,891554000,450,206.0,1040,15900,1030,29000,4705882300,4705882300,479529406,302200,249800,0,0,0
2026-03-02,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1070,1065,1085,1040,1070,0,2486800,2653944000,552,214.0,1070,200000,1065,2800,4705882300,4705882300,479529406,727700,330500,413500,442445000,1
2026-02-27,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1055,1060,1075,1050,1070,15,516100,550590000,229,214.0,1075,132800,1070,25000,4705882300,4705882300,479529406,82400,149000,0,0,0
2026-02-26,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1060,1080,1085,1055,1055,-5,1436600,1525713500,294,211.0,1060,24700,1050,45500,4705882300,4705882300,479529406,303500,510500,0,0,0
2026-02-25,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1065,1065,1095,1050,1060,-5,1184900,1257686500,272,212.0,1075,300,1060,33800,4705882300,4705882300,479529406,326800,240400,0,0,0
2026-02-24,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1100,1100,1100,1065,1065,-35,695000,752677500,319,213.0,1080,5700,1065,308100,4705882300,4705882300,479529406,186700,240600,0,0,0
2026-02-23,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1065,1065,1100,1065,1100,35,1802500,1973401500,418,220.0,1100,230700,1095,2200,4705882300,4705882300,479529406,549300,167900,0,0,0
2026-02-20,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1050,1050,1110,1050,1065,15,3267400,3527987500,709,213.0,1070,4500,1065,119800,4705882300,4705882300,479529406,1372400,703700,0,0,0
2026-02-19,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1035,1040,1060,1040,1050,15,1843600,1934239000,638,210.0,1055,10300,1050,4700,4705882300,4705882300,479529406,996100,319900,0,0,0
2026-02-18,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1030,1030,1045,1030,1035,5,1136600,1180122000,328,207.0,1035,7400,1030,15600,4705882300,4705882300,479529406,424000,414400,0,0,0
2026-02-13,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1035,1030,1040,1025,1030,-5,684100,706701500,174,206.0,1035,700,1030,49700,4705882300,4705882300,479529406,393300,84100,0,0,0
2026-02-12,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1030,1035,1035,1020,1035,5,615300,633443500,188,207.0,1035,14000,1030,3000,4705882300,4705882300,479529406,423500,105200,0,0,0
2026-02-11,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1030,1050,1050,1020,1030,0,597600,613124000,186,206.0,1035,5000,1030,197900,4705882300,4705882300,479529406,167000,217300,0,0,0
2026-02-10,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1020,1020,1045,1010,1030,10,1232400,1265174000,303,206.0,1035,11200,1030,5700,4705882300,4705882300,479529406,381600,188500,0,0,0
2026-02-09,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1015,1015,1020,1000,1020,5,1315600,1328803000,402,204.0,1020,37600,1010,29900,4705882300,4705882300,479529406,348900,182000,0,0,0
2026-02-06,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1020,1020,1020,1005,1015,-5,465900,472088000,208,203.0,1020,226700,1015,1100,4705882300,4705882300,479529406,144100,260600,0,0,0
2026-02-05,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1030,1030,1030,1020,1020,-10,319500,326609500,172,204.0,1025,5000,1020,500,4705882300,4705882300,479529406,112100,50500,0,0,0
2026-02-04,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1020,1020,1030,1010,1030,10,549800,560941000,200,206.0,1030,164900,1020,13800,4705882300,4705882300,479529406,243600,107900,0,0,0
2026-02-03,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1010,1010,1030,1010,1020,10,524000,536694000,241,204.0,1025,188300,1020,15200,4705882300,4705882300,479529406,192900,242900,0,0,0
2026-02-02,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1045,1045,1045,1000,1010,-35,875300,884160500,381,202.0,1015,10000,1010,4200,4705882300,4705882300,479529406,106300,257400,11371000,11524710000,2
2026-01-30,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1015,1040,1060,1025,1045,30,368700,382977500,263,209.0,1045,62400,1035,400,4705882300,4705882300,479529406,91800,59700,0,0,0
2026-01-29,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1045,1040,1040,920,1015,-30,1913200,1901573500,723,203.0,1035,2000,1015,34000,4705882300,4705882300,479529406,581200,760800,0,0,0
2026-01-28,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1080,1090,1095,1030,1045,-35,3874700,4126465500,859,209.0,1050,10300,1045,200,4705882300,4705882300,479529406,1025000,2828400,0,0,0
2026-01-27,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1090,1090,1095,1080,1080,-10,2235200,2414700500,213,216.0,1085,52000,1080,199900,4705882300,4705882300,479529406,214600,2072200,0,0,0
2026-01-26,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1095,1100,1100,1080,1090,-5,632600,688447000,259,218.0,1090,59200,1080,40600,4705882300,4705882300,479529406,3900,137300,0,0,0
2026-01-23,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1100,1100,1110,1065,1095,-5,1881800,2044645500,632,219.0,1100,795600,1095,12400,4705882300,4705882300,479529406,280400,601200,0,0,0
2026-01-22,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1055,1050,1105,1045,1100,45,2292300,2501481500,555,220.0,1100,513500,1095,20500,4705882300,4705882300,479529406,9800,407400,0,0,0
2026-01-21,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1090,1095,1100,1055,1055,-35,1434500,1539723500,484,211.0,1060,1700,1055,40400,4705882300,4705882300,479529406,395900,402300,0,0,0
2026-01-20,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1065,1065,1100,1050,1090,25,1636600,1752021000,458,218.0,1090,59500,1080,11900,4705882300,4705882300,479529406,4400,440100,0,0,0
2026-01-19,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1050,1065,1070,1050,1065,15,732000,775767500,190,213.0,1065,27000,1060,5300,4705882300,4705882300,479529406,1300,203900,0,0,0
2026-01-15,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1065,1075,1075,1050,1050,-15,782800,833288000,363,210.0,1065,31400,1050,155900,4705882300,4705882300,479529406,87000,143200,0,0,0
2026-01-14,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1045,1055,1075,1040,1065,20,604000,639731500,302,213.0,1065,124000,1060,2800,4705882300,4705882300,479529406,24800,47900,0,0,0
2026-01-13,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1060,1055,1060,1035,1045,-15,381800,399355000,229,209.0,1045,2600,1040,213900,4705882300,4705882300,479529406,21300,162600,0,0,0
2026-01-12,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1065,1055,1060,1040,1060,-5,1015200,1066419000,423,212.0,1060,113700,1045,1500,4705882300,4705882300,479529406,276500,152700,0,0,0
2026-01-09,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1060,1065,1075,1045,1065,5,625700,660217000,262,213.0,1065,83500,1060,100,4705882300,4705882300,479529406,22600,66300,600000,633000000,1
2026-01-08,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1070,1075,1075,1055,1060,-10,1060100,1125253000,351,212.0,1070,100,1055,101900,4705882300,4705882300,479529406,25600,251500,1850900,1963804000,2
2026-01-07,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1065,1080,1085,1065,1070,5,1185600,1269116500,493,214.0,1070,20200,1065,1100,4705882300,4705882300,479529406,4600,328600,0,0,0
2026-01-06,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1065,1090,1090,1050,1065,0,670300,712559000,307,213.0,1065,7700,1060,1400,4705882300,4705882300,479529406,11800,134500,0,0,0
2026-01-05,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1050,1045,1065,1030,1065,15,1054800,1098087500,459,213.0,1065,36100,1045,267600,4705882300,4705882300,479529406,9900,331900,0,0,0
2026-01-02,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1055,1055,1070,1020,1050,-5,1836600,1911631500,594,210.0,1060,5000,1050,10700,4705882300,4705882300,479529406,43200,593200,7371000,7739550000,1
2025-12-30,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1030,1030,1090,1030,1055,25,1742800,1841287000,454,211.0,1060,600,1055,100,4705882300,4705882300,481882348,29900,287100,450000,469750000,8
2025-12-29,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1055,1055,1060,1025,1030,-25,606400,627496000,410,206.0,1035,39500,1030,73300,4705882300,4705882300,481882348,28300,186800,0,0,0
2025-12-24,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1025,1025,1055,1025,1055,30,935600,970729000,500,211.0,1055,109100,1050,3000,4705882300,4705882300,481882348,33500,187700,0,0,0
2025-12-23,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1050,1075,1075,1000,1025,-25,966400,995868000,506,205.0,1045,582200,1025,32400,4705882300,4705882300,481882348,121700,262000,0,0,0
2025-12-22,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1040,1040,1060,1030,1050,10,610700,637862500,378,210.0,1050,66100,1045,20300,4705882300,4705882300,481882348,80600,120300,0,0,0
2025-12-19,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1075,1075,1075,1040,1040,-35,1800500,1890863500,663,208.0,1045,400,1040,51500,4705882300,4705882300,481882348,953800,418800,0,0,0
2025-12-18,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1090,1100,1100,1070,1075,-15,1563800,1681809000,406,215.0,1080,4100,1075,1400,4705882300,4705882300,481882348,828300,237900,100000,107500000,1
2025-12-17,DRMA,Dharma Polimetal Tbk.,--MO1135000000E111------------,1100,1100,1110,1085,1090,-10,773000,844226000,392,218.0,1090,18900,1085,56000,4705882300,4705882300,481882348,148300,179400,0,0,0
