Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,226,228,230,214,220,-6,171300,38005600,81,5.4,220,21300,218,191500,1334333000,1334333000,166391325,0,0,0,0,0
2026-03-10,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,224,224,236,214,226,2,572800,127848800,166,5.6,226,5800,224,200,1334333000,1334333000,166391325,0,31400,0,0,0
2026-03-09,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,228,228,228,210,224,-4,262800,57641400,114,5.5,224,42200,222,3400,1334333000,1334333000,166391325,0,0,0,0,0
2026-03-06,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,226,0,234,222,228,2,140100,31761200,65,5.6,230,21300,226,53900,1334333000,1334333000,166391325,0,0,0,0,0
2026-03-05,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,226,228,236,226,226,0,87200,20022000,66,5.6,230,5000,226,17200,1334333000,1334333000,166391325,0,0,10645300,2452956000,3
2026-03-04,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,250,236,248,220,226,-24,526700,121546800,260,5.6,230,6000,224,7900,1334333000,1334333000,166391325,0,26400,0,0,0
2026-03-03,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,246,230,260,226,250,4,1373200,333489200,558,6.2,250,300,238,5500,1334333000,1334333000,166391325,128700,1000000,0,0,0
2026-03-02,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,244,220,246,218,246,2,999200,232170800,374,6.1,248,2100,240,33600,1334333000,1334333000,166391325,36000,385500,0,0,0
2026-02-27,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,250,230,252,230,244,-6,611100,145540200,204,6.0,244,8100,242,10400,1334333000,1334333000,166391325,0,66400,0,0,0
2026-02-26,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,260,270,270,248,250,-10,1194700,308430000,393,6.2,258,3000,248,2800,1334333000,1334333000,166391325,252300,27900,0,0,0
2026-02-25,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,244,240,260,230,260,16,2184000,549742600,792,6.4,260,633900,256,100,1334333000,1334333000,166391325,118700,1313800,0,0,0
2026-02-24,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,248,252,260,242,244,-4,571400,143960200,240,6.0,244,100,242,22800,1334333000,1334333000,166391325,72400,24400,0,0,0
2026-02-23,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,246,0,266,234,248,2,1518500,390048600,352,6.1,248,17100,246,12700,1334333000,1334333000,166391325,302200,22500,0,0,0
2026-02-20,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,260,260,268,226,246,-14,1273700,306685800,330,6.1,246,1300,244,17500,1334333000,1334333000,166391325,65100,402300,0,0,0
2026-02-19,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,266,252,264,246,260,-6,1727000,442281200,348,6.4,264,72600,258,800,1334333000,1334333000,166391325,137200,230300,0,0,0
2026-02-18,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,262,264,270,246,266,4,3841100,1005779600,892,6.6,266,30400,264,100,1334333000,1334333000,166391325,389900,281100,0,0,0
2026-02-13,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,242,242,266,230,262,20,5335500,1357838400,1070,6.5,262,800700,254,5100,1334333000,1334333000,166391325,125600,225700,0,0,0
2026-02-12,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,220,212,256,212,242,22,6612700,1605204800,1529,6.0,244,72900,242,300,1334333000,1334333000,166391325,680700,512400,0,0,0
2026-02-11,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,220,0,234,210,220,0,350100,77567600,149,5.4,220,13200,216,2000,1334333000,1334333000,166391325,27300,64800,0,0,0
2026-02-10,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,220,222,236,210,220,0,754700,167742800,290,5.4,220,6600,216,3600,1334333000,1334333000,166391325,265200,58800,0,0,0
2026-02-09,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,206,208,220,204,220,14,1464900,308441200,565,5.4,220,34500,216,98100,1334333000,1334333000,166391325,20100,1084400,0,0,0
2026-02-06,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,212,214,216,206,206,-6,770200,162209000,179,5.1,212,70000,206,5000,1334333000,1334333000,166391325,0,0,0,0,0
2026-02-05,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,210,210,212,204,212,2,286600,60198800,101,5.2,216,700,210,200,1334333000,1334333000,166391325,0,0,20999000,4409790000,1
2026-02-04,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,212,212,216,202,210,-2,158600,32817800,76,5.2,210,33800,204,300,1334333000,1334333000,166391325,0,66300,0,0,0
2026-02-03,ECII,Electronic City Indonesia Tbk.,--UO2130000000E742------------,202,208,212,200,212,10,138400,28741200,101,5.2,212,9000,210,100,1334333000,1334333000,166391325,0,13700,0,0,0
