Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-09,ETWA,Eterindo Wahanatama Tbk,--U-4100000000B111ME-L---Y---X,70,0,0,0,70,0,0,0,0,5.8,0,0,0,0,4668671400,4668671400,729246473,0,0,0,0,0
2026-03-06,ETWA,Eterindo Wahanatama Tbk,--U-4100000000B111ME-L---Y---X,70,0,0,0,70,0,0,0,0,5.8,0,0,0,0,4668671400,4668671400,729246473,0,0,0,0,0
2026-03-05,ETWA,Eterindo Wahanatama Tbk,--U-4100000000B111ME-L---Y---X,70,0,0,0,70,0,0,0,0,5.8,0,0,0,0,4668671400,4668671400,729246473,0,0,0,0,0
2026-03-04,ETWA,Eterindo Wahanatama Tbk,--U-4100000000B111ME-L---Y---X,70,0,0,0,70,0,0,0,0,5.8,0,0,0,0,4668671400,4668671400,729246473,0,0,0,0,0
2026-03-03,ETWA,Eterindo Wahanatama Tbk,--U-4100000000B111ME-L---Y---X,70,0,0,0,70,0,0,0,0,5.8,0,0,0,0,4668671400,4668671400,729246473,0,0,0,0,0
2026-03-02,ETWA,Eterindo Wahanatama Tbk,--U-4100000000B111ME-L---Y---X,70,0,0,0,70,0,0,0,0,5.8,0,0,0,0,4668671400,4668671400,729246473,0,0,0,0,0
2026-02-27,ETWA,Eterindo Wahanatama Tbk,--U-4100000000B111ME-L---Y---X,70,0,0,0,70,0,0,0,0,5.8,0,0,0,0,4668671400,4668671400,729246473,0,0,0,0,0
2026-02-26,ETWA,Eterindo Wahanatama Tbk,--U-4100000000B111ME-L---Y---X,70,0,0,0,70,0,0,0,0,5.8,0,0,0,0,4668671400,4668671400,729246473,0,0,0,0,0
2026-02-25,ETWA,Eterindo Wahanatama Tbk,--U-4100000000B111ME-L---Y---X,70,0,0,0,70,0,0,0,0,5.8,0,0,0,0,4668671400,4668671400,729246473,0,0,0,0,0
2026-02-24,ETWA,Eterindo Wahanatama Tbk,--U-4100000000B111ME-L---Y---X,70,0,0,0,70,0,0,0,0,5.8,0,0,0,0,4668671400,4668671400,729246473,0,0,0,0,0
2026-02-23,ETWA,Eterindo Wahanatama Tbk,--U-4100000000B111ME-L---Y---X,70,0,0,0,70,0,0,0,0,5.8,0,0,0,0,4668671400,4668671400,729246473,0,0,0,0,0
