Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-03-09,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-03-06,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-03-05,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-03-04,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-03-03,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-03-02,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-27,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-26,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-25,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-24,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-23,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-20,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-19,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-18,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-13,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-12,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-11,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-10,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-09,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-06,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-05,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-04,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-03,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-02-02,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-01-30,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-01-29,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-01-28,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-01-27,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-01-26,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-01-23,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
2026-01-22,GAMA,Aksara Global Development Tbk.,--U-4100000000H111---L---Y---X,18,0,0,0,18,0,0,0,0,17.1,0,0,0,0,10011027656,10011027656,6900601363,0,0,0,0,0
