Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,1525,0,1525,1500,1505,-20,7800,11705500,13,2614.7,1680,100,1500,200,1015380000,1015380000,94734954,0,6200,0,0,0
2026-03-09,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,1680,0,1680,1525,1525,-155,1800,2991500,8,2649.4,1615,100,1520,100,1015380000,1015380000,94734954,100,0,0,0,0
2026-03-06,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,1700,0,1700,1670,1680,-20,11100,18601500,12,2918.7,1680,700,1545,200,1015380000,1015380000,94734954,9700,0,0,0,0
2026-03-05,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,1435,0,1770,1415,1700,265,24900,40259500,96,2953.4,1700,100,1650,400,1015380000,1015380000,94734954,500,0,0,0,0
2026-03-04,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,1650,0,1650,1415,1435,-215,23700,35017000,102,2493.1,1475,1800,1435,1400,1015380000,1015380000,94734954,0,700,0,0,0
2026-03-03,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,1825,0,1810,1650,1650,-175,23800,41046500,64,2866.6,1695,300,1640,500,1015380000,1015380000,94734954,900,8700,0,0,0
2026-03-02,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,2000,2000,2000,1700,1825,-175,37800,68271500,133,3170.6,1825,600,1705,2400,1015380000,1015380000,94734954,7700,1300,0,0,0
2026-02-27,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,1990,0,2000,1980,2000,10,8500,16878000,33,3474.6,2000,4800,1980,1600,1015380000,1015380000,94734954,0,0,0,0,0
2026-02-26,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,2040,2010,2190,1990,1990,-50,54700,111673500,93,3457.3,2000,5400,1990,500,1015380000,1015380000,94734954,1900,5200,0,0,0
2026-02-25,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,2080,0,2110,2010,2040,-40,29400,60276000,87,3544.1,2040,1100,2010,1300,1015380000,1015380000,94734954,0,6000,0,0,0
2026-02-24,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,2130,0,2190,2080,2080,-50,22900,48220000,73,3613.6,2080,200,2060,200,1015380000,1015380000,94734954,4400,200,0,0,0
2026-02-23,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,2150,0,2230,2120,2130,-20,20500,43912000,68,3700.5,2150,1400,2130,200,1015380000,1015380000,94734954,0,0,0,0,0
2026-02-20,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,2200,2200,2200,2120,2150,-50,28800,62495000,72,3735.2,2170,1700,2150,200,1015380000,1015380000,94734954,7800,0,0,0,0
2026-02-19,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,2180,0,2250,2160,2200,20,25200,54945000,74,3822.1,2200,500,2180,100,1015380000,1015380000,94734954,0,0,0,0,0
2026-02-18,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,2210,2210,2230,2130,2180,-30,53400,115972000,139,3787.4,2220,5600,2180,11300,1015380000,1015380000,94734954,0,12200,0,0,0
2026-02-13,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,2280,2280,2290,2160,2210,-70,62100,137917000,188,3839.5,2210,300,2200,9900,1015380000,1015380000,94734954,0,700,0,0,0
2026-02-12,GMTD,Gowa Makassar Tourism Development Tbk.,--UO2135000000H111------------,2650,2680,2810,2260,2280,-370,545800,1302312000,1118,3961.1,2280,500,2270,1900,1015380000,1015380000,94734954,10500,10500,0,0,0
