Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,300,300,314,298,306,6,35312800,10832202800,5109,191.3,306,4000,304,53700,8680000000,8677101900,1159648000,2528800,2059700,0,0,0
2026-03-10,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,290,292,302,290,300,10,19594900,5872946200,4322,187.5,300,70400,298,112900,8680000000,8677101900,1159648000,981700,1079800,0,0,0
2026-03-09,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,312,274,298,268,290,-22,10875100,3156542800,1779,181.3,294,20800,290,400,8680000000,8677101900,1159648000,674500,2667200,0,0,0
2026-03-06,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,316,316,316,306,312,-4,1269800,394196800,248,195.0,312,94400,310,85700,8680000000,8677101900,1159648000,151800,260000,0,0,0
2026-03-05,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,306,306,322,306,316,10,25487300,8105203000,3093,197.5,316,183400,314,128100,8680000000,8677101900,1159648000,927200,1379400,0,0,0
2026-03-04,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,318,318,320,294,306,-12,10788000,3293058400,794,191.3,306,17500,304,120000,8680000000,8677101900,1159648000,2125000,2271200,0,0,0
2026-03-03,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,304,304,326,296,318,14,25278300,8032955000,2671,198.8,318,37300,316,73500,8680000000,8677101900,1159648000,3157800,2154900,0,0,0
2026-03-02,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,336,322,328,304,304,-32,7694800,2438766600,1259,190.0,304,100300,302,52000,8680000000,8677101900,1159648000,1813600,2496200,0,0,0
2026-02-27,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,340,336,340,328,336,-4,24563100,8265665800,2643,210.0,336,65600,334,53100,8680000000,8677101900,1159648000,1134200,1448400,0,0,0
2026-02-26,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,344,344,354,334,340,-4,34108500,11888387000,3084,212.5,340,11100,338,127400,8680000000,8677101900,1159648000,4742400,3686700,0,0,0
2026-02-25,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,332,332,344,324,344,12,36340500,12239175400,3937,215.0,344,381900,342,65000,8680000000,8677101900,1159648000,4741800,2122000,0,0,0
2026-02-24,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,352,354,354,330,332,-20,8827800,2996810000,1537,207.5,332,301500,330,246200,8680000000,8677101900,1159648000,3542600,1170400,0,0,0
2026-02-23,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,328,326,362,326,352,24,39976000,13469800800,4378,220.0,352,54100,350,177100,8680000000,8677101900,1159648000,2958700,4123500,0,0,0
2026-02-20,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,330,330,330,322,328,-2,25324900,8318541000,2698,205.0,328,100,326,50000,8680000000,8677101900,1159648000,2918900,133600,0,0,0
2026-02-19,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,330,330,336,322,330,0,29024800,9547220800,2664,206.3,330,150400,328,258200,8680000000,8677101900,1159648000,2014600,552600,0,0,0
2026-02-18,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,328,328,332,318,330,2,37628100,12430477600,2831,206.3,330,61300,326,101700,8680000000,8677101900,1159648000,2001000,1045400,0,0,0
2026-02-13,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,338,336,336,324,328,-10,4333000,1418194200,655,205.0,328,48500,326,38500,8680000000,8677101900,1159648000,1647100,385100,0,0,0
2026-02-12,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,338,344,346,332,338,0,28810900,9733528600,2148,211.3,338,113200,336,31900,8680000000,8677101900,1159648000,3353200,767100,0,0,0
2026-02-11,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,330,330,338,324,338,8,39470700,13122905600,4416,211.3,338,163700,336,110200,8680000000,8677101900,1159648000,4120500,5268800,0,0,0
2026-02-10,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,330,330,338,324,330,0,34224600,11410260400,4281,206.3,330,900,328,23700,8680000000,8677101900,1159648000,4106700,517800,0,0,0
2026-02-09,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,320,320,330,314,330,10,30947300,10081848400,3229,206.3,330,53300,328,55700,8680000000,8677101900,1159648000,1352300,843800,0,0,0
2026-02-06,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,326,308,326,308,320,-6,3089900,979978800,285,200.0,320,62600,318,100300,8680000000,8677101900,1159648000,516500,1121600,0,0,0
2026-02-05,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,330,330,330,320,326,-4,1335700,434993200,184,203.8,326,2400,324,105100,8680000000,8677101900,1159648000,627000,135200,0,0,0
2026-02-04,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,332,332,332,320,330,-2,3128100,1021313000,471,206.3,330,90000,328,104000,8680000000,8677101900,1159648000,1414400,287500,0,0,0
2026-02-03,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,320,316,336,306,332,12,56925400,18573862000,4433,207.5,332,713300,330,329800,8680000000,8677101900,1159648000,5444500,2785400,0,0,0
2026-02-02,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,342,342,342,304,320,-22,10207100,3242274400,997,200.0,320,453500,318,125800,8680000000,8677101900,1159648000,4711700,3015000,0,0,0
2026-01-30,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,336,330,344,320,342,6,19308800,6493157400,1130,213.8,342,33600,340,85100,8680000000,8677101900,1159648000,6125700,1649300,0,0,0
2026-01-29,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,338,336,336,288,336,-2,14039500,4356745600,1010,210.0,336,103800,334,100000,8680000000,8677101900,1159648000,5872700,4582000,0,0,0
2026-01-28,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,342,338,338,292,338,-4,9442200,2912092000,1097,211.3,338,53300,330,106700,8680000000,8677101900,1159648000,2756400,4133200,0,0,0
2026-01-27,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,350,350,350,336,342,-8,20410700,7065879000,1742,213.8,342,297000,338,22000,8680000000,8677101900,1159648000,4055800,2699400,0,0,0
2026-01-26,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,346,346,358,330,350,4,53809000,18509173200,4059,218.8,350,557600,348,700000,8680000000,8677101900,1159648000,6801800,1350600,0,0,0
2026-01-23,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,346,346,346,326,346,0,4862900,1637683400,577,216.3,346,273300,344,128100,8680000000,8677101900,1159648000,1657100,1046700,0,0,0
2026-01-22,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,346,348,348,332,346,0,8358600,2837149600,801,216.3,346,15400,344,146200,8680000000,8677101900,1159648000,2257900,726500,0,0,0
2026-01-21,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,360,360,360,340,346,-14,6108900,2134430000,635,216.3,346,111200,344,50000,8680000000,8677101900,1159648000,1665600,1685600,0,0,0
2026-01-20,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,358,358,370,350,360,2,53451500,19316392800,4581,225.0,360,524700,358,611200,8680000000,8677101900,1159648000,6316300,4996300,0,0,0
2026-01-19,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,368,368,370,352,358,-10,19923100,7204565000,1321,223.8,358,75600,356,112600,8680000000,8677101900,1159648000,2191400,3266400,0,0,0
2026-01-15,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,364,364,370,348,368,4,32220200,11704989400,3181,230.0,368,251700,366,222200,8680000000,8677101900,1159648000,3301100,1640500,0,0,0
2026-01-14,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,350,368,368,336,364,14,29089900,10228906600,3509,227.5,366,5200,364,4990300,8680000000,8677101900,1159648000,7076100,2534500,0,0,0
2026-01-13,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,372,342,354,320,350,-22,38230100,12849318600,3810,218.8,350,194800,348,231600,8680000000,8677101900,1159648000,4851100,14621400,0,0,0
2026-01-12,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,436,438,440,372,372,-64,40853300,15894434400,4977,232.5,372,5964200,0,0,8680000000,8677101900,1159648000,8451200,1684800,0,0,0
2026-01-09,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,422,422,440,422,436,14,77888100,33417003200,8548,272.5,436,53700,434,66100,8680000000,8677101900,1159648000,2501600,5432100,0,0,0
2026-01-08,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,428,428,428,414,422,-6,5313800,2225259800,515,263.8,422,266100,420,130800,8680000000,8677101900,1159648000,834700,509500,0,0,0
2026-01-07,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,428,428,430,420,428,0,7495000,3184339000,1024,267.5,428,48500,426,50000,8680000000,8677101900,1159648000,1485600,1176500,0,0,0
2026-01-06,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,424,424,430,416,428,4,39695600,16801735400,4302,267.5,428,128400,426,22300,8680000000,8677101900,1159648000,1025700,6344600,0,0,0
2026-01-05,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,420,420,430,416,424,4,44195800,18689871000,3486,265.0,424,99500,422,224700,8680000000,8677101900,1159648000,8315500,5940300,0,0,0
2026-01-02,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,414,414,424,408,420,6,43689800,18267642800,3907,262.5,420,10900,418,342200,8680000000,8677101900,1159648000,4083300,3559900,0,0,0
2025-12-30,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,422,416,422,408,414,-8,17669100,7348072200,1228,258.8,414,162900,412,101500,8680000000,8677101900,1227352000,1361300,914800,0,0,0
2025-12-29,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,404,404,432,402,422,18,52131800,21804077600,4681,263.8,422,1354600,420,393900,8680000000,8677101900,1227352000,11655700,9670400,0,0,0
2025-12-24,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,404,404,404,400,404,0,13445700,5400370400,1612,252.5,404,192100,402,50500,8680000000,8677101900,1227352000,238700,757300,0,0,0
2025-12-23,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,404,402,404,398,404,0,12725800,5123616400,1453,252.5,404,259800,402,53000,8680000000,8677101900,1227352000,893300,478700,0,0,0
2025-12-22,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,408,410,412,390,404,-4,12315500,4930535000,740,252.5,404,178700,402,97500,8680000000,8677101900,1227352000,3841700,1724800,0,0,0
2025-12-19,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,408,408,414,404,408,0,22389800,9114763200,1709,255.0,408,69000,406,100100,8680000000,8677101900,1227352000,1063700,563400,0,0,0
2025-12-18,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,408,408,410,402,408,0,32193400,13100018800,1636,255.0,408,94600,406,201500,8680000000,8677101900,1227352000,158100,430000,0,0,0
2025-12-17,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,408,406,410,398,408,0,20729400,8433790600,3141,255.0,408,134400,406,46600,8680000000,8677101900,1227352000,889600,2002700,0,0,0
2025-12-16,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,418,418,418,402,408,-10,19444900,7978353200,2927,255.0,408,33200,406,70800,8680000000,8677101900,1227352000,4306800,605200,0,0,0
2025-12-15,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,396,396,420,396,418,22,88927400,36759354200,6764,261.3,418,1700,416,87600,8680000000,8677101900,1227352000,3786000,14344600,0,0,0
2025-12-12,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,396,396,396,390,396,0,12816000,5048639400,869,247.5,396,165100,394,622800,8680000000,8677101900,1227352000,991900,793900,0,0,0
2025-12-11,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,398,400,400,384,396,-2,11700000,4610380400,1300,247.5,396,16000,394,102300,8680000000,8677101900,1227352000,2961800,2058400,0,0,0
2025-12-10,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,410,410,410,398,398,-12,28258600,11434394200,1737,248.8,398,41400,396,617500,8680000000,8677101900,1227352000,4407600,679300,0,0,0
2025-12-09,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,402,402,414,394,410,8,38602100,15687621600,4462,256.3,410,843100,408,166400,8680000000,8677101900,1227352000,3034000,7979200,0,0,0
2025-12-08,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,402,402,404,392,402,0,24287700,9715108800,2286,251.3,402,214400,400,150000,8680000000,8677101900,1227352000,1721900,2485000,0,0,0
2025-12-05,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,398,398,408,396,402,4,40121400,16108363600,4154,251.3,402,11900,400,202500,8680000000,8677101900,1227352000,2365400,3778300,0,0,0
2025-12-04,HATM,Habco Trans Maritima Tbk.,--MO1135000000K211------------,398,398,400,390,398,0,30205800,11941382200,4579,248.8,400,248900,398,2035300,8680000000,8677101900,1227352000,645700,6332900,0,0,0
