Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,58,58,60,56,57,-1,17801900,1013408300,603,10.9,58,589100,56,352900,1524680000,1524680000,725137808,363700,2350900,0,0,0
2026-03-11,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,61,61,63,57,58,-3,11996100,704835000,788,11.0,59,661200,58,570000,1524680000,1524680000,725137808,422100,175600,0,0,0
2026-03-10,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,56,58,66,57,61,5,42630400,2638979400,2714,11.6,61,326000,60,54900,1524680000,1524680000,725137808,3057100,1858500,0,0,0
2026-03-09,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,62,55,59,53,56,-6,13066900,732459600,772,10.7,57,10000,56,103600,1524680000,1524680000,725137808,672200,2276300,0,0,0
2026-03-06,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,64,64,64,59,62,-2,8438600,517017300,547,11.8,63,473800,60,65400,1524680000,1524680000,725137808,105300,95200,0,0,0
2026-03-05,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,61,62,66,62,64,3,12575200,799067300,673,12.2,64,68200,63,310200,1524680000,1524680000,725137808,630100,727900,0,0,0
2026-03-04,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,68,69,69,58,61,-7,30585800,1870273900,1673,11.6,61,299700,60,220700,1524680000,1524680000,725137808,1614500,2167200,0,0,0
2026-03-03,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,68,68,71,66,68,0,10586900,717387500,913,13.0,69,608800,68,154500,1524680000,1524680000,725137808,1347700,137600,0,0,0
2026-03-02,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,74,70,72,65,68,-6,25486400,1740188100,1757,13.0,68,222600,67,818900,1524680000,1524680000,725137808,1047100,3055300,0,0,0
2026-02-27,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,74,74,75,71,74,0,13562700,985075100,1218,14.1,74,175600,73,526000,1524680000,1524680000,725137808,156800,565000,0,0,0
2026-02-26,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,78,78,80,73,74,-4,38979500,2971748500,3495,14.1,75,129300,74,378100,1524680000,1524680000,725137808,3533400,1395900,0,0,0
2026-02-25,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,80,82,83,77,78,-2,48211000,3802469200,3973,14.9,78,103000,77,1085600,1524680000,1524680000,725137808,2823800,3000800,0,0,0
2026-02-24,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,76,78,88,76,80,4,211942000,17511846800,10764,15.2,81,1161600,80,1313900,1524680000,1524680000,725137808,6499000,6673900,0,0,0
2026-02-23,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,76,76,79,73,76,0,24934100,1886646600,2110,14.5,76,322500,75,1806300,1524680000,1524680000,725137808,1309200,2415100,0,0,0
2026-02-20,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,81,82,84,74,76,-5,71459500,5502004100,5737,14.5,76,1577200,75,380800,1524680000,1524680000,725137808,3699200,2902000,0,0,0
2026-02-19,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,68,67,90,67,81,13,459225700,37641880200,26033,15.4,82,356300,81,71500,1524680000,1524680000,725137808,14515400,14668800,0,0,0
2026-02-18,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,68,67,70,66,68,0,10920400,742368500,902,13.0,69,810000,68,267900,1524680000,1524680000,725137808,297400,1578800,0,0,0
2026-02-13,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,70,70,71,68,68,-2,11427600,789887500,823,13.0,68,1135600,67,1678900,1524680000,1524680000,725137808,77300,288700,0,0,0
2026-02-12,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,70,70,72,69,70,0,19579800,1377530800,1184,13.3,71,960500,70,316300,1524680000,1524680000,725137808,1454200,746400,0,0,0
2026-02-11,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,69,69,74,68,70,1,38362100,2714450200,2231,13.3,70,118500,69,1474800,1524680000,1524680000,725137808,2716700,2935500,0,0,0
2026-02-10,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,68,68,72,67,69,1,28083700,1943738100,2394,13.1,69,381500,68,1103900,1524680000,1524680000,725137808,745900,1144400,0,0,0
2026-02-09,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,67,67,71,66,68,1,16786200,1137339000,1809,13.0,69,1624400,68,144700,1524680000,1524680000,725137808,730200,286500,0,0,0
2026-02-06,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,65,65,72,63,67,2,37737700,2567132700,3588,12.8,68,674200,67,111000,1524680000,1524680000,725137808,2589000,3142800,0,0,0
2026-02-05,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,63,63,72,63,65,2,49009200,3324132000,3360,12.4,66,771000,65,1568700,1524680000,1524680000,725137808,2365400,2320000,0,0,0
2026-02-04,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,64,65,67,62,63,-1,10247300,655209300,901,12.0,64,266500,63,14500,1524680000,1524680000,725137808,326300,138700,0,0,0
2026-02-03,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,63,64,68,59,64,1,13781600,880503600,1373,12.2,65,99900,64,265800,1524680000,1524680000,725137808,1242600,1140700,0,0,0
2026-02-02,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,72,73,73,62,63,-9,20291100,1314987000,1796,12.0,64,206500,63,1349500,1524680000,1524680000,725137808,2340400,1224300,0,0,0
2026-01-30,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,66,67,75,67,72,6,39920700,2849375000,2686,13.7,72,47700,71,299200,1524680000,1524680000,725137808,3518700,918500,0,0,0
2026-01-29,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,71,66,69,61,66,-5,49955600,3147626500,2050,12.6,67,247000,66,8337700,1524680000,1524680000,725137808,1606700,2957800,0,0,0
2026-01-28,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,81,79,80,69,71,-10,52007000,3761888500,3074,13.5,71,2214500,70,299000,1524680000,1524680000,725137808,1207600,2258700,0,0,0
2026-01-27,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,80,82,87,76,81,1,67622300,5552502100,4317,15.4,81,966900,80,175700,1524680000,1524680000,725137808,3227300,4036300,0,0,0
2026-01-26,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,81,81,92,79,80,-1,118936100,10169024000,7166,15.2,81,522600,80,825300,1524680000,1524680000,725137808,4846900,4709500,0,0,0
2026-01-23,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,90,90,90,79,81,-9,81868500,6686768700,4827,15.4,81,307700,80,62800,1524680000,1524680000,725137808,1105100,1323200,0,0,0
2026-01-22,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,105,100,111,90,90,-15,684497200,66335967100,34762,17.1,90,7926800,0,0,1524680000,1524680000,725137808,13045700,13790400,0,0,0
2026-01-21,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,82,83,110,81,105,23,781938800,78353074900,28475,20.0,105,13984100,104,1666400,1524680000,1524680000,725137808,13488200,12649700,0,0,0
2026-01-20,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,85,86,88,81,82,-3,56745800,4816578800,4110,15.6,83,22000,82,1245400,1524680000,1524680000,725137808,1278200,1793200,0,0,0
2026-01-19,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,77,77,92,73,85,8,248346000,21109629600,12891,16.2,86,1070100,85,4222000,1524680000,1524680000,725137808,5159000,5520600,0,0,0
2026-01-15,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,77,80,81,76,77,0,34468300,2687051100,2314,14.7,77,99900,76,1012800,1524680000,1524680000,725137808,1200000,16400,0,0,0
2026-01-14,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,72,73,80,71,77,5,106800900,8235849300,4689,14.7,78,1333700,77,1614500,1524680000,1524680000,725137808,2239000,3399900,0,0,0
2026-01-13,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,72,72,73,71,72,0,7870700,566400800,654,13.7,72,117700,71,196200,1524680000,1524680000,725137808,46800,42300,0,0,0
2026-01-12,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,73,73,74,71,72,-1,17060800,1238943400,1070,13.7,73,1566600,72,1400,1524680000,1524680000,725137808,30900,50400,0,0,0
2026-01-09,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,74,74,75,72,73,-1,9402400,688236100,549,13.9,74,1047200,73,1293800,1524680000,1524680000,725137808,50700,22700,0,0,0
2026-01-08,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,73,73,74,72,74,1,9949200,727040100,1206,14.1,74,1414100,73,121400,1524680000,1524680000,725137808,23000,37000,0,0,0
2026-01-07,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,73,73,78,72,73,0,32621500,2434141200,2534,13.9,74,541700,73,45200,1524680000,1524680000,725137808,1171100,680400,0,0,0
2026-01-06,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,73,73,76,70,73,0,29679400,2165604100,2044,13.9,73,54100,72,187800,1524680000,1524680000,725137808,1098100,196100,0,0,0
2026-01-05,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,75,75,76,72,73,-2,18748800,1373476700,1686,13.9,74,1827600,73,233500,1524680000,1524680000,725137808,120900,67700,0,0,0
2026-01-02,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,75,75,78,74,75,0,22634800,1711883200,2155,14.3,76,1158100,75,566600,1524680000,1524680000,725137808,216800,209300,0,0,0
2025-12-30,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,75,75,76,73,75,0,13315900,986969700,1548,14.3,75,2273700,74,439600,1524680000,1524680000,726510020,142900,290700,0,0,0
2025-12-29,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,72,73,76,72,75,3,19096200,1414278600,2422,14.3,75,62100,74,101800,1524680000,1524680000,726510020,371100,240700,0,0,0
2025-12-24,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,77,77,79,72,72,-5,28301900,2136803600,3523,13.7,73,28900,72,270400,1524680000,1524680000,726510020,859300,959900,0,0,0
2025-12-23,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,71,71,85,70,77,6,258488600,20811337100,20151,14.7,78,934700,77,1405400,1524680000,1524680000,726510020,5435000,6730400,0,0,0
2025-12-22,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,74,72,81,70,71,-3,40226900,2996292900,3470,13.5,72,19600,71,691300,1524680000,1524680000,726510020,1065100,1079300,0,0,0
2025-12-19,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,77,78,78,72,74,-3,11266700,841578900,1325,14.1,74,412300,73,976500,1524680000,1524680000,726510020,70200,6300,0,0,0
2025-12-18,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,79,79,81,75,77,-2,22920200,1794895400,2267,14.7,78,176500,77,3500,1524680000,1524680000,726510020,119000,73400,0,0,0
2025-12-17,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,80,80,86,78,79,-1,38554600,3142802500,3568,15.0,80,1101000,79,109700,1524680000,1524680000,726510020,234300,188400,0,0,0
2025-12-16,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,77,77,91,72,80,3,145983400,12215004000,10889,15.2,81,1193700,80,1030200,1524680000,1524680000,726510020,96200,207300,0,0,0
2025-12-15,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,90,89,90,77,77,-13,87333800,6978708600,5522,14.7,78,256500,77,124800,1524680000,1524680000,726510020,125100,117500,0,0,0
2025-12-12,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,92,93,95,90,90,-2,30634300,2801396300,2014,17.1,91,94500,90,1521900,1524680000,1524680000,726510020,213900,125100,0,0,0
2025-12-11,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,91,92,97,90,92,1,101391700,9462720300,7985,17.5,93,2158800,92,340100,1524680000,1524680000,726510020,150500,199200,0,0,0
2025-12-10,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,91,92,97,90,91,0,81469400,7570917100,5428,17.3,92,1337300,91,294500,1524680000,1524680000,726510020,98800,54000,0,0,0
2025-12-09,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,91,93,101,87,91,0,152531500,14399622900,10311,17.3,92,564200,91,2606100,1524680000,1524680000,726510020,101900,189400,0,0,0
2025-12-08,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,91,93,95,90,91,0,47482100,4377050900,6256,17.3,92,617400,91,147100,1524680000,1524680000,726510020,59600,290600,0,0,0
2025-12-05,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,92,93,101,89,91,-1,168988100,16058374700,12839,17.3,92,251400,91,441700,1524680000,1524680000,726510020,142000,129500,0,0,0
2025-12-04,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,99,99,101,86,92,-7,117129600,10997074800,9261,17.5,93,951900,92,2605600,1524680000,1524680000,726510020,15000,58200,0,0,0
2025-12-03,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,92,95,110,91,99,7,504281600,51511401700,29915,18.9,100,895900,99,1119100,1524680000,1524680000,726510020,164700,20200,0,0,0
2025-12-02,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,87,87,106,81,92,5,521531600,51244288700,30050,17.5,92,16500,91,279700,1524680000,1524680000,726510020,167000,31600,0,0,0
2025-12-01,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,73,70,96,65,87,14,622281700,53891499500,32486,16.6,87,365100,86,875700,1524680000,1524680000,726510020,111300,111500,0,0,0
2025-11-28,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,60,66,80,54,73,13,426845300,31136882300,20973,13.9,73,699400,72,710800,1524680000,1524680000,726510020,121600,0,0,0,0
2025-11-27,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,61,0,60,59,60,-1,12824700,767350400,360,11.4,60,9285600,59,313200,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-26,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,59,0,61,54,61,2,17827800,1003447500,512,11.6,61,9299600,60,32200,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-25,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,60,0,60,57,59,-1,11236800,656328700,329,11.2,59,695900,58,511300,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-24,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,59,0,63,60,60,1,11278400,696644200,495,11.4,60,3297300,59,1066600,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-22,HDIT,Hensel Davest Indonesia Tbk.,--UO2130000000I111------------,62,55,59,53,56,-6,13066900,732459600,772,10.7,57,10000,56,103600,1524680000,1524680000,725137808,672200,2276300,0,0,0
2025-11-21,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,58,0,59,58,59,1,2896300,168915200,153,11.2,59,112300,58,1084400,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-20,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,60,0,61,58,58,-2,6425900,377709400,260,11.0,58,960900,57,2552000,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-19,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,57,0,61,60,60,3,6832800,411907500,275,11.4,60,3500,59,95700,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-18,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,60,0,57,56,57,-3,8016500,456031900,249,10.9,58,3200,57,13329300,1524680000,1524680000,726510020,0,200000,0,0,0
2025-11-17,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,55,0,60,60,60,5,16939400,1016364000,287,11.4,0,0,60,4212500,1524680000,1524680000,726510020,500000,0,0,0,0
2025-11-14,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,53,0,55,55,55,2,5184700,285158500,187,10.5,55,754800,54,3523800,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-13,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,56,0,55,53,53,-3,3939900,212404800,224,10.1,54,322200,53,2015800,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-12,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,57,0,56,52,56,-1,10826400,579754500,363,10.7,56,144900,55,20000,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-11,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,52,0,57,57,57,5,4920600,280474200,130,10.9,0,0,57,9803800,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-10,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,48,0,52,52,52,4,2335900,121466800,103,9.9,0,0,52,8786600,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-07,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,44,0,48,44,48,4,3055900,141456800,158,9.1,0,0,48,7831800,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-06,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,48,0,47,44,44,-4,3901000,178624100,194,8.4,46,1800400,44,761800,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-05,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,47,0,48,47,48,1,1936500,92241800,121,9.1,48,719800,47,4466200,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-04,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,47,0,50,47,47,0,4108800,193907800,240,9.0,48,300,47,282600,1524680000,1524680000,726510020,0,0,0,0,0
2025-11-03,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,43,0,47,39,47,4,12926800,548795400,522,9.0,0,0,47,100000,1524680000,1524680000,726510020,0,0,0,0,0
2025-10-31,HDIT,Hensel Davest Indonesia Tbk.,--U-4130000000I111-----------X,47,0,44,43,43,-4,12084300,522729600,431,8.2,43,3035100,0,0,1524680000,1524680000,726510020,0,0,0,0,0
