Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,ICON,Island Concepts Indonesia Tbk.,--UO2130000000C224------------,110,110,116,100,105,-5,46572000,5072857500,3070,201.6,105,829900,104,39900,1089750000,1089750000,308181300,263700,691000,0,0,0
2026-03-11,ICON,Island Concepts Indonesia Tbk.,--UO2130000000C224------------,123,127,149,109,110,-13,275134400,36833315500,16509,211.1,111,15300,110,3100000,1089750000,1089750000,308181300,3254500,2790400,0,0,0
2026-03-10,ICON,Island Concepts Indonesia Tbk.,--UO2130000000C224------------,120,121,123,111,123,3,24770000,2937372300,1899,236.1,124,1200200,123,5027300,1089750000,1089750000,308181300,758400,593000,0,0,0
2026-03-09,ICON,Island Concepts Indonesia Tbk.,--UO2130000000C224------------,125,116,138,110,120,-5,203665500,25253250500,11868,230.3,120,524200,119,33160800,1089750000,1089750000,308181300,3850000,3552200,0,0,0
2026-03-06,ICON,Island Concepts Indonesia Tbk.,--UO2130000000C224------------,113,108,128,106,125,12,173551700,21048023800,9521,239.9,125,711300,124,27985500,1089750000,1089750000,308181300,4469300,4523500,0,0,0
2026-03-05,ICON,Island Concepts Indonesia Tbk.,--UO2130000000C224------------,97,93,116,91,113,16,115812000,12380689700,7461,216.9,113,1725600,112,92200,1089750000,1089750000,308181300,567600,1388600,0,0,0
2026-03-04,ICON,Island Concepts Indonesia Tbk.,--UO2130000000C224------------,114,111,133,97,97,-17,182035100,21116750500,9910,186.2,97,766800,0,0,1089750000,1089750000,308181300,870900,985700,0,0,0
2026-03-03,ICON,Island Concepts Indonesia Tbk.,--UO2130000000C224------------,111,110,119,95,114,3,120384400,12531542400,4697,218.8,114,556600,113,55800,1089750000,1089750000,308181300,0,15200,0,0,0
2026-03-02,ICON,Island Concepts Indonesia Tbk.,--UO2130000000C224------------,130,116,144,111,111,-19,95823600,11330773000,5885,213.1,111,5763300,0,0,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-27,ICON,Island Concepts Indonesia Tbk.,--UO2130000000C224------------,135,117,173,115,130,-5,204630000,29080174900,15291,249.5,130,61500,129,1333300,1089750000,1089750000,308181300,100,0,0,0,0
2026-02-26,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,123,0,135,132,135,12,7031500,946160000,640,259.1,0,0,135,644400,1089750000,1089750000,308181300,0,100,0,0,0
2026-02-25,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,113,0,123,120,123,10,3870700,469270500,341,236.1,123,855900,120,25300,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-24,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,103,0,113,103,113,10,5094000,545091700,269,216.9,0,0,113,219200,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-23,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,100,0,104,103,103,3,2578600,267792300,231,197.7,104,1504400,103,51000,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-20,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,93,0,100,100,100,7,5071300,507130000,241,192.0,101,269900,100,28700,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-19,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,93,0,98,93,93,0,1258600,119303400,138,178.5,95,10000,93,86200,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-18,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,85,0,93,92,93,8,2524300,234548900,166,178.5,0,0,93,129600,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-13,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,82,0,87,85,85,3,645700,54982700,65,163.2,86,15600,85,40400,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-12,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,85,0,85,82,82,-3,556800,45708500,135,157.4,84,52400,82,212100,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-11,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,85,0,90,85,85,0,602600,52037100,81,163.2,88,47300,85,83000,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-10,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,79,0,85,82,85,6,757000,63588300,84,163.2,85,422800,84,203700,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-09,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,78,0,79,78,79,1,946300,74658900,64,151.6,80,8200,79,161700,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-06,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,80,0,80,74,78,-2,419500,32521800,52,149.7,79,3500,75,12000,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-05,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,82,0,82,80,80,-2,863500,69787300,49,153.6,80,43100,79,100,1089750000,1089750000,308181300,0,0,0,0,0
2026-02-04,ICON,Island Concepts Indonesia Tbk.,--U-4130000000C224-----------X,81,0,83,81,82,1,527700,43571500,67,157.4,82,13300,81,22900,1089750000,1089750000,308181300,0,0,0,0,0
