Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,115,0,126,115,124,9,19102600,2354906500,1306,88.6,124,1023900,123,25300,1062437500,1062437500,0,6349300,9806700,0,0,0
2026-03-10,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,114,0,120,108,115,1,6304400,734676600,511,82.1,115,10300,114,1400,1062437500,1062437500,0,1684900,2991400,0,0,0
2026-03-09,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,126,0,127,114,114,-12,9695100,1109279100,427,81.4,114,1600,0,0,1062437500,1062437500,0,1368200,2159200,0,0,0
2026-03-06,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,135,0,136,126,126,-9,11021900,1447855600,584,90.0,126,83200,125,107800,1062437500,1062437500,0,5854000,5235500,0,0,0
2026-03-05,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,137,0,149,126,135,-2,10393700,1373110000,730,96.4,135,264000,134,70800,1062437500,1062437500,0,4573500,4130700,0,0,0
2026-03-04,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,136,0,140,123,137,1,10955300,1404265100,555,97.9,137,92100,136,24300,1062437500,1062437500,0,2413600,2036600,0,0,0
2026-03-03,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,133,0,141,130,136,3,4694800,640264200,429,97.1,136,152500,135,3200,1062437500,1062437500,0,1631700,866700,50000000,2550000000,1
2026-03-02,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,134,0,134,121,133,-1,12153800,1536139400,536,95.0,133,118500,129,200000,1062437500,1062437500,0,389100,407300,0,0,0
2026-02-27,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,134,0,136,125,134,0,5480000,721395400,540,95.7,134,184400,130,14000,1062437500,1062437500,0,2418800,1609000,0,0,0
2026-02-26,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,135,0,140,124,134,-1,18516700,2460837000,1242,95.7,134,218500,133,2000,1062437500,1062437500,0,11166700,5702300,0,0,0
2026-02-25,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,150,0,150,135,135,-15,16322800,2215778200,1115,96.4,135,186300,0,0,1062437500,1062437500,0,4744800,6540200,0,0,0
2026-02-24,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,156,0,158,142,150,-6,14510400,2190297900,733,107.1,152,49500,150,442100,1062437500,1062437500,0,1945800,4184000,0,0,0
2026-02-23,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,155,0,159,149,156,1,10740100,1665999500,794,111.4,156,511500,155,2800,1062437500,1062437500,0,6489000,6470200,0,0,0
2026-02-20,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,150,0,160,142,155,5,11887800,1809695900,1312,110.7,155,359000,150,79500,1062437500,1062437500,0,656000,3179700,0,0,0
2026-02-19,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,166,0,180,150,150,-16,41788000,6723110100,3206,107.1,150,138000,0,0,1062437500,1062437500,0,5377300,19457900,0,0,0
2026-02-18,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,151,0,166,151,166,15,25101100,4138971400,1837,118.6,0,0,166,1047900,1062437500,1062437500,0,7373100,4014300,0,0,0
2026-02-13,IDEA,Idea Indonesia Akademi Tbk.,--U-3000000000E521------------,138,0,151,142,151,13,23471200,3526701200,1246,107.9,0,0,151,3919600,1062437500,1062437500,0,3557200,9925800,25000000,3750000000,1
