Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-03-10,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-03-09,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-03-06,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-03-05,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-03-04,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-03-03,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-03-02,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-02-27,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-02-26,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-02-25,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-02-24,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-02-23,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-02-20,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-02-19,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
2026-02-18,INAF,Indofarma Tbk.,--U-4100000000F211-E---------X,126,0,0,0,126,0,0,0,0,50.4,0,0,0,0,3099267500,3099267500,371602173,0,0,0,0,0
