Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,81,0,81,78,80,-1,1015200,81910300,83,56.4,80,81900,79,150500,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-11,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,79,0,85,79,81,2,1663300,140077700,94,57.1,81,406800,80,13000,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-10,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,80,0,82,75,79,-1,1899000,149471600,137,55.7,79,83500,78,172300,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-09,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,88,0,80,80,80,-8,4329000,346320000,106,56.4,80,1638500,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-06,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,90,0,89,86,88,-2,1013300,89388500,77,62.0,88,106900,86,708500,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-05,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,86,0,92,86,90,4,1690900,148467000,128,63.4,90,126700,86,666200,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-04,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,95,0,90,86,86,-9,2674000,231591300,180,60.6,87,39900,86,16198200,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-03,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,90,0,98,81,95,5,5940500,558188500,181,67.0,95,687700,91,1000,3343935022,3343935022,948005579,0,0,0,0,0
2026-03-02,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,99,0,90,90,90,-9,4137200,372348000,195,63.4,90,1666100,0,0,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-27,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,96,0,100,93,99,3,2613100,255763600,126,69.8,99,272600,97,5000,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-26,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,96,0,99,96,96,0,2540400,248754400,160,67.7,98,641600,95,1300,3343935022,3343935022,948005579,0,0,0,0,0
2026-02-25,INTA,Intraco Penta Tbk.,--U-4100000000C141-E---------X,93,0,97,95,96,3,2108500,202001800,134,67.7,97,70700,96,224700,3343935022,3343935022,948005579,0,0,0,0,0
