Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,112,114,115,100,104,-8,14424300,1552030600,1058,35.8,105,51900,104,10500,1075862960,1075862960,642182601,941000,2568400,0,0,0
2026-03-11,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,116,118,124,112,112,-4,25346700,3009487500,2140,38.5,113,90900,112,535400,1075862960,1075862960,642182601,6054600,2950000,0,0,0
2026-03-10,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,106,110,122,110,116,10,37877600,4438996800,3445,39.9,117,16200,116,147900,1075862960,1075862960,642182601,6612000,6026400,0,0,0
2026-03-09,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,116,116,116,100,106,-10,12068200,1277013900,1143,36.4,108,62500,106,51200,1075862960,1075862960,642182601,2472500,3971300,0,0,0
2026-03-06,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,120,114,120,114,116,-4,11451400,1335432700,947,39.9,117,166200,116,28700,1075862960,1075862960,642182601,1595700,2548600,0,0,0
2026-03-05,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,109,111,133,111,120,11,55168700,6809365200,5788,41.3,121,233300,120,1978100,1075862960,1075862960,642182601,13867300,7743600,0,0,0
2026-03-04,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,122,117,122,109,109,-13,20834800,2376580000,1937,37.5,109,90700,108,146100,1075862960,1075862960,642182601,2968300,8010100,0,0,0
2026-03-03,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,123,123,130,116,122,-1,23132400,2870233100,2611,41.9,123,2000,122,86400,1075862960,1075862960,642182601,7515600,5678700,0,0,0
2026-03-02,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,144,140,147,123,123,-21,52167200,6947908900,4441,42.3,123,226400,0,0,1075862960,1075862960,642182601,6692700,7470000,0,0,0
2026-02-27,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,140,140,153,135,144,4,42184900,6076945900,4300,49.5,144,1800,143,56500,1075862960,1075862960,642182601,7550300,6990200,0,0,0
2026-02-26,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,149,151,162,140,140,-9,90530000,13748957200,7398,48.1,141,33200,140,725700,1075862960,1075862960,642182601,13725300,12400000,0,0,0
2026-02-25,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,156,155,157,145,149,-7,89273300,13355445600,6978,51.2,149,834300,148,297500,1075862960,1075862960,642182601,10849500,15700900,0,0,0
2026-02-24,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,151,155,178,151,156,5,423917400,69775368100,33515,53.6,156,4254600,155,534300,1075862960,1075862960,642182601,53441500,40047100,0,0,0
2026-02-23,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,133,133,152,133,151,18,183760400,26658980600,14207,51.9,152,1137500,151,58800,1075862960,1075862960,642182601,15978600,30769800,0,0,0
2026-02-20,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,137,138,139,131,133,-4,25785500,3449182200,2450,45.7,134,393000,133,619800,1075862960,1075862960,642182601,3895900,1890000,0,0,0
2026-02-19,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,131,130,150,128,137,6,167151600,23444752800,12126,47.1,137,109100,135,230100,1075862960,1075862960,642182601,15008700,18476800,0,0,0
2026-02-18,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,132,130,137,128,131,-1,37918900,4985024300,4388,45.0,131,513100,130,325400,1075862960,1075862960,642182601,2778400,3807700,0,0,0
2026-02-13,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,137,138,138,129,132,-5,60392300,8022660400,6002,45.4,133,267100,132,130600,1075862960,1075862960,642182601,8637500,5418400,0,0,0
2026-02-12,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,129,130,158,128,137,8,501791400,72830611400,38576,47.1,138,881300,137,1177000,1075862960,1075862960,642182601,40206600,41386200,0,0,0
2026-02-11,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,125,126,134,124,129,4,64959200,8353224900,5426,44.3,129,155800,128,857500,1075862960,1075862960,642182601,5599800,8020000,5900,944000,1
2026-02-10,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,125,127,131,123,125,0,63402100,8059339400,7044,43.0,127,154400,125,50900,1075862960,1075862960,642182601,4922600,3249300,0,0,0
2026-02-09,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,114,116,137,116,125,11,203702300,26332411500,21675,43.0,125,333200,124,192700,1075862960,1075862960,642182601,6209400,6779400,0,0,0
2026-02-06,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,107,101,139,99,114,7,473395300,59816148100,35074,39.2,114,987300,113,599000,1075862960,1075862960,642182601,8290200,11871900,0,0,0
2026-02-05,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,109,110,114,104,107,-2,12806500,1381816200,1767,36.8,107,6300,106,188300,1075862960,1075862960,642182601,508200,17400,0,0,0
2026-02-04,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,112,113,117,107,109,-3,22184700,2468487100,2533,37.5,110,91200,109,500000,1075862960,1075862960,642182601,1530200,953500,0,0,0
2026-02-03,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,112,97,126,96,112,0,117246200,12896298000,9798,38.5,113,21200,112,37500,1075862960,1075862960,642182601,6581000,4997100,0,0,0
2026-02-02,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,131,121,129,112,112,-19,29551000,3394159500,2757,38.5,112,11693700,0,0,1075862960,1075862960,642182601,705100,1335200,0,0,0
2026-01-30,KIOS,Kioson Komersial Indonesia Tbk.,--UO2130000000I111------------,154,134,144,131,131,-23,105628900,14368304900,11601,45.0,131,333300,0,0,1075862960,1075862960,642182601,2902100,1123700,0,0,0
